BoardSize,MutationRate,TypeOfStartEnvironment,FitnessTimeStep,CostToLive,FitnessRepThreshold,DiffusionTimeStep,DiffusionConstG,DiffusionCutOff,DoDiffusion,ColorSecretionTimeStep,ColorSecreted,AmountColorSecreted,ColorSecretionCostPerTimeStep,DoColorSecretion,ColorMetabolismTimeStep,ColorUptakeG,ColorFitnessPerUnitG,DoColorMetabolism,TimeTaken,CellID,HighestProducerCount,LowestProducerCount,TimeAtHighestProdCount,TimeAtLowestProdCount,HighestProducerCountAfterStable,LowestProducerCountAfterStable,TimeAtHighestProdCountAfterStable,TimeAtLowestProdCountAfterStable,CellCountmean,CellCountvariance,CellCountmeanPast1000,CellCountvariancePast1000,ProducerFrequencymean,ProducerFrequencyvariance,ProducerFrequencymeanPast1000,ProducerFrequencyvariancePast1000,ProducerCountmean,ProducerCountvariance,ProducerCountmeanPast1000,ProducerCountvariancePast1000
20,0,SmallSeedEach,2,-0.1,1,0.5,0.2,1,True,2,Green,1000,0.2,True,2,1000,0.001,True,3000.446,135484,1031,1,660.5524,2563.798,730,1,1021.051,2563.798,1123.898,81874.8,1242.956,0.04238674,0.3526738,0.1279922,0.1383327,0.02887754,335.5522,118623.7,171.9234,44590.55
20,0,SmallSeedEach,2,-0.1,1,0.5,0.2,1,True,2,Green,1000,0.2,True,2,1000,0.001,True,3000.359,163289,1048,0,732.2946,2605.889,913,0,1001.115,2605.889,1069.51,89703.76,1205.895,0.1140086,0.4515926,0.1294299,0.2513254,0.05747669,426.1655,126463.9,303.0262,83519.7
20,0,SmallSeedEach,2,-0.1,1,0.5,0.2,1,True,2,Green,1000,0.2,True,2,1000,0.001,True,3000.937,131890,1110,2,619.6406,2178.417,731,2,1001.671,2178.417,1135.568,90658.41,1261,0,0.3434535,0.1386692,0.1215661,0.03079647,324.8537,135703.3,153.2943,48970.48
20,0,SmallSeedEach,2,-0.1,1,0.5,0.2,1,True,2,Green,1000,0.2,True,2,1000,0.001,True,3000.217,176624,1081,4,812.8489,2666.26,1042,4,1010.876,2666.26,1105.437,109192.1,1261,0,0.464589,0.134526,0.2627072,0.06909192,451.2416,147201.2,331.2733,109864.6
20,0,SmallSeedEach,2,-0.1,1,0.5,0.2,1,True,2,Green,1000,0.2,True,2,1000,0.001,True,3000.405,159190,1075,4,659.7136,2519.863,954,4,1003.347,2519.863,1126.724,91531.18,1260.641,2.226108,0.4199013,0.1414317,0.2038243,0.05708652,412.8667,151470.7,256.7633,90437.8
20,0,SmallSeedEach,2,-0.1,1,0.5,0.2,1,True,2,Green,1000,0.2,True,2,1000,0.001,True,3001.207,320409,1261,18,1731.748,15.35548,1261,1228,1731.748,1088.159,1124.074,96930.02,1261,0,0.9770596,0.00412741,0.9952937,4.59162E-05,1112.614,99083.12,1255.066,73.01206
20,0,SmallSeedEach,2,-0.1,1,0.5,0.2,1,True,2,Green,1000,0.2,True,2,1000,0.001,True,3000.853,316883,1261,18,1380.534,13.98844,1261,1250,1380.534,1003.226,1113.477,100460.2,1261,0,0.9827459,0.003556914,0.9993827,2.041629E-06,1107.708,103928.4,1260.222,3.246439
20,0,SmallSeedEach,2,-0.1,1,0.5,0.2,1,True,2,Green,1000,0.2,True,2,1000,0.001,True,3001.083,327073,1261,18,1297.068,14.90831,1261,1241,1297.068,1008.94,1148.759,86386.49,1261,0,0.9820613,0.004060646,0.9991566,5.336549E-06,1142.364,89337.68,1259.937,8.485712
20,0,SmallSeedEach,2,-0.1,1,0.5,0.2,1,True,2,Green,1000,0.2,True,2,1000,0.001,True,3000.319,320312,1261,18,1131.711,11.99903,1261,1241,1131.711,1023.779,1130.806,91723.88,1261,0,0.9810098,0.003343984,0.9995541,4.207034E-06,1123.048,96272.84,1260.438,6.689764
20,0,SmallSeedEach,2,-0.1,1,0.5,0.2,1,True,2,Green,1000,0.2,True,2,1000,0.001,True,3000.181,318428,1261,18,873.5599,13.78199,1261,1260,1001.18,1001.18,1120.702,98667.72,1261,0,0.9836562,0.003331368,1,0,1115.84,103155.4,1261,0
20,0,SmallSeedEach,2,-0.1,1,0.5,0.2,1,True,2,Green,1000,0.2,True,2,1000,0.001,True,3001.635,308331,1261,11,969.074,16.64581,1261,1260,1001.273,1001.273,1064.131,129610,1261,0,0.9759508,0.006481784,1,0,1058.778,134714.6,1261,0
20,0,SmallSeedEach,2,-0.1,1,0.5,0.2,1,True,2,Green,1000,0.2,True,2,1000,0.001,True,3000.052,313393,1261,19,749.1346,14.67902,1261,1260,1000.568,1000.568,1100.108,108241.2,1261,0,0.9845609,0.003867017,1,0,1097.58,112134,1261,0
20,0,SmallSeedEach,2,-0.1,1,0.5,0.2,1,True,2,Green,1000,0.2,True,2,1000,0.001,True,3000.963,323331,1261,18,607.3238,14.62353,1261,1260,1002.248,1002.248,1140.258,90545.58,1261,0,0.9838794,0.004003524,1,0,1136.459,94260.29,1261,0
20,0,SmallSeedEach,2,-0.1,1,0.5,0.2,1,True,2,Green,1000,0.2,True,2,1000,0.001,True,3002.816,319641,1261,18,737.4145,13.66765,1261,1260,1002.476,1002.476,1123.153,96568.16,1261,0,0.9866602,0.002528445,1,0,1119.392,99993.13,1261,0
20,0,SmallSeedEach,2,-0.1,1,0.5,0.2,1,True,2,Green,1000,0.2,True,2,1000,0.001,True,3001.701,329502,1261,18,534.2576,13.95978,1261,1260,1000.611,1000.611,1162.054,78275.53,1261,0,0.9873192,0.00353853,1,0,1159.959,81179.24,1261,0

