TimePassed,CellCount,ProducerFrequency,ProducerCount
0,31,0.3870968,12
6.033146,31,0.3870968,12
9.098752,31,0.3870968,12
12.6526,31,0.3870968,12
16.03825,31,0.3870968,12
19.60142,32,0.40625,13
23.03171,34,0.4411765,15
27.53401,36,0.4722222,17
30.92047,39,0.5128205,20
34.38848,44,0.5681818,25
37.93392,49,0.6122449,30
41.36721,55,0.6545454,36
44.77134,58,0.6724138,39
47.7654,62,0.6935484,43
52.22001,70,0.7285714,51
55.72308,76,0.75,57
59.44918,83,0.7710843,64
63.12494,89,0.7865168,70
66.1571,96,0.8020833,77
71.7557,104,0.8173077,85
72.9485,109,0.8256881,90
78.28311,111,0.8288288,92
81.26381,116,0.8362069,97
84.50365,124,0.8467742,105
88.04887,129,0.8527132,110
91.57765,135,0.8592592,116
94.85863,140,0.8642857,121
98.74934,146,0.869863,127
102.4437,153,0.875817,134
105.3902,156,0.8782051,137
108.7512,165,0.8848485,146
113.1778,175,0.8914286,156
116.6578,182,0.8956044,163
119.4742,187,0.8983957,168
123.1068,191,0.9005235,172
126.8277,198,0.9040404,179
131.3894,203,0.906404,184
134.777,208,0.9086539,189
137.6098,215,0.9116279,196
140.84,222,0.9144144,203
144.7917,231,0.9177489,212
148.0222,236,0.9194915,217
152.5116,240,0.9208333,221
155.7869,244,0.9221311,225
159.2327,253,0.9249012,234
162.4265,258,0.9263566,239
165.7351,262,0.9274809,243
168.252,267,0.928839,248
173.3939,277,0.9314079,258
177.1877,283,0.9328622,264
180.4675,284,0.9330986,265
183.4829,295,0.9355932,276
187.3259,303,0.9372937,284
190.6718,304,0.9375,285
193.7709,313,0.9392971,294
197.7635,320,0.940625,301
201.9707,323,0.9411765,304
205.2859,331,0.9425982,312
208.9199,340,0.9441177,321
210.2058,344,0.9447674,325
215.0965,351,0.945869,332
219.2582,364,0.9478022,345
222.0714,372,0.9489247,353
226.8119,380,0.95,361
229.5554,386,0.9507772,367
234.2301,392,0.9515306,373
239.2708,397,0.952141,378
243.5449,406,0.9532019,387
246.4307,412,0.9538835,393
251.4693,426,0.955399,407
256.1742,432,0.9560185,413
258.8746,437,0.9565217,418
263.5193,446,0.9573991,427
268.3854,457,0.9584245,438
271.1617,464,0.9590517,445
275.8475,475,0.96,456
280.8229,483,0.9606625,464
283.7784,488,0.9610656,469
288.5706,495,0.9616162,476
291.6503,504,0.9623016,485
294.7151,513,0.962963,494
299.1375,521,0.9635317,502
301.2581,527,0.9639469,508
306.8945,531,0.9642184,512
310.0348,537,0.9646183,518
316.5283,542,0.9649447,523
319.6096,546,0.9652014,527
322.8568,555,0.9657658,536
324.795,560,0.9660714,541
329.9959,569,0.9666081,550
333.2099,577,0.9670711,558
336.5426,586,0.9675768,567
338.6885,587,0.9676321,568
344.1216,599,0.966611,579
347.3825,604,0.9685431,585
350.58,613,0.9673735,593
352.5757,617,0.9675851,597
358.1277,632,0.9683544,612
361.54,636,0.9685535,616
364.9916,642,0.9688473,622
367.074,645,0.9689922,625
373.7047,653,0.9678407,632
377.1498,662,0.9697885,642
380.9091,671,0.971684,652
387.2756,680,0.9735294,662
390.8408,685,0.9737226,667
394.568,694,0.9726225,675
396.521,697,0.9727403,678
403.4177,704,0.9701704,683
407.143,710,0.9704225,689
410.7943,717,0.9707113,696
412.9562,719,0.9707928,698
419.6791,726,0.9724518,706
423.3324,731,0.9740082,712
427.3296,735,0.9741496,716
434.2824,744,0.9744624,725
438.105,748,0.9719251,727
442.7256,754,0.9721485,733
449.751,759,0.972332,738
453.6509,765,0.9738562,745
457.8511,771,0.9740596,751
464.7527,781,0.9731114,760
468.749,790,0.9734177,769
473.1461,794,0.9735516,773
479.9058,801,0.9725344,779
483.8695,807,0.9727386,785
488.0859,816,0.9767157,797
494.8721,822,0.9781022,804
498.8147,827,0.9794438,810
503.0869,831,0.9807461,815
511.0307,838,0.9832935,824
515.0591,848,0.9834906,834
517.2638,851,0.9823737,836
524.0743,858,0.9848485,845
528.078,863,0.9849363,850
530.2111,871,0.9873708,860
537.0031,881,0.985244,868
541.0067,886,0.9875847,875
545.2054,890,0.9865168,878
552.0201,900,0.9866667,888
556.0493,906,0.9856512,893
558.2369,908,0.9867842,896
564.7158,921,0.9880565,910
568.4763,926,0.9892009,916
570.6746,930,0.9903226,921
577.3531,937,0.9914621,929
581.36,943,0.9946977,938
583.525,947,0.9947202,942
590.2253,958,0.9937369,952
594.2122,961,0.9947971,956
596.384,968,0.9938017,962
602.9855,980,0.9938775,974
607.064,982,0.9928717,975
609.2753,985,0.9928934,978
614.0439,991,0.9929364,984
618.3051,998,0.99499,993
620.439,1000,0.995,995
626.9792,1008,0.9950397,1003
631.034,1015,0.9940886,1009
633.1745,1018,0.9960707,1014
639.8145,1026,0.9931774,1019
643.8801,1031,0.9922405,1023
645.928,1032,0.9903101,1022
652.6972,1046,0.9885277,1034
656.6823,1055,0.9886256,1043
658.8012,1057,0.9886471,1045
663.4335,1063,0.9877704,1050
667.6797,1071,0.9869281,1057
