BoardSize,MutationRate,TypeOfStartEnvironment,FitnessTimeStep,CostToLive,FitnessRepThreshold,DiffusionTimeStep,DiffusionConstG,DiffusionCutOff,DoDiffusion,ColorSecretionTimeStep,ColorSecreted,AmountColorSecreted,ColorSecretionCostPerTimeStep,DoColorSecretion,ColorMetabolismTimeStep,ColorUptakeG,ColorFitnessPerUnitG,DoColorMetabolism,TimeTaken,CellID,HighestProducerCount,LowestProducerCount,TimeAtHighestProdCount,TimeAtLowestProdCount,HighestProducerCountAfterStable,LowestProducerCountAfterStable,TimeAtHighestProdCountAfterStable,TimeAtLowestProdCountAfterStable,CellCountmean,CellCountvariance,CellCountmeanPast1000,CellCountvariancePast1000,ProducerFrequencymean,ProducerFrequencyvariance,ProducerFrequencymeanPast1000,ProducerFrequencyvariancePast1000,ProducerCountmean,ProducerCountvariance,ProducerCountmeanPast1000,ProducerCountvariancePast1000
20,0,SmallSeedEach,2,-0.1,1,0.5,0.2,1,True,2,Green,1000,0.2,True,2,1000,0.001,True,3000.476,177075,914,0,495.941,1635.879,342,0,1000.971,1635.879,1154.692,79105.13,1261,0,0.2372223,0.100108,0.02654363,0.003297557,220.1632,95953.92,33.47151,5243.494
20,0,SmallSeedEach,2,-0.1,1,0.5,0.2,1,True,2,Green,1000,0.2,True,2,1000,0.001,True,3001.018,164006,829,0,500.9212,1256.676,223,0,1000.434,1256.676,1140.231,87421.84,1261,0,0.2122989,0.09917402,0.007367077,0.0007570739,174.3658,74390.95,9.289884,1203.854
20,0,SmallSeedEach,2,-0.1,1,0.5,0.2,1,True,2,Green,1000,0.2,True,2,1000,0.001,True,3001.676,173393,842,0,414.7898,1430.494,319,0,1001.345,1430.494,1169.521,68684.45,1261,0,0.2046842,0.08477852,0.01353723,0.001835349,190.91,78179.64,17.07045,2918.374
20,0,SmallSeedEach,2,-0.1,1,0.5,0.2,1,True,2,Green,1000,0.2,True,2,1000,0.001,True,3000.539,166098,817,0,495.321,1311.132,212,0,1000.03,1311.132,1144.659,84739.15,1261,0,0.2056378,0.08884365,0.00994148,0.0009001901,176.765,73923.05,12.5362,1431.449
20,0,SmallSeedEach,2,-0.1,1,0.5,0.2,1,True,2,Green,1000,0.2,True,2,1000,0.001,True,3001.889,157586,759,0,494.7634,1112.426,55,0,1001.437,1112.426,1151.61,76446.74,1261,0,0.1752182,0.08486195,0.0009087021,2.606446E-05,141.0181,59877.02,1.145873,41.44464
20,0,SmallSeedEach,2,-0.1,1,0.5,0.2,1,True,2,Green,1000,0.2,True,2,1000,0.001,True,3001.887,317167,1017,11,571.8188,15.9461,934,508,1000.538,2970.153,1140.611,89524.51,1261,0,0.6163605,0.02132369,0.5314884,0.007578153,686.7686,45469.12,670.207,12050.19
20,0,SmallSeedEach,2,-0.1,1,0.5,0.2,1,True,2,Green,1000,0.2,True,2,1000,0.001,True,3001.083,302933,848,19,680.5601,17.26239,759,550,1089.155,2278.443,1124.868,89331.62,1260.961,0.03789185,0.5699911,0.01529454,0.4925426,0.001478429,615.3085,22846.91,621.073,2345.484
20,0,SmallSeedEach,2,-0.1,1,0.5,0.2,1,True,2,Green,1000,0.2,True,2,1000,0.001,True,3001.811,312407,1072,18,600.6525,11.59219,889,419,1004.837,2833.661,1155.986,74807.95,1261,0,0.6149856,0.03012473,0.5116215,0.0116193,690.863,48985.28,645.1542,18476.09
20,0,SmallSeedEach,2,-0.1,1,0.5,0.2,1,True,2,Green,1000,0.2,True,2,1000,0.001,True,3000.906,298251,990,18,604.2341,13.68378,906,409,1001.093,2467.151,1141.811,83649.56,1261,0,0.5607033,0.02791767,0.458738,0.009935493,617.1313,43075.43,578.4688,15798.64
20,0,SmallSeedEach,2,-0.1,1,0.5,0.2,1,True,2,Green,1000,0.2,True,2,1000,0.001,True,3000.545,306591,836,18,918.1957,14.41352,820,429,1003.872,2952.478,1115.166,92718.93,1261,0,0.5793671,0.01306709,0.5097062,0.003241072,622.7497,25126.62,642.7392,5153.699
20,0,SmallSeedEach,2,-0.1,1,0.5,0.2,1,True,2,Green,1000,0.2,True,2,1000,0.001,True,3000.189,337624,1220,11,2358.115,14.76708,1220,1024,2358.115,1088.397,1133.092,91608.39,1261,0,0.8710638,0.00645947,0.9105507,0.001838367,1004.097,85169.13,1148.205,2923.223
20,0,SmallSeedEach,2,-0.1,1,0.5,0.2,1,True,2,Green,1000,0.2,True,2,1000,0.001,True,3002.002,343304,1223,18,1615.427,14.63592,1223,1089,1615.427,1179.586,1144.987,74663.3,1261,0,0.8921556,0.004463742,0.9317055,0.0005025438,1033.284,72817.64,1174.882,799.1057
20,0,SmallSeedEach,2,-0.1,1,0.5,0.2,1,True,2,Green,1000,0.2,True,2,1000,0.001,True,3001.259,345521,1228,18,2819.633,15.37648,1228,1098,2819.633,1036.252,1152.448,77366.46,1261,0,0.8980892,0.003284344,0.9236414,0.0006189113,1045.793,69940.09,1164.712,984.1449
20,0,SmallSeedEach,2,-0.1,1,0.5,0.2,1,True,2,Green,1000,0.2,True,2,1000,0.001,True,3000.564,338900,1261,18,2259.7,11.40371,1261,1120,2259.7,1364.426,1144.569,84555.3,1261,0,0.922739,0.00653061,0.9685667,0.001008204,1073.969,89354.5,1221.364,1603.151
20,0,SmallSeedEach,2,-0.1,1,0.5,0.2,1,True,2,Green,1000,0.2,True,2,1000,0.001,True,3000.24,349600,1192,18,1324.256,14.5084,1192,1034,1324.256,2982.014,1162.479,69093.88,1261,0,0.8777297,0.002626858,0.8973832,0.0006882445,1030.134,59510.1,1131.6,1094.392

