TimePassed,CellCount,ProducerFrequency,ProducerCount
0,38,0.5,19
4.613491,38,0.5,19
8.013288,38,0.5,19
11.59219,38,0.5,19
15.01993,40,0.525,21
18.59226,43,0.5581396,24
21.19341,47,0.5744681,27
24.63264,50,0.58,29
28.04066,52,0.5961539,31
32.00754,61,0.6393443,39
35.49593,67,0.6716418,45
38.2456,76,0.7105263,54
42.4805,93,0.7419355,69
45.52166,100,0.75,75
48.84925,112,0.7678571,86
53.20704,123,0.7886179,97
56.57792,132,0.7878788,104
59.54336,144,0.7916667,114
62.39338,156,0.8076923,126
65.9674,169,0.8165681,138
69.45065,181,0.8176796,148
72.72425,192,0.828125,159
76.4554,205,0.8243902,169
79.18884,213,0.8309859,177
82.43651,228,0.8333333,190
85.75299,243,0.8271605,201
89.15914,254,0.8346457,212
92.65551,261,0.8390805,219
96.07167,279,0.8422939,235
100.4199,285,0.845614,241
104.1474,296,0.847973,251
108.0739,304,0.8519737,259
112.4187,315,0.8539683,269
116.2124,329,0.8571429,282
120.3526,342,0.8596491,294
125.1617,354,0.8644068,306
129.5329,367,0.8692098,319
132.3404,378,0.8650793,327
136.4182,390,0.8641025,337
140.9121,402,0.8681592,349
144.8259,413,0.8716707,360
149.5744,427,0.8711944,372
152.5233,435,0.8689655,378
157.5389,454,0.8744493,397
161.3186,469,0.8742004,410
163.5551,477,0.8742138,417
166.6451,487,0.8767967,427
169.743,502,0.8764941,440
172.9051,518,0.8764479,454
178.6905,534,0.8801498,470
181.9001,541,0.8817006,477
185.2003,551,0.8838475,487
188.4594,557,0.8833034,492
191.6732,567,0.8835979,501
195.0354,577,0.8856152,511
198.2666,585,0.8871795,519
202.9635,598,0.8896321,532
207.0042,607,0.8879737,539
209.4865,622,0.8858521,551
212.9751,630,0.8873016,559
216.1489,642,0.8862928,569
219.6266,651,0.8847926,576
226.3128,670,0.8865672,594
230.0079,683,0.8872621,606
233.7206,691,0.8885673,614
235.6405,696,0.887931,618
241.8652,712,0.8890449,633
245.4637,719,0.8873435,638
249.1701,726,0.885675,643
251.0339,734,0.8855586,650
257.2108,747,0.8848729,661
261.1497,758,0.8852243,671
265.0543,768,0.8841146,679
266.9639,771,0.8845655,682
272.1337,780,0.8858975,691
276.4829,785,0.8828025,693
280.4003,794,0.8828715,701
282.3938,799,0.8811014,704
289.2613,816,0.8835784,721
293.096,826,0.8837773,730
297.1475,830,0.8831325,733
304.0228,841,0.8834721,743
307.9448,852,0.8826291,752
312.0028,863,0.8806489,760
316.0828,871,0.8817451,768
320.3592,885,0.8824859,781
324.0177,894,0.8825504,789
328.0099,906,0.884106,801
332.229,912,0.8848684,807
336.0265,921,0.8849077,815
340.0003,932,0.8851931,825
345.2326,939,0.886049,832
348.2321,955,0.8837696,844
352.1451,962,0.8835759,850
356.0959,969,0.8833849,856
360.8635,981,0.8827727,866
364.6956,991,0.8819374,874
368.704,996,0.8815261,878
370.6732,1000,0.883,883
375.3125,1005,0.8835821,888
379.113,1010,0.880198,889
383.2485,1021,0.884427,903
385.1434,1024,0.8867188,908
390.0724,1032,0.8866279,915
393.7318,1040,0.8846154,920
395.7567,1043,0.8878236,926
401.2718,1048,0.8864504,929
404.2207,1055,0.8834123,932
408.1353,1065,0.8826291,940
410.2278,1067,0.8837863,943
416.6169,1076,0.8810409,948
420.5934,1079,0.8804449,950
424.6896,1082,0.8817006,954
429.1914,1094,0.8793418,962
433.0688,1097,0.8796718,965
437.0327,1105,0.8850679,978
441.1462,1111,0.8793879,977
445.0147,1117,0.87735,980
448.9059,1121,0.8751115,981
454.4356,1126,0.8756661,986
457.3809,1127,0.8793256,991
461.2957,1131,0.8797525,995
463.3191,1133,0.8808473,998
469.8535,1139,0.8762072,998
473.7177,1147,0.8779424,1007
475.7987,1150,0.8791304,1011
480.3599,1158,0.8782383,1017
484.2157,1162,0.8812392,1024
488.116,1165,0.8815451,1027
492.7547,1170,0.8786325,1028
496.6149,1174,0.8756388,1028
501.6518,1180,0.8737288,1031
504.7215,1184,0.8690878,1029
508.738,1189,0.8671152,1031
510.5326,1191,0.8656591,1031
515.3372,1195,0.8619247,1030
519.0392,1197,0.8588137,1028
521.0948,1198,0.8572621,1027
525.4983,1203,0.8520366,1025
529.1631,1204,0.858804,1034
531.1826,1205,0.8580913,1034
535.7444,1207,0.8550124,1032
539.5398,1209,0.853598,1032
541.5991,1210,0.8528926,1032
548.6003,1214,0.8607908,1045
552.6854,1215,0.8592592,1044
557.2089,1216,0.8585526,1044
561.0522,1220,0.8614754,1051
563.0554,1223,0.8650858,1058
567.6394,1226,0.865416,1061
571.4569,1228,0.8623778,1059
573.2897,1232,0.8612013,1061
578.119,1232,0.8636364,1064
581.9235,1232,0.8603896,1060
583.9865,1234,0.856564,1057
588.9558,1239,0.8539144,1058
592.2107,1241,0.8581789,1065
594.2684,1244,0.8585209,1068
598.7481,1244,0.8601286,1070
602.598,1245,0.8578313,1068
607.6587,1249,0.8550841,1068
610.7407,1250,0.8536,1067
614.7744,1252,0.850639,1065
616.813,1253,0.8451716,1059
621.3234,1254,0.8413078,1055
625.2354,1254,0.8421053,1056
629.1828,1254,0.8365231,1049
634.2084,1255,0.8358566,1049
637.6022,1256,0.8264331,1038
639.3661,1256,0.8288217,1041
643.7606,1256,0.8296179,1042
647.5734,1256,0.8256369,1037
651.5502,1257,0.8186157,1029
656.3055,1258,0.8195549,1031
659.9171,1258,0.8195549,1031
663.9166,1258,0.8139905,1024
