BoardSize,MutationRate,TypeOfStartEnvironment,FitnessTimeStep,CostToLive,FitnessRepThreshold,DirectFitnessTimer,DirectFitnessRange,DirectFitnessBenefit,DirectFitnessCost,DirectFitnessbcRatio,DirectFitnessExploitability,DoDirectFitness,ColorSecretionCostPerTimeStep,DoColorSecretion,ColorMetabolismTimeStep,ColorUptakeG,ColorFitnessPerUnitG,DoColorMetabolism,TimeTaken,CellID,HighestProducerCount,LowestProducerCount,TimeAtHighestProdCount,TimeAtLowestProdCount,HighestProducerCountAfterStable,LowestProducerCountAfterStable,TimeAtHighestProdCountAfterStable,TimeAtLowestProdCountAfterStable,CellCountmean,CellCountvariance,CellCountmeanPast1000,CellCountvariancePast1000,ProducerFrequencymean,ProducerFrequencyvariance,ProducerFrequencymeanPast1000,ProducerFrequencyvariancePast1000,ProducerCountmean,ProducerCountvariance,ProducerCountmeanPast1000,ProducerCountvariancePast1000,,,,,,
15,0,SmallSeedEach,1,-0.1,1,5,1,0.5,0.1,5,1,TRUE,0.2,FALSE,2,1000,0.001,FALSE,5000.526,319319,510,0,186.6455,1479.474,149,0,1019.254,1479.474,706.6239,6470.235,721,0,0.1084987,0.04615076,0.01054874,0.001203968,67.91015,17990.87,7.605647,625.9218,,,,,,
15,0,SmallSeedEach,1,-0.1,1,5,1,0.5,0.1,5,1,TRUE,0.2,FALSE,2,1000,0.001,FALSE,5000.511,322274,521,0,178.4771,1566.023,125,0,1243.623,1566.023,708.9172,5859.709,721,0,0.1049974,0.04436515,0.0120299,0.001100332,67.73415,19068.98,8.673561,572.0134,,,,,,
15,0,SmallSeedEach,1,-0.1,1,5,1,0.5,0.1,5,1,TRUE,0.2,FALSE,2,1000,0.001,FALSE,5000.302,319687,598,0,165.2984,1376.469,73,0,1058.579,1376.469,709.5868,5695.792,721,0,0.1018682,0.05241429,0.005497138,0.000373724,65.03443,22346.21,3.963437,194.2714,,,,,,
15,0,SmallSeedEach,1,-0.1,1,5,1,0.8,0.1,8,1,TRUE,0.2,FALSE,2,1000,0.001,FALSE,5000.504,1030743,701,18,1767.374,7.180868,701,508,1767.374,3384.683,709.1257,5533.365,721,0,0.8571035,0.003655614,0.8704621,0.003046833,609.2245,6192.694,627.6022,1583.869,,,,,,
15,0,SmallSeedEach,1,-0.1,1,5,1,0.8,0.1,8,1,TRUE,0.2,FALSE,2,1000,0.001,FALSE,5000.647,933388,695,18,4668.297,19.27892,695,256,4668.297,1962.984,708.4549,5909.944,721,0,0.7533812,0.02438154,0.722108,0.02450185,534.1938,15766.85,520.6401,12737.08,,,,,,
15,0,SmallSeedEach,1,-0.1,1,5,1,0.8,0.1,8,1,TRUE,0.2,FALSE,2,1000,0.001,FALSE,5000.339,902531,680,15,240.8002,7.152235,618,274,1003.609,4508.066,708.3128,6516.486,721,0,0.720615,0.01131762,0.6984601,0.01030172,510.5411,8984.264,503.5899,5355.257,,,,,,
15,0,SmallSeedEach,1,-0.1,1,5,1,0.65,0.1,6.5,1,TRUE,,,,,,,5000.826,521832,615,0,139.9738,4429.544,411,0,1451.099,4429.544,712.0424,4295.927,721,0,0.3019872,0.04835329,0.2189611,0.02093635,211.1855,23137.1,157.871,10883.61,,,,,,
15,0,SmallSeedEach,1,-0.1,1,5,1,0.65,0.1,6.5,1,TRUE,,,,,,,5000.075,381176,604,0,199.2038,3001.894,248,0,1024.558,3001.894,710.8618,4855.5,721,0,0.1643611,0.05962294,0.05545521,0.006825143,110.9679,27158.84,39.98323,3548.069,,,,,,
15,0,SmallSeedEach,1,-0.1,1,5,1,0.65,0.1,6.5,1,TRUE,,,,,,,5000.735,417600,588,0,175.3823,2976.427,362,0,1100.981,2976.427,708.5938,5821.554,721,0,0.2098685,0.06682543,0.1068643,0.02564592,142.1168,30612.26,77.04911,13332.21,,,,,,
15,0,SmallSeedEach,1,-0.1,1,5,1,1.9,0.1,19,1,TRUE,,,,,,,5001.646,1348845,721,18,240.3043,22.55236,721,720,1000.347,1000.347,710.8676,4905.611,721,0,0.9929022,0.00164921,1,0,708.4655,6032.396,721,0,,,,,,
