TimePassed,CellCount,ProducerFrequency,ProducerCount
0,38,0.5,19
2.882057,38,0.5,19
6.259651,48,0.6041667,29
10.23457,62,0.6290323,39
13.28341,71,0.6760563,48
17.32577,85,0.682353,58
20.39055,100,0.69,69
23.48933,114,0.7280702,83
27.70377,138,0.7608696,105
30.75004,154,0.7727273,119
34.73846,170,0.7764706,132
37.38236,193,0.7875648,152
40.38985,225,0.8044444,181
43.79722,243,0.8106996,197
46.86208,267,0.8164794,218
49.94297,289,0.8200692,237
53.22608,317,0.8138801,258
56.29997,349,0.8166189,285
59.31135,369,0.8102981,299
62.66669,389,0.7969152,310
65.89079,413,0.8062954,333
68.97282,436,0.8073394,352
73.28951,463,0.7818574,362
76.35792,480,0.7854167,377
80.66066,495,0.7878788,390
83.87615,509,0.7897839,402
88.31669,529,0.805293,426
91.89222,540,0.7962963,430
94.66068,560,0.8035714,450
98.44984,581,0.8072289,469
102.0305,606,0.8250825,500
105.378,616,0.8214286,506
109.4086,635,0.815748,518
113.4804,646,0.8188854,529
116.604,659,0.8345979,550
119.5857,679,0.8394698,570
124.0603,692,0.8453757,585
127.0182,706,0.8512748,601
131.3723,712,0.8384832,597
134.3595,716,0.8282123,593
138.9525,718,0.8523677,612
142.6922,718,0.8440111,606
146.3918,718,0.8440111,606
149.7131,721,0.8210818,592
153.6518,721,0.8127601,586
156.6675,721,0.8113731,585
161.0783,721,0.8085992,583
164.146,721,0.7933426,572
167.5125,721,0.8016644,578
170.4186,721,0.8085992,583
173.5401,721,0.8085992,583
178.2612,721,0.8127601,586
181.388,721,0.8072122,582
185.6854,721,0.8127601,586
188.8909,721,0.8085992,583
193.2999,721,0.8058252,581
196.3506,721,0.7947295,573
200.5273,721,0.8127601,586
203.6646,721,0.8085992,583
207.9575,721,0.815534,588
211.5906,721,0.7877947,568
215.381,721,0.7822469,564
218.4133,721,0.7836338,565
222.7121,721,0.7864078,567
225.799,721,0.7753121,559
230.03,721,0.7725381,557
233.1774,721,0.7628294,550
237.419,721,0.7586685,547
241.4926,721,0.7475728,539
245.9233,721,0.7461858,538
249.2073,721,0.742025,535
252.6599,721,0.7323163,528
256.6556,721,0.7295423,526
260.3832,721,0.7226075,521
264.0049,721,0.7128987,514
267.0738,721,0.7073509,510
271.4849,721,0.6962552,502
275.557,721,0.7115118,513
279.9783,721,0.7350901,530
283.1032,721,0.7309293,527
286.4552,721,0.7503467,541
289.7666,721,0.7489598,540
292.7895,721,0.7503467,541
297.2761,721,0.7614424,549
300.3167,721,0.7517337,542
303.6999,721,0.7586685,547
306.6819,721,0.7669903,553
309.848,721,0.7697642,555
314.1705,721,0.7558946,545
317.3263,721,0.7628294,550
320.8693,721,0.7642164,551
323.8885,721,0.7739251,558
325.9008,721,0.7600555,548
330.6314,721,0.742025,535
333.7446,721,0.7600555,548
338.0519,721,0.7447989,537
342.2223,721,0.7447989,537
346.4957,721,0.7503467,541
349.6353,721,0.7531207,543
353.0045,721,0.7364771,531
356.0215,721,0.7447989,537
359.0341,721,0.739251,533
363.442,721,0.7364771,531
367.1035,721,0.7323163,528
370.9295,721,0.7281553,525
374.9153,721,0.7073509,510
379.1777,721,0.704577,508
382.2487,721,0.7142857,515
385.7395,721,0.7156727,516
388.6947,721,0.7004161,505
391.7602,721,0.6962552,502
396.0237,721,0.6837726,493
399.1505,721,0.6615812,477
402.4462,721,0.6574203,474
406.0509,721,0.6615812,477
408.7732,721,0.6768377,488
414.4985,721,0.6782247,489
419.1796,721,0.667129,481
423.3622,721,0.6796116,490
426.4702,721,0.6699029,483
430.5176,721,0.6574203,474
433.5497,721,0.665742,480
437.0199,721,0.667129,481
440.0387,721,0.6865464,495
443.1074,721,0.701803,506
446.4349,721,0.6934813,500
450.1157,721,0.6809986,491
452.8238,721,0.6948683,501
457.0778,721,0.6893204,497
460.2585,721,0.6740638,486
464.0349,721,0.6796116,490
467.6911,721,0.6740638,486
470.7365,721,0.667129,481
475.0564,721,0.6754507,487
478.2868,721,0.6754507,487
481.7954,721,0.6699029,483
484.5656,721,0.6615812,477
487.752,721,0.6560333,473
492.2809,721,0.6809986,491
495.3148,721,0.6809986,491
499.685,721,0.6588072,475
502.7399,721,0.6407767,462
506.115,721,0.6338419,457
509.132,721,0.6435506,464
512.1434,721,0.6352289,458
516.6529,721,0.5991678,432
519.6143,721,0.6074896,438
523.0507,721,0.6102635,440
526.0951,721,0.6074896,438
529.078,721,0.6130375,442
532.6055,721,0.6158113,444
535.7477,721,0.6282941,453
538.8052,721,0.6213592,448
543.2117,721,0.6393898,461
546.3066,721,0.6393898,461
550.0909,721,0.6518724,470
552.7485,721,0.6615812,477
555.81,721,0.664355,479
558.9151,721,0.6699029,483
562.0651,721,0.6588072,475
565.0306,721,0.6601942,476
568.1652,721,0.6601942,476
572.2025,721,0.6532593,471
575.2507,721,0.6574203,474
578.575,721,0.6518724,470
582.8115,721,0.6324549,456
586.5383,721,0.6074896,438
590.2226,721,0.6338419,457
593.2875,721,0.6352289,458
596.699,721,0.6199723,447
599.6646,721,0.629681,454
602.747,721,0.6393898,461
606.1977,721,0.6574203,474
609.114,721,0.665742,480
612.2118,721,0.6629681,478
616.5356,721,0.6352289,458
619.6104,721,0.6282941,453
623.1578,721,0.629681,454
627.2702,721,0.6282941,453
631.1854,721,0.6213592,448
634.7654,721,0.6380028,460
637.8707,721,0.6199723,447
642.1366,721,0.6227462,449
645.1352,721,0.6116505,441
648.9543,721,0.6116505,441
651.6161,721,0.6116505,441
654.7136,721,0.6061026,437
657.8696,721,0.6116505,441
660.9608,721,0.6102635,440
664.9982,721,0.592233,427
668.2908,721,0.592233,427
672.5236,721,0.6282941,453
676.2477,721,0.6241332,450
679.9255,721,0.6407767,462
682.9918,721,0.6435506,464
686.4299,721,0.629681,454
689.3788,721,0.6338419,457
692.4822,721,0.6282941,453
695.7557,721,0.6130375,442
698.7552,721,0.6158113,444
701.8699,721,0.6338419,457
705.1484,721,0.6366158,459
708.236,721,0.6255201,451
711.2794,721,0.6213592,448
715.1407,721,0.6019418,434
718.2056,721,0.5852982,422
721.2539,721,0.5728155,413
725.6481,721,0.592233,427
728.7732,721,0.5908461,426
732.5972,721,0.5866852,423
736.1663,721,0.5617198,405
739.2147,721,0.5658807,408
742.6552,721,0.5436893,392
745.7201,721,0.5395284,389
748.7885,721,0.5436893,392
752.2496,721,0.5214979,376
756.2208,721,0.5325936,384
759.2899,721,0.5242718,378
764.223,721,0.5298197,382
767.3004,721,0.5214979,376
770.6475,721,0.5325936,384
773.7275,721,0.5395284,389
776.7945,721,0.5381415,388
780.2125,721,0.5533981,399
783.2261,721,0.5506241,397
786.183,721,0.5520111,398
789.5,721,0.5603329,404
792.549,721,0.5270458,380
795.5966,721,0.5104022,368
798.8901,721,0.5076283,366
801.9218,721,0.5048544,364
804.9871,721,0.5312067,383
808.2747,721,0.5270458,380
811.4814,721,0.5256588,379
814.5296,721,0.5131761,370
817.7919,721,0.518724,374
820.8568,721,0.5270458,380
823.9216,721,0.5325936,384
827.2338,721,0.5242718,378
830.2933,721,0.5395284,389
833.3644,721,0.5367545,387
836.6331,721,0.5395284,389
839.7145,721,0.5367545,387
