TimePassed,CellCount,ProducerFrequency,ProducerCount
0,35,0.4571429,16
0.9681071,35,0.4571429,16
23.5025,39,0.5128205,20
27.01113,47,0.5957447,28
30.10452,58,0.6551724,38
33.16747,71,0.6760563,48
37.22762,86,0.7209302,62
41.74674,102,0.7156863,73
44.78204,116,0.7413793,86
46.87011,122,0.7377049,90
55.77995,145,0.7586207,110
60.17487,166,0.7771084,129
63.25241,186,0.7849463,146
67.19311,208,0.7740384,161
69.82725,226,0.7876106,178
72.87551,242,0.7933884,192
76.89494,262,0.7977099,209
79.49595,285,0.7929825,226
82.56078,313,0.7923323,248
86.41815,329,0.7993921,263
89.51212,350,0.7942857,278
92.03773,364,0.7967033,290
96.05777,391,0.8081841,316
99.14899,408,0.8112745,331
101.1702,424,0.8113208,344
106.7053,452,0.8075221,365
108.7285,460,0.8065217,371
113.5557,481,0.8045738,387
115.6052,496,0.8044355,399
120.2058,521,0.7984645,416
123.2792,535,0.7906542,423
126.8669,543,0.7937385,431
130.3546,567,0.7989418,453
133.2804,579,0.8013817,464
137.1788,589,0.7962648,469
140.4029,606,0.8036304,487
145.23,623,0.7977528,497
148.3781,634,0.7965299,505
153.2374,646,0.7894737,510
156.345,658,0.7917933,521
161.2354,670,0.7985075,535
164.2813,676,0.7869822,532
169.6874,692,0.7630058,528
171.6186,697,0.7776183,542
176.5659,708,0.7768362,550
179.8477,713,0.7741935,552
184.3929,717,0.7740586,555
186.4502,718,0.7632312,548
191.3688,720,0.7680556,553
193.4023,720,0.7666667,552
198.5211,721,0.7572815,546
200.6038,721,0.7586685,547
205.4713,721,0.7503467,541
207.5115,721,0.7517337,542
212.3435,721,0.7586685,547
214.4623,721,0.7545076,544
219.098,721,0.7545076,544
221.1386,721,0.7447989,537
226.2444,721,0.7170596,517
228.2467,721,0.7115118,513
233.1505,721,0.6726769,485
236.1929,721,0.6712899,484
241.0371,721,0.6615812,477
244.0825,721,0.6477115,467
248.9465,721,0.6435506,464
251.8542,721,0.6380028,460
255.9171,721,0.6227462,449
259.174,721,0.5963939,430
264.145,721,0.5963939,430
267.3495,721,0.5936199,428
272.1997,721,0.5755895,415
276.1333,721,0.5797504,418
278.2876,721,0.5742025,414
282.6521,721,0.554785,400
285.7115,721,0.556172,401
291.6453,721,0.5464633,394
296.3335,721,0.5436893,392
298.7979,721,0.5395284,389
301.9241,721,0.5159501,372
305.8481,721,0.4993065,360
308.8964,721,0.4937587,356
311.9619,721,0.4882108,352
316.8876,721,0.4729542,341
319.9597,721,0.4715673,340
323.5486,721,0.4563107,329
327.0084,721,0.4479889,323
330.0733,721,0.4521498,326
334.9205,721,0.4535367,327
337.9893,721,0.4521498,326
342.9011,721,0.4604716,332
345.966,721,0.4563107,329
349.9085,721,0.4479889,323
352.8574,721,0.4216366,304
355.9222,721,0.4216366,304
360.7747,721,0.3911234,282
363.823,721,0.3814147,275
367.7074,721,0.3828017,276
370.7722,721,0.3772538,272
373.8037,721,0.3453537,249
379.2898,721,0.3398058,245
382.3547,721,0.3203883,231
387.2411,721,0.3134535,226
390.2659,721,0.3065187,221
394.1127,721,0.2995839,216
397.1301,721,0.3079057,222
400.1621,721,0.29681,214
405.131,721,0.29681,214
408.1982,721,0.2898752,209
411.9524,721,0.2801664,202
414.9669,721,0.2676838,193
418.0263,721,0.2649098,191
422.7454,721,0.2371706,171
425.7937,721,0.2191401,158
430.3203,721,0.2302358,166
433.4016,721,0.223301,161
436.4497,721,0.2080444,150
441.245,721,0.2108183,152
444.2874,721,0.2066574,149
448.0404,721,0.2052705,148
451.0887,721,0.2108183,152
454.1729,721,0.2080444,150
458.8665,721,0.2108183,152
462.011,721,0.2094314,151
465.8104,721,0.1927878,139
468.8422,721,0.184466,133
471.8903,721,0.1789182,129
476.6169,721,0.1900139,137
479.7177,721,0.1789182,129
483.4771,721,0.1816921,131
487.7397,721,0.1775312,128
489.7922,721,0.1803051,130
494.516,721,0.1719834,124
497.5476,721,0.1692094,122
501.374,721,0.1636616,118
504.3976,721,0.148405,107
507.4459,721,0.1400832,101
512.1887,721,0.1386963,100
515.2866,721,0.1359223,98
518.9871,721,0.1373093,99
522.0684,721,0.1303745,94
525.1916,721,0.1359223,98
529.8056,721,0.1414702,102
532.9045,721,0.1414702,102
536.6915,721,0.148405,107
539.7767,721,0.1539528,111
542.8546,721,0.1595007,115
547.5273,721,0.1511789,109
550.99,721,0.1525659,110
554.368,721,0.1511789,109
557.4161,721,0.147018,106
560.481,721,0.1386963,100
565.261,721,0.1331484,96
568.2927,721,0.1248266,90
571.9702,721,0.1220527,88
576.0495,721,0.1234397,89
579.1639,721,0.1220527,88
583.8149,721,0.1220527,88
586.8784,721,0.1248266,90
590.5386,721,0.1165049,84
593.6185,721,0.1151179,83
596.6633,721,0.1206657,87
601.4034,721,0.1220527,88
604.4849,721,0.1165049,84
608.1727,721,0.110957,80
612.1984,721,0.1081831,78
614.2192,721,0.1026352,74
618.8968,721,0.09153953,66
621.9604,721,0.08599168,62
625.6852,721,0.08599168,62
628.7499,721,0.08599168,62
631.7827,721,0.08321775,60
636.5147,721,0.09153953,66
639.5628,721,0.09708738,70
641.584,721,0.09708738,70
646.2561,721,0.09153953,66
649.3541,721,0.09292649,67
652.9819,721,0.09292649,67
656.0712,721,0.09015257,65
659.047,721,0.08183079,59
663.66,721,0.07212205,52
666.7083,721,0.08183079,59
668.746,721,0.07489598,54
673.3755,721,0.08460472,61
676.4358,721,0.08183079,59
678.4569,721,0.08044383,58
683.155,721,0.07489598,54
686.1705,721,0.07489598,54
689.8253,721,0.0776699,56
692.902,721,0.07489598,54
695.9884,721,0.07628294,55
700.6092,721,0.08183079,59
703.6901,721,0.08044383,58
705.7112,721,0.08321775,60
710.303,721,0.08460472,61
713.3843,721,0.08737864,63
717.0477,721,0.08460472,61
720.0704,721,0.08876561,64
723.1519,721,0.08460472,61
727.85,721,0.08044383,58
731.8762,721,0.07628294,55
736.6537,721,0.07350902,53
739.7518,721,0.07212205,52
743.4373,721,0.0665742,48
747.4799,721,0.06934813,50
749.5176,721,0.06796116,49
754.1627,721,0.07073509,51
757.1953,721,0.07628294,55
760.795,721,0.07905687,57
763.7965,721,0.07489598,54
766.8619,721,0.07350902,53
772.2438,721,0.07073509,51
775.2496,721,0.06102635,44
779.0692,721,0.05409154,39
782.0996,721,0.04854369,35
785.1127,721,0.0443828,32
789.7532,721,0.04022191,29
