TimePassed,CellCount,ProducerFrequency,ProducerCount
0,30,0.3666667,11
1.06447,30,0.3666667,11
8.710567,34,0.4411765,15
11.69041,40,0.525,21
14.45731,44,0.5681818,25
19.17756,55,0.5454546,30
23.06409,65,0.6,39
27.56168,77,0.5844156,45
30.64502,86,0.6162791,53
32.70541,93,0.6236559,58
38.67943,112,0.6160714,69
41.77389,133,0.6541353,87
46.19888,155,0.6322581,98
49.26372,174,0.6609195,115
53.06792,184,0.6630435,122
55.70155,205,0.6780488,139
58.78298,222,0.7072072,157
60.81436,229,0.7161572,164
65.45523,252,0.7420635,187
68.54667,273,0.7326007,200
72.23838,290,0.7517241,218
75.27917,298,0.7550336,225
78.34401,322,0.7701864,248
83.12672,339,0.79941,271
86.19753,356,0.7977528,284
87.20289,361,0.7977839,288
94.01128,381,0.808399,308
98.18302,396,0.8106061,321
102.5978,422,0.8222749,347
106.6401,438,0.8242009,361
109.7212,449,0.8329622,374
112.7859,466,0.832618,388
117.5474,489,0.8261759,404
121.6232,506,0.8458498,428
126.3291,528,0.8712121,460
129.3933,541,0.8890943,481
133.285,548,0.9069343,497
136.3006,569,0.9068542,516
138.4115,579,0.8998273,521
143.3981,593,0.8988196,533
147.4157,606,0.9042904,548
152.4107,631,0.8716323,550
155.4583,641,0.8814353,565
160.2446,658,0.8723404,574
163.8448,666,0.8693694,579
169.0314,675,0.877037,592
173.5496,693,0.8903319,617
177.2796,698,0.8925502,623
180.2068,705,0.893617,630
182.2576,708,0.8870056,628
187.1493,716,0.9036313,647
189.3827,717,0.9009763,646
195.1831,721,0.9181692,662
199.8356,721,0.8973648,647
203.9449,721,0.887656,640
206.4446,721,0.8973648,647
208.5004,721,0.9140083,659
213.0125,721,0.8987517,648
215.1861,721,0.9001387,649
219.8506,721,0.9181692,662
221.8738,721,0.9209431,664
226.6391,721,0.9056866,653
228.7621,721,0.8987517,648
233.9122,721,0.9029126,651
237.9212,721,0.9292649,670
241.4325,721,0.9334258,673
243.6131,721,0.9306518,671
248.24,721,0.9140083,659
250.2412,721,0.9084605,655
255.1089,721,0.9015257,650
257.8329,721,0.9070735,654
261.6936,721,0.925104,667
263.7983,721,0.9237171,666
268.5599,721,0.9167823,661
272.2503,721,0.925104,667
275.2847,721,0.9334258,673
280.0579,721,0.9389737,677
283.7705,721,0.9403606,678
286.9961,721,0.9500694,685
291.612,721,0.9528432,687
293.6809,721,0.9570042,690
298.6375,721,0.9722608,701
302.5421,721,0.9722608,701
305.575,721,0.9694868,699
310.2438,721,0.962552,694
314.7325,721,0.9750347,703
317.9241,721,0.9680998,698
322.4825,721,0.9667129,697
326.3568,721,0.9680998,698
329.4557,721,0.9736477,702
333.8776,721,0.9819695,708
335.9275,721,0.9902912,714
341.0697,721,1,721
344.9067,721,1,721
347.7974,721,1,721
351.5324,721,1,721
354.597,721,1,721
358.2155,721,1,721
361.7401,721,1,721
365.8221,721,1,721
367.9436,721,1,721
372.7454,721,1,721
374.7908,721,1,721
379.533,721,1,721
383.0921,721,1,721
386.167,721,1,721
390.8021,721,1,721
394.5718,721,1,721
397.7303,721,1,721
402.3602,721,1,721
406.0637,721,1,721
410.0801,721,1,721
413.8561,721,1,721
418.0943,721,1,721
420.5993,721,1,721
422.6823,721,1,721
427.3256,721,1,721
430.9768,721,1,721
433.9702,721,1,721
437.8875,721,1,721
441.4023,721,1,721
444.8608,721,1,721
447.9609,721,1,721
451.6965,721,1,721
454.76,721,1,721
458.4857,721,1,721
461.3488,721,1,721
465.1146,721,1,721
468.378,721,1,721
472.0786,721,1,721
475.1572,721,1,721
478.9869,721,1,721
482.0686,721,1,721
486.7548,721,1,721
490.3998,721,1,721
494.04,721,1,721
498.0604,721,1,721
501.6915,721,1,721
504.8127,721,1,721
509.5658,721,1,721
513.3623,721,1,721
516.433,721,1,721
520.9872,721,1,721
524.7214,721,1,721
527.7673,721,1,721
532.3512,721,1,721
536.1777,721,1,721
539.1742,721,1,721
543.0878,721,1,721
546.3773,721,1,721
551.0032,721,1,721
554.7554,721,1,721
557.7778,721,1,721
562.4178,721,1,721
566.1514,721,1,721
569.1216,721,1,721
572.8756,721,1,721
575.2142,721,1,721
578.7762,721,1,721
581.8552,721,1,721
583.9304,721,1,721
588.6479,721,1,721
590.6488,721,1,721
595.3934,721,1,721
597.9395,721,1,721
602.0311,721,1,721
603.9202,721,1,721
608.6742,721,1,721
610.7833,721,1,721
615.4,721,1,721
617.4776,721,1,721
622.0965,721,1,721
626.5341,721,1,721
628.6321,721,1,721
633.1985,721,1,721
635.3295,721,1,721
640.1363,721,1,721
643.7917,721,1,721
646.8196,721,1,721
651.7844,721,1,721
655.4033,721,1,721
658.4217,721,1,721
