TimePassed,CellCount,ProducerFrequency,ProducerCount
0,38,0.5,19
1.051185,38,0.5,19
8.926191,50,0.62,31
11.70671,56,0.6607143,37
14.75498,70,0.7285714,51
17.84741,87,0.7471265,65
20.89112,103,0.7864078,81
24.05639,124,0.7983871,99
27.07278,143,0.8251748,118
30.12556,167,0.8622754,144
33.19551,189,0.8730159,165
36.26054,209,0.8708134,182
39.32097,241,0.8921162,215
42.36989,273,0.8974359,245
46.54277,308,0.9285714,286
49.57491,336,0.9285714,312
52.97158,366,0.9234973,338
55.772,401,0.9201995,369
58.86965,436,0.9036697,394
61.91789,467,0.895075,418
64.96638,504,0.9027778,455
68.06575,532,0.906015,482
71.12874,556,0.9172662,510
74.18465,583,0.9245283,539
77.22345,617,0.9173419,566
80.49529,640,0.9203125,589
84.71989,670,0.9268657,621
87.86411,679,0.9248896,628
91.89431,685,0.9080292,622
95.71021,687,0.9024745,620
99.09198,696,0.8850574,616
103.4555,701,0.871612,611
106.5567,705,0.8567376,604
110.8348,711,0.8298172,590
114.4342,715,0.8265734,591
118.049,716,0.8310056,595
121.1772,717,0.8298466,595
124.5952,719,0.8386648,603
127.5977,719,0.8317107,598
131.367,720,0.8388889,604
133.9786,721,0.8460472,610
137.1123,721,0.8765603,632
141.4964,721,0.8737864,630
144.6532,721,0.851595,614
149.2332,721,0.8474341,611
152.354,721,0.8280166,597
156.6395,721,0.8349515,602
159.6195,721,0.8488211,612
163.1834,721,0.8446602,609
166.2031,721,0.8543689,616
169.8593,721,0.8640777,623
172.7046,721,0.8848821,638
175.738,721,0.8973648,647
180.1196,721,0.9112344,657
183.8838,721,0.925104,667
187.5478,721,0.9583911,691
190.8667,721,0.9556172,689
194.742,721,0.9694868,699
197.8599,721,0.9597781,692
202.1254,721,0.9583911,691
205.2278,721,0.9597781,692
209.0242,721,0.9764217,704
211.9928,721,0.9667129,697
215.6747,721,0.9708738,700
219.3304,721,0.9736477,702
222.6203,721,0.9708738,700
226.5339,721,0.9722608,701
229.7174,721,0.9708738,700
233.9189,721,0.9764217,704
237.0097,721,0.9875174,712
241.2652,721,0.9930652,716
244.5255,721,0.9889043,713
247.9181,721,0.9902912,714
250.9793,721,0.9805825,707
254.6591,721,0.9875174,712
257.4235,721,0.9902912,714
260.4493,721,0.9875174,712
264.8443,721,0.9930652,716
268.5593,721,0.9916782,715
272.3111,721,0.9930652,716
275.7,721,0.9916782,715
278.6759,721,0.9944522,717
282.3694,721,0.9986131,720
286.0581,721,0.9986131,720
289.3146,721,0.9986131,720
293.2735,721,1,721
296.7978,721,1,721
300.8342,721,1,721
304.0211,721,1,721
307.1299,721,1,721
310.2702,721,1,721
314.6028,721,1,721
317.7076,721,1,721
322.0284,721,1,721
325.7426,721,1,721
328.4053,721,1,721
331.5116,721,1,721
335.713,721,1,721
338.7635,721,1,721
343.101,721,1,721
346.2033,721,1,721
350.4256,721,1,721
353.737,721,1,721
358.0623,721,1,721
361.1486,721,1,721
365.4905,721,1,721
368.5646,721,1,721
372.8951,721,1,721
375.9168,721,1,721
379.2441,721,1,721
383.6308,721,1,721
387.8682,721,1,721
391.0721,721,1,721
395.4129,721,1,721
399.0251,721,1,721
402.7302,721,1,721
406.019,721,1,721
409.5133,721,1,721
412.338,721,1,721
416.668,721,1,721
420.2292,721,1,721
423.9084,721,1,721
427.0825,721,1,721
431.1136,721,1,721
434.3866,721,1,721
437.4113,721,1,721
440.6577,721,1,721
444.8772,721,1,721
447.9912,721,1,721
452.1376,721,1,721
455.2924,721,1,721
459.5313,721,1,721
462.741,721,1,721
465.9243,721,1,721
470.1882,721,1,721
474.5018,721,1,721
477.5202,721,1,721
481.7056,721,1,721
484.793,721,1,721
488.3171,721,1,721
491.2808,721,1,721
495.3819,721,1,721
498.9559,721,1,721
502.2712,721,1,721
505.2214,721,1,721
508.3153,721,1,721
512.6768,721,1,721
515.7903,721,1,721
520.2055,721,1,721
523.316,721,1,721
527.9697,721,1,721
531.6698,721,1,721
535.386,721,1,721
538.5637,721,1,721
541.6216,721,1,721
544.6633,721,1,721
549.0038,721,1,721
552.1024,721,1,721
556.6363,721,1,721
560.2706,721,1,721
564.0543,721,1,721
567.2037,721,1,721
571.2287,721,1,721
574.3774,721,1,721
578.3661,721,1,721
581.5877,721,1,721
585.7421,721,1,721
589.0334,721,1,721
592.0611,721,1,721
595.6617,721,1,721
599.3511,721,1,721
602.5894,721,1,721
606.6701,721,1,721
609.7617,721,1,721
614.3299,721,1,721
617.4685,721,1,721
621.7763,721,1,721
624.8038,721,1,721
629.1074,721,1,721
632.2034,721,1,721
636.4349,721,1,721
639.5085,721,1,721
644.2151,721,1,721
647.9816,721,1,721
650.6982,721,1,721
653.834,721,1,721
658.1542,721,1,721
661.2057,721,1,721
665.6823,721,1,721
667.6989,721,1,721
672.3628,721,1,721
675.5348,721,1,721
678.7221,721,1,721
681.7671,721,1,721
686.0617,721,1,721
689.7565,721,1,721
693.5038,721,1,721
696.6503,721,1,721
699.8751,721,1,721
702.9849,721,1,721
707.3329,721,1,721
710.5845,721,1,721
714.5914,721,1,721
717.6376,721,1,721
721.084,721,1,721
724.2449,721,1,721
726.188,721,1,721
730.7691,721,1,721
734.8611,721,1,721
738.438,721,1,721
741.8818,721,1,721
744.8688,721,1,721
748.608,721,1,721
752.209,721,1,721
755.5755,721,1,721
759.6171,721,1,721
762.8334,721,1,721
766.523,721,1,721
768.9742,721,1,721
773.2433,721,1,721
776.2966,721,1,721
780.5684,721,1,721
783.7717,721,1,721
788.1307,721,1,721
791.8263,721,1,721
794.5809,721,1,721
797.6826,721,1,721
801.9231,721,1,721
804.998,721,1,721
809.3844,721,1,721
810.8065,721,1,721
815.8469,721,1,721
820.1571,721,1,721
824.3071,721,1,721
827.4354,721,1,721
830.7662,721,1,721
833.8107,721,1,721
837.4775,721,1,721
840.0699,721,1,721
843.7403,721,1,721
847.662,721,1,721
850.8177,721,1,721
855.075,721,1,721
858.208,721,1,721
862.487,721,1,721
865.6173,721,1,721
869.929,721,1,721
873.858,721,1,721
877.578,721,1,721
880.7669,721,1,721
884.7705,721,1,721
887.9843,721,1,721
890.9459,721,1,721
894.091,721,1,721
898.405,721,1,721
902.0407,721,1,721
905.7775,721,1,721
909.0756,721,1,721
913.0345,721,1,721
916.2629,721,1,721
920.2499,721,1,721
923.4493,721,1,721
926.4621,721,1,721
930.0327,721,1,721
933.859,721,1,721
937.5138,721,1,721
941.1483,721,1,721
944.3895,721,1,721
947.3239,721,1,721
950.4913,721,1,721
953.8525,721,1,721
956.8465,721,1,721
960.4482,721,1,721
964.1589,721,1,721
967.4147,721,1,721
970.3089,721,1,721
973.4847,721,1,721
976.7156,721,1,721
979.6807,721,1,721
983.3683,721,1,721
986.6255,721,1,721
989.4661,721,1,721
993.8541,721,1,721
997.5753,721,1,721
1001.284,721,1,721
1004.519,721,1,721
1007.558,721,1,721
1010.606,721,1,721
1014.946,721,1,721
1018.771,721,1,721
1022.5,721,1,721
1025.701,721,1,721
1028.778,721,1,721
1031.87,721,1,721
1036.292,721,1,721
1039.335,721,1,721
1043.655,721,1,721
1048.196,721,1,721
1052.179,721,1,721
1055.559,721,1,721
1059.51,721,1,721
1062.924,721,1,721
1066.011,721,1,721
1069.244,721,1,721
1072.798,721,1,721
1075.778,721,1,721
1079.725,721,1,721
1083.099,721,1,721
1086.143,721,1,721
1089.837,721,1,721
1092.559,721,1,721
1095.616,721,1,721
1099.995,721,1,721
1103.242,721,1,721
1107.563,721,1,721
1110.666,721,1,721
1114.93,721,1,721
1118.012,721,1,721
1122.334,721,1,721
1125.467,721,1,721
1129.851,721,1,721
1133.573,721,1,721
1137.317,721,1,721
1140.52,721,1,721
1143.615,721,1,721
1146.704,721,1,721
1150.894,721,1,721
1154.052,721,1,721
1158.567,721,1,721
1162.291,721,1,721
1166.006,721,1,721
1169.383,721,1,721
1172.386,721,1,721
1175.7,721,1,721
1178.704,721,1,721
1182.36,721,1,721
1185.037,721,1,721
1189.5,721,1,721
1192.49,721,1,721
1195.656,721,1,721
1199.674,721,1,721
1202.826,721,1,721
1206.868,721,1,721
1210.082,721,1,721
1214.138,721,1,721
1217.531,721,1,721
1220.548,721,1,721
1223.595,721,1,721
1228.003,721,1,721
1231.174,721,1,721
1235.336,721,1,721
1238.514,721,1,721
1242.854,721,1,721
1246.569,721,1,721
1250.285,721,1,721
1253.618,721,1,721
1257.57,721,1,721
1260.759,721,1,721
1264.805,721,1,721
1268.131,721,1,721
1272.035,721,1,721
1275.778,721,1,721
1279.445,721,1,721
1282.678,721,1,721
1286.779,721,1,721
1289.954,721,1,721
1292.95,721,1,721
1296.011,721,1,721
1299.438,721,1,721
1302.467,721,1,721
1306.164,721,1,721
1309.842,721,1,721
1312.997,721,1,721
1317.014,721,1,721
1320.136,721,1,721
1324.509,721,1,721
1327.585,721,1,721
1331.784,721,1,721
1335.049,721,1,721
1339.51,721,1,721
1342.616,721,1,721
1346.855,721,1,721
1349.964,721,1,721
1354.282,721,1,721
1357.389,721,1,721
1360.689,721,1,721
1363.869,721,1,721
1368.186,721,1,721
1371.889,721,1,721
1374.65,721,1,721
1377.78,721,1,721
1381.775,721,1,721
1384.932,721,1,721
1387.983,721,1,721
1391.717,721,1,721
1395.445,721,1,721
1398.69,721,1,721
1402.954,721,1,721
1406.036,721,1,721
1410.322,721,1,721
1413.5,721,1,721
1417.796,721,1,721
1421.564,721,1,721
1425.192,721,1,721
1428.359,721,1,721
1431.261,721,1,721
1434.353,721,1,721
1437.758,721,1,721
1440.691,721,1,721
1443.867,721,1,721
1447.148,721,1,721
1451.458,721,1,721
1455.772,721,1,721
1458.987,721,1,721
1463.245,721,1,721
1466.361,721,1,721
1470.623,721,1,721
1473.704,721,1,721
1478.007,721,1,721
1481.124,721,1,721
1485.487,721,1,721
1488.5,721,1,721
1492.905,721,1,721
1495.933,721,1,721
1499.354,721,1,721
1502.33,721,1,721
1504.367,721,1,721
1508.957,721,1,721
1512.01,721,1,721
1516.332,721,1,721
1519.477,721,1,721
1523.755,721,1,721
1526.791,721,1,721
1531.104,721,1,721
1534.418,721,1,721
1538.602,721,1,721
1541.66,721,1,721
1545.934,721,1,721
1549.028,721,1,721
1553.383,721,1,721
1556.536,721,1,721
1560.934,721,1,721
1565.487,721,1,721
1568.458,721,1,721
1571.554,721,1,721
1575.595,721,1,721
1578.919,721,1,721
1583.115,721,1,721
1586.269,721,1,721
1589.545,721,1,721
1592.823,721,1,721
1597.165,721,1,721
1600.258,721,1,721
1604.591,721,1,721
1607.62,721,1,721
1611.929,721,1,721
1615.149,721,1,721
1619.599,721,1,721
1623.224,721,1,721
1625.853,721,1,721
1628.913,721,1,721
1633.251,721,1,721
1636.294,721,1,721
1640.613,721,1,721
1644.695,721,1,721
1649.198,721,1,721
1652.289,721,1,721
1656.582,721,1,721
1659.677,721,1,721
1663.984,721,1,721
1667.116,721,1,721
1670.415,721,1,721
1673.549,721,1,721
1677.173,721,1,721
1679.786,721,1,721
1683.007,721,1,721
1687.165,721,1,721
1690.309,721,1,721
1693.422,721,1,721
1696.661,721,1,721
1699.97,721,1,721
1702.822,721,1,721
1706.056,721,1,721
1710.32,721,1,721
1713.533,721,1,721
1716.602,721,1,721
1719.72,721,1,721
1723.244,721,1,721
1725.973,721,1,721
1729.172,721,1,721
1732.725,721,1,721
1735.598,721,1,721
1739.015,721,1,721
1741.787,721,1,721
1745.921,721,1,721
1750.257,721,1,721
1753.229,721,1,721
1757.523,721,1,721
1761.069,721,1,721
1763.81,721,1,721
1767.891,721,1,721
1772.235,721,1,721
1776.181,721,1,721
1780.58,721,1,721
1783.631,721,1,721
1788.027,721,1,721
1791.216,721,1,721
1795.791,721,1,721
1798.84,721,1,721
1803.132,721,1,721
1806.042,721,1,721
1810.421,721,1,721
1813.426,721,1,721
1817.197,721,1,721
1819.865,721,1,721
1823.262,721,1,721
1826.49,721,1,721
1829.902,721,1,721
1832.71,721,1,721
1836.831,721,1,721
1841.244,721,1,721
1844.219,721,1,721
1848.849,721,1,721
1851.758,721,1,721
1856.109,721,1,721
1859.045,721,1,721
1863.413,721,1,721
1866.402,721,1,721
1870.753,721,1,721
1874.312,721,1,721
1878.075,721,1,721
1881.156,721,1,721
1885.476,721,1,721
1888.656,721,1,721
1892.765,721,1,721
1896.038,721,1,721
1899.979,721,1,721
1903.417,721,1,721
1907.571,721,1,721
1910.766,721,1,721
1913.99,721,1,721
1917.128,721,1,721
1920.607,721,1,721
1923.437,721,1,721
1926.476,721,1,721
1930.894,721,1,721
1934.105,721,1,721
1938.317,721,1,721
1941.426,721,1,721
1945.665,721,1,721
1948.772,721,1,721
1953.018,721,1,721
1956.1,721,1,721
1960.305,721,1,721
1963.409,721,1,721
1967.565,721,1,721
1970.866,721,1,721
1974.864,721,1,721
1978.072,721,1,721
1982.083,721,1,721
1985.283,721,1,721
1989.448,721,1,721
1992.644,721,1,721
1995.75,721,1,721
1998.867,721,1,721
2002.315,721,1,721
2005.14,721,1,721
2008.297,721,1,721
2012.452,721,1,721
2015.882,721,1,721
2020.006,721,1,721
2023.175,721,1,721
2027.298,721,1,721
2030.51,721,1,721
2034.585,721,1,721
2037.792,721,1,721
2040.858,721,1,721
2045.225,721,1,721
2049.324,721,1,721
2052.647,721,1,721
2056.725,721,1,721
2059.903,721,1,721
2062.995,721,1,721
2066.192,721,1,721
2069.4,721,1,721
2073.889,721,1,721
2077,721,1,721
2081.105,721,1,721
2084.321,721,1,721
2087.48,721,1,721
2090.498,721,1,721
2094.093,721,1,721
2096.846,721,1,721
2100.366,721,1,721
2104.472,721,1,721
2108.602,721,1,721
2112.875,721,1,721
2116.127,721,1,721
2119.272,721,1,721
2122.444,721,1,721
2125.952,721,1,721
2128.837,721,1,721
2132.155,721,1,721
2136.275,721,1,721
2139.384,721,1,721
2142.614,721,1,721
2145.691,721,1,721
2149.277,721,1,721
2151.994,721,1,721
2155.216,721,1,721
2159.61,721,1,721
2162.809,721,1,721
2166.933,721,1,721
2170.198,721,1,721
2173.273,721,1,721
2176.28,721,1,721
2179.66,721,1,721
2182.673,721,1,721
2187.062,721,1,721
2191.252,721,1,721
2194.456,721,1,721
2198.542,721,1,721
2201.833,721,1,721
2204.96,721,1,721
2208.095,721,1,721
2211.112,721,1,721
2215.731,721,1,721
2218.853,721,1,721
2223.123,721,1,721
2226.191,721,1,721
2230.425,721,1,721
2233.484,721,1,721
2237.848,721,1,721
2241.43,721,1,721
2245.116,721,1,721
2249.271,721,1,721
2253.531,721,1,721
2256.804,721,1,721
2260.011,721,1,721
2263.21,721,1,721
2266.67,721,1,721
2270.127,721,1,721
2272.815,721,1,721
2277.215,721,1,721
2280.307,721,1,721
2284.624,721,1,721
2287.678,721,1,721
2291.856,721,1,721
2294.907,721,1,721
2298.525,721,1,721
2302.317,721,1,721
2305.649,721,1,721
2309.739,721,1,721
2312.927,721,1,721
2316.077,721,1,721
2319.22,721,1,721
2323.539,721,1,721
2327.184,721,1,721
2331.094,721,1,721
2334.076,721,1,721
2338.449,721,1,721
2341.435,721,1,721
2345.742,721,1,721
2348.817,721,1,721
2352.137,721,1,721
2356.286,721,1,721
2359.637,721,1,721
2363.78,721,1,721
2367.371,721,1,721
2370.253,721,1,721
2373.264,721,1,721
2377.578,721,1,721
2380.605,721,1,721
2384.94,721,1,721
2387.998,721,1,721
2392.266,721,1,721
2395.223,721,1,721
2399.652,721,1,721
2402.633,721,1,721
2406.843,721,1,721
2409.778,721,1,721
2414.524,721,1,721
2417.517,721,1,721
2421.793,721,1,721
2424.8,721,1,721
2429.064,721,1,721
2432.236,721,1,721
2436.526,721,1,721
2439.613,721,1,721
2444.152,721,1,721
2447.054,721,1,721
2451.472,721,1,721
2454.501,721,1,721
2458.996,721,1,721
2462.056,721,1,721
2466.413,721,1,721
2470.795,721,1,721
2473.777,721,1,721
2477.822,721,1,721
2480.93,721,1,721
2484.023,721,1,721
2488.366,721,1,721
2491.435,721,1,721
2494.714,721,1,721
2498.971,721,1,721
2502.298,721,1,721
2505.5,721,1,721
2508.883,721,1,721
2511.787,721,1,721
2515.736,721,1,721
2520.132,721,1,721
2524.131,721,1,721
2528.794,721,1,721
2531.801,721,1,721
2536.177,721,1,721
2539.146,721,1,721
2542.449,721,1,721
2545.644,721,1,721
2549.078,721,1,721
2551.927,721,1,721
2554.954,721,1,721
2559.418,721,1,721
2562.574,721,1,721
2566.862,721,1,721
2569.844,721,1,721
2574.261,721,1,721
2577.323,721,1,721
2580.638,721,1,721
2584.808,721,1,721
2589.121,721,1,721
2592.083,721,1,721
2596.465,721,1,721
2599.465,721,1,721
2603.914,721,1,721
2606.944,721,1,721
2611.322,721,1,721
2614.807,721,1,721
2617.635,721,1,721
2620.698,721,1,721
2625.019,721,1,721
2628.018,721,1,721
2632.41,721,1,721
2635.437,721,1,721
2639.781,721,1,721
2643.363,721,1,721
2646.225,721,1,721
2649.245,721,1,721
2653.317,721,1,721
2657.394,721,1,721
2661.842,721,1,721
2664.851,721,1,721
2669.446,721,1,721
2672.465,721,1,721
2676.904,721,1,721
2679.822,721,1,721
2684.097,721,1,721
2688.24,721,1,721
2692.624,721,1,721
2695.787,721,1,721
2700.216,721,1,721
2703.256,721,1,721
2707.701,721,1,721
2710.775,721,1,721
2715.02,721,1,721
2718.274,721,1,721
2722.422,721,1,721
2725.774,721,1,721
2729.924,721,1,721
2733.038,721,1,721
2737.182,721,1,721
2740.399,721,1,721
2743.547,721,1,721
2746.605,721,1,721
2749.785,721,1,721
2754.192,721,1,721
2757.542,721,1,721
2761.512,721,1,721
2764.755,721,1,721
2768.78,721,1,721
2772.115,721,1,721
2776.173,721,1,721
2779.29,721,1,721
2783.585,721,1,721
2786.658,721,1,721
2789.901,721,1,721
2793.035,721,1,721
2796.586,721,1,721
2800.362,721,1,721
2803.514,721,1,721
2806.554,721,1,721
2809.899,721,1,721
2813.131,721,1,721
2816.205,721,1,721
2819.797,721,1,721
2823.481,721,1,721
2826.742,721,1,721
2830.855,721,1,721
2834.105,721,1,721
2837.491,721,1,721
2840.594,721,1,721
2844.099,721,1,721
2846.872,721,1,721
2850.082,721,1,721
2853.239,721,1,721
2856.208,721,1,721
2859.448,721,1,721
2863.605,721,1,721
2866.984,721,1,721
2871.046,721,1,721
2874.228,721,1,721
2878.459,721,1,721
2881.692,721,1,721
2884.969,721,1,721
2888.09,721,1,721
2891.535,721,1,721
2894.553,721,1,721
2897.533,721,1,721
2901.762,721,1,721
2904.969,721,1,721
2909.037,721,1,721
2912.191,721,1,721
2916.371,721,1,721
2919.557,721,1,721
2923.088,721,1,721
2926.057,721,1,721
2929.667,721,1,721
2932.397,721,1,721
2935.63,721,1,721
2938.726,721,1,721
2941.88,721,1,721
2944.857,721,1,721
2949.244,721,1,721
2952.576,721,1,721
2956.842,721,1,721
2959.891,721,1,721
2963.29,721,1,721
2966.36,721,1,721
2969.853,721,1,721
2972.826,721,1,721
2975.736,721,1,721
2980.222,721,1,721
2983.218,721,1,721
2987.513,721,1,721
2990.638,721,1,721
2994.862,721,1,721
2998.052,721,1,721
3002.169,721,1,721
3005.335,721,1,721
3009.545,721,1,721
3012.66,721,1,721
3016.986,721,1,721
3020.037,721,1,721
3024.326,721,1,721
3027.568,721,1,721
3031.645,721,1,721
3034.871,721,1,721
3039.099,721,1,721
3042.236,721,1,721
3045.399,721,1,721
3048.467,721,1,721
3051.971,721,1,721
3055.736,721,1,721
3058.913,721,1,721
3062.999,721,1,721
3066.401,721,1,721
3070.608,721,1,721
3073.794,721,1,721
3076.999,721,1,721
3080.122,721,1,721
3083.718,721,1,721
3086.461,721,1,721
3089.601,721,1,721
3093.896,721,1,721
3096.976,721,1,721
3101.327,721,1,721
3104.461,721,1,721
3108.643,721,1,721
3111.67,721,1,721
3114.929,721,1,721
3118.149,721,1,721
3121.639,721,1,721
3125.583,721,1,721
3128.604,721,1,721
3132.888,721,1,721
3136.929,721,1,721
3141.296,721,1,721
3144.297,721,1,721
3148.64,721,1,721
3151.902,721,1,721
3156.224,721,1,721
3159.229,721,1,721
3162.583,721,1,721
3165.546,721,1,721
3169.274,721,1,721
3172.156,721,1,721
3175.145,721,1,721
3179.453,721,1,721
3182.464,721,1,721
3186.692,721,1,721
3189.889,721,1,721
3194.194,721,1,721
3197.18,721,1,721
3201.555,721,1,721
3204.811,721,1,721
3209.135,721,1,721
3212.267,721,1,721
3216.393,721,1,721
3219.738,721,1,721
3223.812,721,1,721
3227.026,721,1,721
3230.166,721,1,721
3233.163,721,1,721
3237.766,721,1,721
3240.9,721,1,721
3244.958,721,1,721
3247.981,721,1,721
