TimePassed,CellCount,ProducerFrequency,ProducerCount
0,38,0.5,19
1.053137,38,0.5,19
9.037486,44,0.5681818,25
12.84792,53,0.6415094,34
15.94101,62,0.6935484,43
18.98639,74,0.7162162,53
23.22578,89,0.7640449,68
26.30679,100,0.75,75
29.53172,118,0.7711864,91
32.6046,130,0.7692308,100
37.38251,157,0.7707006,121
43.87624,179,0.7709497,138
47.24879,201,0.7810946,157
50.06153,222,0.7927928,176
53.12616,248,0.8024194,199
56.17842,269,0.8104089,218
60.23425,306,0.8137255,249
63.29958,342,0.8157895,279
66.50811,373,0.8230563,307
69.58949,413,0.8256658,341
72.63779,439,0.8223234,361
75.97755,462,0.8225108,380
79.04277,481,0.8191268,394
82.12686,505,0.819802,414
85.46498,526,0.8231939,433
88.57005,548,0.8229927,451
92.33212,566,0.8286219,469
97.92924,591,0.8426396,498
101.2774,615,0.8552846,526
104.8064,628,0.8582802,539
107.8138,644,0.8695652,560
111.493,655,0.870229,570
115.2519,669,0.8654708,579
118.4196,682,0.8533725,582
121.4452,690,0.8536232,589
124.7612,695,0.866187,602
129.1873,702,0.8518519,598
132.7914,703,0.8520626,599
136.4637,708,0.8587571,608
139.7272,713,0.8471248,604
142.7055,715,0.8405594,601
145.7986,716,0.8337989,597
149.0954,716,0.8351955,598
152.361,716,0.8379889,600
156.7606,716,0.8519553,610
160.4583,716,0.8645251,619
163.1839,717,0.8758717,628
166.407,718,0.8635098,620
170.3537,718,0.8746518,628
173.5728,719,0.8845619,636
176.5571,719,0.8859527,637
179.8999,719,0.8831711,635
183.8531,720,0.8791667,633
187.0421,720,0.8791667,633
190.0171,720,0.8888889,640
193.1486,720,0.8930556,643
197.3216,721,0.8793343,634
200.7718,721,0.8793343,634
203.4753,721,0.8682386,626
206.7418,721,0.89043,642
211.0585,721,0.9015257,650
214.2252,721,0.9042996,652
218.4454,721,0.9056866,653
221.4913,721,0.9056866,653
225.7865,721,0.9042996,652
227.9232,721,0.9195562,663
232.3351,721,0.9223301,665
235.8657,721,0.9306518,671
238.9016,721,0.9431345,680
242.3646,721,0.9472954,683
246.4855,721,0.9417475,679
250.8786,721,0.9472954,683
254.5897,721,0.9528432,687
258.4332,721,0.965326,696
262.7243,721,0.9542302,688
264.7666,721,0.9500694,685
269.847,721,0.9417475,679
272.6117,721,0.9348128,674
276.8445,721,0.925104,667
281.25,721,0.9140083,659
284.7622,721,0.9084605,655
287.5901,721,0.9029126,651
290.6153,721,0.8959778,646
294.8536,721,0.8973648,647
298.1411,721,0.8862691,639
302.2299,721,0.8987517,648
305.9595,721,0.8779473,633
309.7479,721,0.8945909,645
313.1737,721,0.8959778,646
316.074,721,0.9098474,656
319.6925,721,0.9098474,656
323.4243,721,0.9084605,655
326.6411,721,0.8918169,643
330.1589,721,0.8973648,647
332.8792,721,0.8848821,638
335.2221,721,0.8973648,647
340.7166,721,0.9001387,649
343.4431,721,0.8973648,647
347.7699,721,0.8945909,645
350.8769,721,0.889043,641
355.1121,721,0.8557559,617
360.7921,721,0.8737864,630
363.7556,721,0.889043,641
367.9853,721,0.9029126,651
371.7511,721,0.8918169,643
374.4725,721,0.8821082,636
377.6976,721,0.887656,640
381.6908,721,0.8918169,643
386.0151,721,0.8959778,646
389.1161,721,0.8973648,647
393.3831,721,0.9001387,649
397.1842,721,0.8945909,645
400.8529,721,0.8987517,648
404.1612,721,0.9070735,654
407.0951,721,0.9042996,652
411.4624,721,0.8945909,645
414.6541,721,0.9015257,650
418.7417,721,0.8918169,643
422.2542,721,0.89043,642
424.9505,721,0.8932039,644
428.005,721,0.8807212,635
432.2794,721,0.8765603,632
435.5732,721,0.8807212,635
439.6882,721,0.8723994,629
442.7859,721,0.8599168,620
447.052,721,0.8696255,627
450.1631,721,0.8737864,630
454.5094,721,0.8751734,631
457.6325,721,0.8626907,622
462.1772,721,0.8765603,632
465.2635,721,0.8654646,624
469.5582,721,0.8460472,610
472.6432,721,0.852982,615
476.8726,721,0.8668516,625
480.0403,721,0.8696255,627
483.1954,721,0.8488211,612
486.6041,721,0.8571429,618
490.8331,721,0.8418863,607
494.0078,721,0.8460472,610
498.3449,721,0.8280166,597
501.4832,721,0.8169209,589
505.6829,721,0.8113731,585
508.8955,721,0.8099861,584
513.2037,721,0.8044383,580
516.9436,721,0.8127601,586
520.6307,721,0.7919556,571
524.5185,721,0.7683772,554
527.4541,721,0.7739251,558
531.9082,721,0.7725381,557
535.329,721,0.776699,560
538.4387,721,0.7503467,541
541.2527,721,0.7503467,541
545.7035,721,0.7545076,544
549.5125,721,0.740638,534
553.0701,721,0.7489598,540
556.3934,721,0.7711512,556
559.3866,721,0.7545076,544
563.2748,721,0.7642164,551
565.7935,721,0.7642164,551
569.1165,721,0.7614424,549
573.5616,721,0.7517337,542
576.8384,721,0.7711512,556
581.0375,721,0.7364771,531
584.0687,721,0.7337032,529
588.255,721,0.740638,534
591.4317,721,0.7212206,520
594.8432,721,0.7004161,505
598.9405,721,0.6948683,501
602.6268,721,0.6865464,495
605.9835,721,0.6948683,501
609.4106,721,0.701803,506
613.0802,721,0.6754507,487
616.079,721,0.6782247,489
620.3694,721,0.6865464,495
623.5235,721,0.6879334,496
626.891,721,0.6823856,492
631.1178,721,0.6768377,488
634.614,721,0.6740638,486
637.5461,721,0.664355,479
640.5604,721,0.6865464,495
644.9589,721,0.6712899,484
648.2045,721,0.6463246,466
651.4119,721,0.6463246,466
655.3982,721,0.6560333,473
657.4351,721,0.6435506,464
662.1587,721,0.6310679,455
666.2816,721,0.6352289,458
670.8965,721,0.6102635,440
673.9778,721,0.6269071,452
678.9966,721,0.629681,454
681.9236,721,0.6324549,456
686.2083,721,0.6338419,457
689.2714,721,0.6213592,448
693.1461,721,0.6393898,461
696.7478,721,0.6463246,466
700.2888,721,0.6615812,477
703.2782,721,0.6768377,488
706.4534,721,0.6726769,485
710.4547,721,0.664355,479
714.4867,721,0.6740638,486
718.9048,721,0.6907073,498
721.9081,721,0.6879334,496
725.8779,721,0.6740638,486
728.7519,721,0.6532593,471
732.5414,721,0.6380028,460
735.3941,721,0.6532593,471
739.2915,721,0.6518724,470
743.6201,721,0.6407767,462
746.7348,721,0.6574203,474
750.207,721,0.664355,479
753.1812,721,0.665742,480
756.3385,721,0.6504855,469
760.7333,721,0.6393898,461
763.809,721,0.6407767,462
767.2208,721,0.6435506,464
770.2121,721,0.6421636,463
773.3221,721,0.6338419,457
777.5169,721,0.6255201,451
780.6282,721,0.6213592,448
784.3421,721,0.6088766,439
788.0432,721,0.6199723,447
791.3223,721,0.6352289,458
795.6511,721,0.6338419,457
798.7015,721,0.6269071,452
802.4634,721,0.6227462,449
806.0989,721,0.6310679,455
809.1782,721,0.6338419,457
813.4099,721,0.6352289,458
816.469,721,0.6282941,453
820.2907,721,0.6282941,453
822.9179,721,0.6255201,451
827.2245,721,0.6130375,442
831.7698,721,0.6130375,442
834.8938,721,0.6393898,461
838.2358,721,0.6338419,457
841.2264,721,0.6435506,464
845.3494,721,0.6241332,450
849.7664,721,0.6269071,452
852.8922,721,0.6393898,461
856.5477,721,0.6074896,438
859.9285,721,0.6033287,435
862.6117,721,0.6102635,440
865.8943,721,0.6061026,437
868.8589,721,0.6144244,443
871.9404,721,0.6213592,448
875.403,721,0.6102635,440
878.2941,721,0.6171983,445
881.3806,721,0.6269071,452
884.821,721,0.6421636,463
887.867,721,0.6588072,475
890.8942,721,0.6699029,483
894.7002,721,0.6435506,464
897.8506,721,0.6546463,472
900.7563,721,0.6449376,465
905.0848,721,0.667129,481
908.2123,721,0.6380028,460
911.9869,721,0.629681,454
915.6236,721,0.6574203,474
918.6932,721,0.6546463,472
922.1115,721,0.6518724,470
925.1049,721,0.6504855,469
928.327,721,0.6477115,467
932.5748,721,0.6421636,463
935.6715,721,0.6463246,466
939.6512,721,0.6560333,473
942.1954,721,0.6532593,471
946.3105,721,0.6615812,477
950.6533,721,0.6699029,483
953.8203,721,0.6754507,487
957.1005,721,0.6782247,489
960.6569,721,0.6976421,503
963.9578,721,0.701803,506
967.694,721,0.6907073,498
970.702,721,0.6809986,491
975.0415,721,0.6754507,487
979.0401,721,0.6809986,491
983.4051,721,0.6574203,474
986.602,721,0.6560333,473
989.8612,721,0.6477115,467
994.2438,721,0.6435506,464
997.9235,721,0.6685159,482
1001.617,721,0.6504855,469
1004.63,721,0.6380028,460
1008.834,721,0.6324549,456
1011.989,721,0.6269071,452
1015.599,721,0.6269071,452
1019.235,721,0.6227462,449
1022.326,721,0.6435506,464
1026.64,721,0.6615812,477
1029.671,721,0.6601942,476
1033.517,721,0.6615812,477
1036.223,721,0.6601942,476
1039.376,721,0.6629681,478
1043.609,721,0.6699029,483
1046.733,721,0.6699029,483
1050.143,721,0.667129,481
1053.181,721,0.6699029,483
1056.778,721,0.6740638,486
1060.47,721,0.6712899,484
1063.508,721,0.6920943,499
1066.907,721,0.704577,508
1069.858,721,0.7059639,509
1073.608,721,0.7073509,510
1077.285,721,0.6823856,492
1080.517,721,0.6726769,485
1084.372,721,0.6962552,502
1087.892,721,0.7170596,517
1090.857,721,0.7004161,505
1093.889,721,0.704577,508
1097.319,721,0.7073509,510
1100.319,721,0.7142857,515
1104.077,721,0.7281553,525
1107.791,721,0.7475728,539
1110.991,721,0.7323163,528
1115.035,721,0.7156727,516
1118.71,721,0.7059639,509
1122.388,721,0.6934813,500
1125.523,721,0.7170596,517
1128.584,721,0.7239944,522
1131.698,721,0.7170596,517
1135.649,721,0.7128987,514
1139.39,721,0.704577,508
1143.799,721,0.6976421,503
1146.834,721,0.701803,506
1151.443,721,0.6712899,484
1155.21,721,0.6712899,484
1158.656,721,0.6740638,486
1161.842,721,0.6879334,496
1166.112,721,0.6740638,486
1169.16,721,0.6920943,499
1172.549,721,0.6990291,504
1175.536,721,0.7004161,505
1178.578,721,0.7198336,519
1183.458,721,0.7226075,521
1186.85,721,0.7281553,525
1191.095,721,0.7323163,528
1194.58,721,0.7337032,529
1198.228,721,0.7323163,528
1201.347,721,0.7475728,539
1205.643,721,0.7461858,538
1209.415,721,0.7253814,523
1213.23,721,0.6976421,503
1216.937,721,0.7073509,510
1220.616,721,0.7128987,514
1223.794,721,0.7226075,521
1227.774,721,0.7226075,521
1230.81,721,0.7128987,514
1235.242,721,0.7156727,516
1238.33,721,0.6976421,503
1242.911,721,0.6823856,492
1246.042,721,0.6712899,484
1250.313,721,0.6962552,502
1253.384,721,0.6907073,498
