BoardSize,MutationRate,TypeOfStartEnvironment,FitnessTimeStep,CostToLive,FitnessRepThreshold,DirectFitnessTimer,DirectFitnessRange,DirectFitnessBenefit,DirectFitnessCost,DirectFitnessbcRatio,DirectFitnessExploitability,DoDirectFitness,DiffusionTimeStep,DiffusionConstG,DiffusionCutOff,DoDiffusion,ColorSecretionTimeStep,ColorSecreted,AmountColorSecreted,ColorSecretionCostPerTimeStep,DoColorSecretion,ColorMetabolismTimeStep,ColorMetNoUptake,ColorUptakeG,ColorUptakeB,ColorUptakeR,ColorFitnessPerUnitG,ColorFitnessPerUnitB,DoColorMetabolism,ColorFitnessPerUnitR,DoBiofilm,ExploitersDoBiofilms,BiofilmRange,BiofilmViscosity,BiofilmCost,BiofilmUptakeMultR,DoFlow,FlowOutOfBoard,FlowTimeStep,FlowProportionalToAmount,FlowAmountPerTimeStep,DoDegradation,DegradationReducedByBiofilm,DegradationTimeStep,DegradationProportional,DegradationAmountPerTimeStep,TimeTaken,CellID,HighestProducerCount,LowestProducerCount,TimeAtHighestProdCount,TimeAtLowestProdCount,HighestProducerCountAfterStable,LowestProducerCountAfterStable,TimeAtHighestProdCountAfterStable,TimeAtLowestProdCountAfterStable,CellCountmean,CellCountvariance,CellCountmeanPast1000,CellCountvariancePast1000,ProducerFrequencymean,ProducerFrequencyvariance,ProducerFrequencymeanPast1000,ProducerFrequencyvariancePast1000,ProducerCountmean,ProducerCountvariance,ProducerCountmeanPast1000,ProducerCountvariancePast1000
15,0,SmallSeedEach,1,-0.1,1,5,1,1,0.1,10,1,True,0.5,0.15,1,False,1,Green,5000,0.1,False,1,False,10000,10000,100,0.0001,0.0001,False,-0.01,False,False,1,3,0.05,0.01,False,True,1,True,0.7,False,False,2,True,0.5,5000.188,1298883,721,11,947.6795,4.756285,721,720,1001,1001,708.976,6052.782,721,0,0.9775519,0.004421625,1,0,696.9338,8209.874,721,0
15,0,SmallSeedEach,1,-0.1,1,5,1,1,0.1,10,1,True,0.5,0.15,1,False,1,Green,5000,0.1,False,1,False,10000,10000,100,0.0001,0.0001,False,-0.01,False,False,1,3,0.05,0.01,False,True,1,True,0.7,False,False,2,True,0.5,5000.354,1279562,721,10,900.1669,16.20223,721,720,1000.594,1000.594,706.0894,7445.245,721,0,0.9747931,0.004890059,1,0,693.2273,9691.574,721,0
15,0,SmallSeedEach,1,-0.1,1,5,1,1,0.1,10,1,True,0.5,0.15,1,False,1,Green,5000,0.1,False,1,False,10000,10000,100,0.0001,0.0001,False,-0.01,False,False,1,3,0.05,0.01,False,True,1,True,0.7,False,False,2,True,0.5,5000.884,1275879,721,18,768.3173,8.090917,721,720,1000.996,1000.996,707.7495,6018.367,721,0,0.9748932,0.004499739,1,0,692.98,8650.528,721,0
15,0,SmallSeedEach,1,-0.1,1,5,1,1.35,0.1,13.5,1,True,0.5,0.15,1,False,1,Green,5000,0.1,False,1,False,10000,10000,100,0.0001,0.0001,False,-0.01,False,False,1,3,0.05,0.01,False,True,1,True,0.7,False,False,2,True,0.5,5000.294,1393021,721,18,293.2735,6.124851,721,720,1000.302,1000.302,712.8041,4117.439,721,0,0.9935997,0.001209185,1,0,709.9264,4734.98,721,0
15,0,SmallSeedEach,1,-0.1,1,5,1,1.35,0.1,13.5,1,True,0.5,0.15,1,False,1,Green,5000,0.1,False,1,False,10000,10000,100,0.0001,0.0001,False,-0.01,False,False,1,3,0.05,0.01,False,True,1,True,0.7,False,False,2,True,0.5,5000.283,1374975,721,18,1342.912,18.53297,721,676,1342.912,1029.644,712.235,4169.705,721,0,0.9814055,0.00218578,0.9980747,5.149026E-05,700.881,5350.055,719.6119,26.76758
15,0,SmallSeedEach,1,-0.1,1,5,1,1.35,0.1,13.5,1,True,0.5,0.15,1,False,1,Green,5000,0.1,False,1,False,10000,10000,100,0.0001,0.0001,False,-0.01,False,False,1,3,0.05,0.01,False,True,1,True,0.7,False,False,2,True,0.5,5000.369,1376127,721,18,207.9797,5.968762,721,720,1000.236,1000.236,709.755,5421.646,721,0,0.9944862,0.001199938,1,0,708.2357,6272.02,721,0
15,0,SmallSeedEach,1,-0.1,1,5,2,1,0.1,10,1,True,0.5,0.15,1,False,1,Green,5000,0.1,False,1,False,10000,10000,100,0.0001,0.0001,False,-0.01,False,False,1,3,0.05,0.01,False,True,1,True,0.7,False,False,2,True,0.5,5000.21,485933,624,0,303.5933,2349.614,356,0,1149.946,2349.614,710.2056,4779.553,721,0,0.1675777,0.05739712,0.07155193,0.01500538,113.047,25987.02,51.58891,7800.511
15,0,SmallSeedEach,1,-0.1,1,5,2,1,0.1,10,1,True,0.5,0.15,1,False,1,Green,5000,0.1,False,1,False,10000,10000,100,0.0001,0.0001,False,-0.01,False,False,1,3,0.05,0.01,False,True,1,True,0.7,False,False,2,True,0.5,5000.059,922333,680,18,150.2109,6.287673,513,48,4490.671,3195.883,714.7288,3281.34,721,0,0.461873,0.04778596,0.3829949,0.02446928,328.082,24324.95,276.1393,12720.15
15,0,SmallSeedEach,1,-0.1,1,5,2,1,0.1,10,1,True,0.5,0.15,1,False,1,Green,5000,0.1,False,1,False,10000,10000,100,0.0001,0.0001,False,-0.01,False,False,1,3,0.05,0.01,False,True,1,True,0.7,False,False,2,True,0.5,5000.621,1100187,696,18,258.4332,6.452956,589,79,3806.206,4923.28,711.8813,4524.299,721,0,0.5946539,0.02920976,0.5533563,0.02435112,422.0186,15989.41,398.97,12658.73
15,0,SmallSeedEach,1,-0.1,1,5,2,1.35,0.1,13.5,1,True,0.5,0.15,1,False,1,Green,5000,0.1,False,1,False,10000,10000,100,0.0001,0.0001,False,-0.01,False,False,1,3,0.05,0.01,False,True,1,True,0.7,False,False,2,True,0.5,5000.33,1607327,721,18,844.3932,7.077306,721,720,1000.616,1000.616,713.1506,3850.123,721,0,0.9811753,0.002283501,1,0,701.1635,4974.161,721,0
15,0,SmallSeedEach,1,-0.1,1,5,2,1.35,0.1,13.5,1,True,0.5,0.15,1,False,1,Green,5000,0.1,False,1,False,10000,10000,100,0.0001,0.0001,False,-0.01,False,False,1,3,0.05,0.01,False,True,1,True,0.7,False,False,2,True,0.5,5001.258,1591948,721,15,782.7315,10.41819,721,720,1000.778,1000.778,713.0558,3923.53,721,0,0.9823835,0.002784516,1,0,702.4798,5294.629,721,0
15,0,SmallSeedEach,1,-0.1,1,5,2,1.35,0.1,13.5,1,True,0.5,0.15,1,False,1,Green,5000,0.1,False,1,False,10000,10000,100,0.0001,0.0001,False,-0.01,False,False,1,3,0.05,0.01,False,True,1,True,0.7,False,False,2,True,0.5,5000.384,1303064,675,21,4944.384,5.411776,675,334,4944.384,3029.843,713.2324,3725.138,721,0,0.7241164,0.00941065,0.7046336,0.009298797,516.3319,6507.848,508.0409,4833.897

