TimePassed,CellCount,ProducerFrequency,ProducerCount
0,31,0.3870968,12
4.855624,31,0.3870968,12
8.434307,35,0.4571429,16
12.10833,41,0.5365854,22
15.39448,52,0.5769231,30
18.72901,58,0.6034483,35
22.62617,66,0.6212121,41
25.65881,74,0.6081081,45
28.58406,85,0.6588235,56
33.45954,98,0.6734694,66
36.84828,108,0.6759259,73
38.78545,112,0.6785714,76
44.87053,121,0.6859504,83
48.57138,137,0.7080292,97
52.39697,151,0.7086093,107
56.34185,164,0.7134146,117
59.55098,176,0.7159091,126
62.65575,186,0.7150537,133
66.01382,202,0.7128713,144
69.61019,214,0.7149532,153
73.57235,223,0.7219731,161
77.72504,237,0.7299578,173
79.13332,244,0.7336066,179
84.79423,259,0.7181467,186
86.39057,269,0.7174721,193
92.768,289,0.7266436,210
96.39735,300,0.73,219
99.75859,306,0.7287582,223
101.5642,311,0.7363344,229
106.9928,328,0.7378049,242
108.8677,334,0.742515,248
113.5606,346,0.7456647,258
117.0631,363,0.7603306,276
124.8252,378,0.7645503,289
128.5747,383,0.7780679,298
131.7146,393,0.783715,308
134.4885,401,0.7955112,319
139.7676,408,0.8088235,330
142.6511,412,0.8082525,333
147.5888,423,0.8132388,344
151.31,428,0.8154206,349
155.0682,436,0.8279817,361
159.0358,445,0.8314607,370
164.0764,455,0.8351648,380
168.0856,465,0.8408602,391
170.9,468,0.8461539,396
177.9926,480,0.8479167,407
181.2099,487,0.8480493,413
181.8902,490,0.8510204,417
187.4933,495,0.8585858,425
190.41,504,0.8690476,438
196.2049,513,0.8693957,446
199.1674,517,0.8858801,458
204.2952,524,0.8931298,468
208.2546,538,0.8828996,475
213.3881,546,0.8864469,484
215.9976,548,0.8850365,485
220.0322,559,0.8872988,496
223.0367,564,0.8900709,502
226.6736,566,0.885159,501
229.825,573,0.8952879,513
231.8761,578,0.899654,520
236.9493,586,0.9061434,531
239.9921,590,0.9118644,538
244.9384,599,0.9165276,549
247.9974,601,0.9184692,552
252.8432,609,0.9195402,560
255.6943,614,0.9250814,568
261.3404,621,0.9291465,577
263.3445,626,0.928115,581
268.1238,635,0.9291338,590
271.2348,640,0.9296875,595
275.8722,644,0.9347826,602
278.9092,647,0.9381762,607
283.8844,654,0.9373088,613
286.8975,658,0.93769,617
293.2848,663,0.9472097,628
297.1272,667,0.9490255,633
300.1874,674,0.9525223,642
304.3462,676,0.9571006,647
307.4323,683,0.9692533,662
311.687,689,0.9709724,669
313.7502,692,0.9725434,673
319.9827,698,0.969914,677
324.785,701,0.9714693,681
326.7589,703,0.9672831,680
331.7551,707,0.9688826,685
334.71,707,0.970297,686
339.2762,712,0.9676966,689
343.045,715,0.979021,700
346.7936,715,0.9818182,702
349.9122,717,0.9846583,706
354.8204,720,0.9888889,712
356.7546,720,0.9902778,713
361.805,721,0.9875174,712
363.667,721,0.9861304,711
368.3801,721,0.9861304,711
370.416,721,0.9847434,710
374.9451,721,0.9875174,712
377.9479,721,0.9819695,708
382.5406,721,0.9875174,712
384.5752,721,0.9847434,710
389.2431,721,0.9902912,714
391.1456,721,0.9930652,716
396.3721,721,0.9944522,717
398.3747,721,0.9930652,716
403.1575,721,0.9944522,717
406.0625,721,0.9930652,716
410.9856,721,1,721
414.0709,721,1,721
417.9027,721,1,721
421.2867,721,1,721
425.9275,721,1,721
427.7727,721,1,721
432.7141,721,1,721
435.7548,721,1,721
440.8506,721,1,721
442.7936,721,1,721
447.5631,721,1,721
449.4875,721,1,721
454.148,721,1,721
456.1871,721,1,721
460.8238,721,1,721
463.7169,721,1,721
468.7282,721,1,721
471.1973,721,1,721
475.0718,721,1,721
477.3824,721,1,721
481.4603,721,1,721
484.388,721,1,721
489.1564,721,1,721
492.0233,721,1,721
496.9058,721,1,721
500.7225,721,1,721
504.4323,721,1,721
509.4726,721,1,721
511.3891,721,1,721
516.1851,721,1,721
518.1933,721,1,721
523.9415,721,1,721
528.7853,721,1,721
530.6691,721,1,721
535.1522,721,1,721
537.2494,721,1,721
542.2146,721,1,721
544.1724,721,1,721
549.2659,721,1,721
553.1037,721,1,721
556.7947,721,1,721
561.5576,721,1,721
563.4565,721,1,721
568.4568,721,1,721
570.9043,721,1,721
574.8459,721,1,721
576.7575,721,1,721
581.2334,721,1,721
583.2263,721,1,721
587.5628,721,1,721
589.5143,721,1,721
594.7896,721,1,721
596.3682,721,1,721
600.996,721,1,721
604.0745,721,1,721
608.8694,721,1,721
611.0177,721,1,721
615.4465,721,1,721
618.5316,721,1,721
623.7621,721,1,721
625.7213,721,1,721
630.269,721,1,721
633.5629,721,1,721
638.0291,721,1,721
640.09,721,1,721
644.8752,721,1,721
649.6524,721,1,721
652.9001,721,1,721
654.884,721,1,721
659.4575,721,1,721
662.5863,721,1,721
667.0968,721,1,721
669.139,721,1,721
674.1453,721,1,721
678.1334,721,1,721
681.013,721,1,721
682.9437,721,1,721
687.7494,721,1,721
689.7181,721,1,721
694.4166,721,1,721
698.0052,721,1,721
701.8588,721,1,721
704.8837,721,1,721
709.4767,721,1,721
712.5674,721,1,721
717.1234,721,1,721
720.1654,721,1,721
725.34,721,1,721
727.4703,721,1,721
732.1796,721,1,721
734.151,721,1,721
738.7806,721,1,721
740.9216,721,1,721
745.603,721,1,721
749.4034,721,1,721
752.5951,721,1,721
757.4063,721,1,721
759.2229,721,1,721
763.9177,721,1,721
767.0596,721,1,721
771.4397,721,1,721
776.1558,721,1,721
779.5305,721,1,721
783.0208,721,1,721
786.3145,721,1,721
789.9495,721,1,721
792.7202,721,1,721
794.8184,721,1,721
799.2397,721,1,721
801.2823,721,1,721
805.7746,721,1,721
808.9436,721,1,721
813.6722,721,1,721
815.2454,721,1,721
820.1979,721,1,721
822.8516,721,1,721
826.4573,721,1,721
828.5397,721,1,721
833.2578,721,1,721
835.1578,721,1,721
839.7678,721,1,721
842.0895,721,1,721
847.0211,721,1,721
848.4795,721,1,721
853.6351,721,1,721
855.4954,721,1,721
860.201,721,1,721
863.2023,721,1,721
869.5251,721,1,721
872.9349,721,1,721
876.1046,721,1,721
879.9659,721,1,721
882.7909,721,1,721
884.851,721,1,721
889.6557,721,1,721
892.5531,721,1,721
897.3325,721,1,721
901.8194,721,1,721
905.049,721,1,721
908.8996,721,1,721
912.655,721,1,721
916.5082,721,1,721
920.3672,721,1,721
924.8545,721,1,721
928.4639,721,1,721
932.1764,721,1,721
936.7037,721,1,721
938.7212,721,1,721
943.6139,721,1,721
946.9028,721,1,721
951.9357,721,1,721
953.8861,721,1,721
958.6906,721,1,721
960.6287,721,1,721
965.2809,721,1,721
968.2353,721,1,721
973.5002,721,1,721
975.0722,721,1,721
979.96,721,1,721
983.1766,721,1,721
987.3789,721,1,721
989.4064,721,1,721
994.2106,721,1,721
997.4809,721,1,721
1002.278,721,1,721
1004.322,721,1,721
1009.262,721,1,721
1012.208,721,1,721
1016.852,721,1,721
1019.881,721,1,721
1024.62,721,1,721
1026.751,721,1,721
1030.963,721,1,721
1032.995,721,1,721
1037.697,721,1,721
1040.682,721,1,721
1045.237,721,1,721
1049.118,721,1,721
1052.992,721,1,721
1054.807,721,1,721
1059.82,721,1,721
1062.794,721,1,721
1067.278,721,1,721
1069.28,721,1,721
1074.541,721,1,721
1076.102,721,1,721
1080.948,721,1,721
1084.133,721,1,721
1088.561,721,1,721
1090.606,721,1,721
1095.123,721,1,721
1098.087,721,1,721
1103.359,721,1,721
1105.445,721,1,721
1110.023,721,1,721
1113.122,721,1,721
1118.006,721,1,721
1120.99,721,1,721
1125.799,721,1,721
1127.624,721,1,721
1132.556,721,1,721
1135.473,721,1,721
1140.224,721,1,721
1143.221,721,1,721
1148.005,721,1,721
1149.892,721,1,721
1155.093,721,1,721
1157.245,721,1,721
1162.007,721,1,721
1165.13,721,1,721
1169.639,721,1,721
1171.879,721,1,721
1176.878,721,1,721
1180.084,721,1,721
1183.326,721,1,721
1187.241,721,1,721
1191.072,721,1,721
1195.02,721,1,721
1197.816,721,1,721
1199.822,721,1,721
1205.273,721,1,721
1207.221,721,1,721
1211.251,721,1,721
1215.812,721,1,721
1218.667,721,1,721
1222.592,721,1,721
1226.303,721,1,721
1231.528,721,1,721
1235.381,721,1,721
1239.11,721,1,721
1242.92,721,1,721
1245.677,721,1,721
1249.256,721,1,721
1252.798,721,1,721
1255.819,721,1,721
1257.813,721,1,721
1262.741,721,1,721
1264.507,721,1,721
1268.903,721,1,721
1270.985,721,1,721
1274.401,721,1,721
1277.538,721,1,721
1281.269,721,1,721
1286.407,721,1,721
1289.198,721,1,721
1293.161,721,1,721
1296.467,721,1,721
1300.264,721,1,721
1303.12,721,1,721
1307.826,721,1,721
1309.835,721,1,721
1314.523,721,1,721
1317.494,721,1,721
1321.916,721,1,721
1324.971,721,1,721
1330.485,721,1,721
1334.299,721,1,721
1337.966,721,1,721
1342.013,721,1,721
1344.824,721,1,721
1346.79,721,1,721
1350.659,721,1,721
1353.788,721,1,721
1358.563,721,1,721
1361.345,721,1,721
1365.079,721,1,721
1368.958,721,1,721
1371.919,721,1,721
1375.613,721,1,721
1378.382,721,1,721
1382.965,721,1,721
1385.163,721,1,721
1389.422,721,1,721
1392.047,721,1,721
1396.76,721,1,721
1401.897,721,1,721
1405.671,721,1,721
1409.456,721,1,721
1413.637,721,1,721
1415.649,721,1,721
1420.96,721,1,721
1423.959,721,1,721
1425.584,721,1,721
1430.195,721,1,721
1433.27,721,1,721
1438.369,721,1,721
1440.124,721,1,721
1445.146,721,1,721
1446.975,721,1,721
1452.542,721,1,721
1454.541,721,1,721
1459.361,721,1,721
1461.248,721,1,721
1465.858,721,1,721
1468.956,721,1,721
1473.591,721,1,721
1477.749,721,1,721
1480.881,721,1,721
1485.261,721,1,721
1489.659,721,1,721
1492.924,721,1,721
1496.597,721,1,721
1500.072,721,1,721
1503.985,721,1,721
1507.963,721,1,721
1512.49,721,1,721
1514.35,721,1,721
1519.228,721,1,721
1521.207,721,1,721
1525.372,721,1,721
1527.694,721,1,721
1532.079,721,1,721
1534.022,721,1,721
1538.788,721,1,721
1542.398,721,1,721
1545.139,721,1,721
1550.478,721,1,721
1554.13,721,1,721
1557.962,721,1,721
1562.598,721,1,721
1564.566,721,1,721
1569.442,721,1,721
1571.338,721,1,721
1576.687,721,1,721
1577.678,721,1,721
1583.762,721,1,721
1588.886,721,1,721
1590.873,721,1,721
1595.689,721,1,721
1596.711,721,1,721
1601.829,721,1,721
1603.896,721,1,721
1608.838,721,1,721
1610.891,721,1,721
1615.439,721,1,721
1617.218,721,1,721
1622.545,721,1,721
1626.11,721,1,721
1630.026,721,1,721
1633.821,721,1,721
1634.822,721,1,721
1640.594,721,1,721
1644.123,721,1,721
1646.936,721,1,721
1651.434,721,1,721
1654.399,721,1,721
1659.123,721,1,721
1661.175,721,1,721
1665.862,721,1,721
1668.803,721,1,721
1673.785,721,1,721
1677.664,721,1,721
1680.683,721,1,721
1684.474,721,1,721
1688.248,721,1,721
1693.312,721,1,721
1695.376,721,1,721
1699.904,721,1,721
1701.901,721,1,721
1706.268,721,1,721
1709.349,721,1,721
1713.883,721,1,721
1718.555,721,1,721
