BoardSize,MutationRate,TypeOfStartEnvironment,FitnessTimeStep,CostToLive,FitnessRepThreshold,DirectFitnessTimer,DirectFitnessRange,DirectFitnessBenefit,DirectFitnessCost,DirectFitnessbcRatio,DirectFitnessExploitability,DoDirectFitness,DiffusionTimeStep,DiffusionConstG,DiffusionCutOff,DoDiffusion,ColorSecretionTimeStep,ColorSecreted,AmountColorSecreted,ColorSecretionCostPerTimeStep,DoColorSecretion,ColorMetabolismTimeStep,ColorMetNoUptake,ColorUptakeG,ColorUptakeB,ColorUptakeR,ColorFitnessPerUnitG,ColorFitnessPerUnitB,DoColorMetabolism,ColorFitnessPerUnitR,DoBiofilm,ExploitersDoBiofilms,BiofilmRange,BiofilmViscosity,BiofilmCost,BiofilmUptakeMultR,DoFlow,FlowOutOfBoard,FlowTimeStep,FlowProportionalToAmount,FlowAmountPerTimeStep,DoDegradation,DegradationReducedByBiofilm,DegradationTimeStep,DegradationProportional,DegradationAmountPerTimeStep,TimeTaken,CellID,HighestProducerCount,LowestProducerCount,TimeAtHighestProdCount,TimeAtLowestProdCount,HighestProducerCountAfterStable,LowestProducerCountAfterStable,TimeAtHighestProdCountAfterStable,TimeAtLowestProdCountAfterStable,CellCountmean,CellCountvariance,CellCountmeanPast1000,CellCountvariancePast1000,ProducerFrequencymean,ProducerFrequencyvariance,ProducerFrequencymeanPast1000,ProducerFrequencyvariancePast1000,ProducerCountmean,ProducerCountvariance,ProducerCountmeanPast1000,ProducerCountvariancePast1000
15,0,SmallSeedEach,1,-0.1,1,5,1,1.7,0.1,17,1,False,0.5,0.15,1,True,1,Blue,5000,0.1,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,True,True,1,1,0,0.01,False,True,1,True,0.7,True,False,2,True,0.5,3000.827,445550,517,18,1024.605,3.799989,517,66,1024.605,2895.953,694.8353,10994.35,721,0,0.4205897,0.04096434,0.3035748,0.01940834,284.4286,18575.28,218.8775,10089.26
15,0,SmallSeedEach,1,-0.1,1,5,1,1.7,0.1,17,1,False,0.5,0.15,1,True,1,Blue,5000,0.1,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,True,True,1,1,0,0.01,False,True,1,True,0.7,True,False,2,True,0.5,3000.973,455106,627,18,634.9304,11.19545,472,104,1015.25,2999.081,697.6658,10409.88,721,0,0.508829,0.04695095,0.3792723,0.01586023,349.4476,23509.06,273.4554,8244.799
15,0,SmallSeedEach,1,-0.1,1,5,1,1.7,0.1,17,1,False,0.5,0.15,1,True,1,Blue,5000,0.1,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,True,True,1,1,0,0.01,False,True,1,True,0.7,True,False,2,True,0.5,3000.163,425037,583,18,339.3482,5.877619,431,25,1028.169,2987.433,695.2244,10986.48,721,0,0.409322,0.05215684,0.270151,0.01614043,276.7431,24100.44,194.7786,8390.454
15,0,SmallSeedEach,1,-0.1,1,5,1,1.7,0.1,17,1,False,0.5,0.15,1,True,1,Blue,5000,0.1,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,True,True,1,1,0,0.01,False,True,1,True,0.7,True,False,2,True,0.5,3000.962,443289,502,18,267.3536,6.214006,426,77,2725.796,1159.535,694.3358,11465.38,721,0,0.3834,0.02107073,0.324937,0.00947514,258.4588,8284.05,234.2796,4925.561
15,0,SmallSeedEach,1,-0.1,1,5,1,1.7,0.1,17,1,False,0.5,0.15,1,True,1,Blue,5000,0.1,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,True,True,1,1,0,0.01,False,True,1,True,0.7,True,False,2,True,0.5,3000.513,448652,607,15,358.4697,4.219768,465,63,1000.411,2867.783,693.3644,12935.77,721,0,0.4835775,0.04985398,0.345085,0.01472946,327.5932,24246.11,248.8062,7656.98
15,0,SmallSeedEach,1,-0.1,1,5,1,1.7,0.1,17,1,False,0.5,0.15,1,True,1,Blue,5000,0.1,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,True,True,1,10,0,0.01,False,True,1,True,0.7,True,False,2,True,0.5,3000.655,409809,721,18,294.9698,6.350991,721,720,1000.807,1000.807,698.8401,9800.707,721,0,0.9871954,0.002690557,1,0,694.738,11656.18,721,0
15,0,SmallSeedEach,1,-0.1,1,5,1,1.7,0.1,17,1,False,0.5,0.15,1,True,1,Blue,5000,0.1,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,True,True,1,10,0,0.01,False,True,1,True,0.7,True,False,2,True,0.5,3000.278,404314,721,11,410.9856,6.479439,721,720,1000.15,1000.15,688.9964,13353.91,721,0,0.9794188,0.005293229,1,0,683.0916,16730.28,721,0
15,0,SmallSeedEach,1,-0.1,1,5,1,1.7,0.1,17,1,False,0.5,0.15,1,True,1,Blue,5000,0.1,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,True,True,1,10,0,0.01,False,True,1,True,0.7,True,False,2,True,0.5,3000.099,405724,721,18,437.7377,10.01472,721,720,1000.627,1000.627,694.4737,11065.61,721,0,0.9818408,0.003807578,1,0,688.1591,13775.2,721,0
15,0,SmallSeedEach,1,-0.1,1,5,1,1.7,0.1,17,1,False,0.5,0.15,1,True,1,Blue,5000,0.1,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,True,True,1,10,0,0.01,False,True,1,True,0.7,True,False,2,True,0.5,3000.455,406560,721,18,519.0119,5.479889,721,720,1000.351,1000.351,692.1859,13034.97,721,0,0.978583,0.004302191,1,0,684.2807,15933.49,721,0
15,0,SmallSeedEach,1,-0.1,1,5,1,1.7,0.1,17,1,False,0.5,0.15,1,True,1,Blue,5000,0.1,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,True,True,1,10,0,0.01,False,True,1,True,0.7,True,False,2,True,0.5,3002.201,403235,721,18,510.4196,5.707529,721,720,1000.704,1000.704,687.9526,13302.2,721,0,0.9795229,0.003852163,1,0,680.7543,16386.24,721,0
15,0,SmallSeedEach,1,-0.1,1,5,1,1.7,0.1,17,1,False,0.5,0.15,1,True,1,Blue,5000,0.1,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,True,True,1,1,0,0.01,False,True,1,True,0.7,True,False,2,True,0.7,3000.018,196648,338,0,273.163,1290.144,128,0,1004.918,1290.144,685.4579,14630.69,721,0,0.1350932,0.03819562,0.009776857,0.001004135,76.35963,11230.91,7.049116,521.9896
15,0,SmallSeedEach,1,-0.1,1,5,1,1.7,0.1,17,1,False,0.5,0.15,1,True,1,Blue,5000,0.1,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,True,True,1,1,0,0.01,False,True,1,True,0.7,True,False,2,True,0.7,3002.151,340233,509,18,578.119,8.455427,419,64,1022.464,1837.282,692.7318,11968.19,721,0,0.3719343,0.04326149,0.2404103,0.01314862,249.3866,19568.28,173.3359,6835.198
15,0,SmallSeedEach,1,-0.1,1,5,1,1.7,0.1,17,1,False,0.5,0.15,1,True,1,Blue,5000,0.1,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,True,True,1,1,0,0.01,False,True,1,True,0.7,True,False,2,True,0.7,3001.105,370529,594,18,364.0195,4.49881,450,77,1170.141,2977.204,691.8929,12430.38,721,0,0.4881611,0.04564164,0.3518724,0.01237488,331.3599,22775.99,253.7,6432.977
15,0,SmallSeedEach,1,-0.1,1,5,1,1.7,0.1,17,1,False,0.5,0.15,1,True,1,Blue,5000,0.1,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,True,True,1,1,0,0.01,False,True,1,True,0.7,True,False,2,True,0.7,3000.392,321368,537,18,314.1967,5.891577,373,36,1010.739,2888.058,690.7047,13313.08,721,0,0.3475198,0.06269088,0.1789695,0.01143846,228.9645,27524.76,129.037,5946.178
15,0,SmallSeedEach,1,-0.1,1,5,1,1.7,0.1,17,1,False,0.5,0.15,1,True,1,Blue,5000,0.1,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,True,True,1,1,0,0.01,False,True,1,True,0.7,True,False,2,True,0.7,3000.528,239580,558,0,342.1436,1492.217,233,0,1002.063,1492.217,696.981,10445.65,721,0,0.2375117,0.08866065,0.03193801,0.004829409,154.1842,39220.64,23.02729,2510.552
15,0,SmallSeedEach,1,-0.1,1,5,1,1.7,0.1,17,1,False,0.5,0.15,1,True,1,Blue,5000,0.1,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,True,True,1,10,0,0.01,False,True,1,True,0.7,True,False,2,True,0.7,3000.747,270208,721,18,537.3206,7.831705,721,720,1000.32,1000.32,688.1868,13895.15,721,0,0.9656554,0.00802989,1,0,673.9842,19019.95,721,0
15,0,SmallSeedEach,1,-0.1,1,5,1,1.7,0.1,17,1,False,0.5,0.15,1,True,1,Blue,5000,0.1,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,True,True,1,10,0,0.01,False,True,1,True,0.7,True,False,2,True,0.7,3001.935,270904,721,18,640.292,7.086668,721,720,1000.063,1000.063,692.6093,12197.55,721,0,0.9640916,0.007364172,1,0,675.4088,16825.3,721,0
15,0,SmallSeedEach,1,-0.1,1,5,1,1.7,0.1,17,1,False,0.5,0.15,1,True,1,Blue,5000,0.1,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,True,True,1,10,0,0.01,False,True,1,True,0.7,True,False,2,True,0.7,3002.574,267092,721,18,604.6434,6.886259,721,720,1000.561,1000.561,684.076,14655.18,721,0,0.9775998,0.00434803,1,0,676.424,18295.2,721,0
15,0,SmallSeedEach,1,-0.1,1,5,1,1.7,0.1,17,1,False,0.5,0.15,1,True,1,Blue,5000,0.1,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,True,True,1,10,0,0.01,False,True,1,True,0.7,True,False,2,True,0.7,3002.029,266829,721,18,553.6987,6.101312,721,720,1000.666,1000.666,682.6436,16697.58,721,0,0.9749156,0.00399651,1,0,672.6257,20132.02,721,0
15,0,SmallSeedEach,1,-0.1,1,5,1,1.7,0.1,17,1,False,0.5,0.15,1,True,1,Blue,5000,0.1,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,True,True,1,10,0,0.01,False,True,1,True,0.7,True,False,2,True,0.7,3000.393,271543,721,18,586.6606,9.056759,721,720,1000.748,1000.748,688.0565,14463.15,721,0,0.967757,0.006501704,1,0,674.2542,18709.41,721,0

