TimePassed,CellCount,ProducerFrequency,ProducerCount
0,38,0.5,19
1.011001,38,0.5,19
12.44017,38,0.5,19
15.92259,40,0.525,21
19.20417,46,0.5869565,27
22.37215,59,0.6101695,36
25.78256,72,0.6805556,49
29.43995,88,0.6931818,61
32.62891,95,0.6947368,66
35.88062,107,0.6915888,74
40.56275,123,0.699187,86
44.46117,141,0.7163121,101
46.83629,144,0.7222222,104
51.02098,157,0.7388535,116
52.92615,163,0.7484663,122
58.09982,177,0.7627119,135
62.55335,183,0.7540984,138
66.10585,199,0.7638191,152
69.46124,216,0.7685185,166
72.44878,232,0.7801724,181
75.40862,245,0.7795919,191
78.81694,252,0.7777778,196
82.05774,266,0.7781955,207
85.83259,277,0.7833935,217
88.89802,293,0.7849829,230
91.3167,300,0.7866667,236
95.91246,322,0.7981367,257
99.50785,339,0.7964602,270
103.746,351,0.8034188,282
107.1757,367,0.8010899,294
111.539,379,0.8021108,304
115.3992,390,0.8025641,313
118.8238,406,0.8029557,326
122.7645,418,0.8062201,337
126.6778,427,0.8103045,346
130.1828,450,0.8111111,365
133.1523,458,0.8144105,373
138.1758,480,0.81875,393
141.0744,493,0.821501,405
149.8121,506,0.8201581,415
154.5937,525,0.8285714,435
158.5765,546,0.8241758,450
163.4469,560,0.825,462
167.4389,574,0.8240418,473
172.2347,585,0.8290598,485
176.1782,603,0.8391377,506
181.6902,617,0.8460292,522
184.6896,628,0.8455414,531
190.1452,636,0.8333333,530
193.1091,650,0.8276923,538
197.8894,660,0.819697,541
201.9483,668,0.8218563,549
206.8165,675,0.8192593,553
209.7801,682,0.8255132,563
214.4408,691,0.8321273,575
217.4986,695,0.8345324,580
222.1443,697,0.8220947,573
225.2239,699,0.825465,577
229.8234,703,0.826458,581
232.8624,705,0.8269504,583
237.4309,709,0.8335684,591
240.3451,714,0.8319328,594
246.5262,716,0.8421788,603
248.1024,716,0.8393854,601
252.8747,716,0.8477654,607
255.752,718,0.8495822,610
260.5143,719,0.852573,613
263.4639,719,0.8567455,616
268.3869,719,0.8692629,625
271.2717,719,0.8664812,623
276.6582,720,0.875,630
279.7024,720,0.8680556,625
284.5859,721,0.8613037,621
287.5234,721,0.8654646,624
292.3369,721,0.8654646,624
295.3228,721,0.8668516,625
299.9699,721,0.8654646,624
302.8882,721,0.8626907,622
308.1492,721,0.8654646,624
310.068,721,0.8668516,625
314.6632,721,0.8751734,631
317.6911,721,0.8751734,631
322.3785,721,0.8821082,636
325.2555,721,0.8793343,634
330.167,721,0.8834952,637
333.8152,721,0.8751734,631
337.4496,721,0.8737864,630
340.4551,721,0.8710125,628
345.057,721,0.8710125,628
347.9868,721,0.8668516,625
352.492,721,0.8723994,629
355.8675,721,0.8710125,628
360.2129,721,0.8793343,634
364.7787,721,0.8779473,633
367.8949,721,0.8834952,637
369.9599,721,0.8821082,636
374.5701,721,0.8834952,637
377.5388,721,0.889043,641
382.2664,721,0.8932039,644
386.1107,721,0.8959778,646
388.8827,721,0.8987517,648
393.3623,721,0.9015257,650
396.716,721,0.8987517,648
398.6368,721,0.8932039,644
403.2727,721,0.8834952,637
406.3367,721,0.8862691,639
410.9048,721,0.8918169,643
413.8653,721,0.8932039,644
419.0553,721,0.8918169,643
423.9061,721,0.8945909,645
427.1683,721,0.89043,642
429.08,721,0.889043,641
433.8634,721,0.8918169,643
436.7719,721,0.8945909,645
441.3889,721,0.8918169,643
444.4158,721,0.889043,641
448.09,721,0.8834952,637
451.3868,721,0.889043,641
456.2099,721,0.8848821,638
459.2563,721,0.8807212,635
463.8496,721,0.8779473,633
466.7288,721,0.889043,641
471.5452,721,0.889043,641
474.5049,721,0.8834952,637
478.1811,721,0.8765603,632
482.4348,721,0.8737864,630
487.6525,721,0.8848821,638
490.5933,721,0.8834952,637
495.0998,721,0.8779473,633
498.1396,721,0.8682386,626
502.8359,721,0.8682386,626
505.8582,721,0.8626907,622
510.4845,721,0.8737864,630
513.5059,721,0.8821082,636
518.2369,721,0.8807212,635
521.2706,721,0.8821082,636
525.8782,721,0.8821082,636
528.8474,721,0.8807212,635
533.9434,721,0.89043,642
536.9069,721,0.89043,642
542.2386,721,0.8973648,647
544.205,721,0.89043,642
549.1233,721,0.8932039,644
552.2119,721,0.8945909,645
556.8141,721,0.8987517,648
559.7373,721,0.9098474,656
564.5217,721,0.8945909,645
567.5994,721,0.889043,641
572.6736,721,0.8918169,643
574.5914,721,0.8973648,647
579.278,721,0.8973648,647
582.2828,721,0.9001387,649
586.8576,721,0.9042996,652
589.806,721,0.9029126,651
594.5721,721,0.9098474,656
597.6172,721,0.9098474,656
602.6746,721,0.9015257,650
604.6735,721,0.9070735,654
609.2651,721,0.8959778,646
612.1923,721,0.8945909,645
616.8499,721,0.8959778,646
619.753,721,0.8973648,647
624.5428,721,0.8918169,643
628.3094,721,0.8945909,645
631.7631,721,0.8987517,648
634.8679,721,0.9042996,652
639.5316,721,0.9126214,658
642.5612,721,0.9070735,654
647.2327,721,0.9098474,656
650.2234,721,0.9029126,651
654.8355,721,0.9084605,655
659.5332,721,0.9056866,653
662.7463,721,0.8973648,647
664.8165,721,0.8973648,647
669.3936,721,0.8932039,644
672.4879,721,0.9001387,649
677.1344,721,0.8987517,648
680.1075,721,0.9042996,652
683.8785,721,0.9098474,656
687.1213,721,0.9001387,649
691.7945,721,0.8945909,645
694.8101,721,0.8987517,648
699.4708,721,0.8932039,644
702.5185,721,0.8932039,644
707.0197,721,0.887656,640
710.012,721,0.889043,641
713.7205,721,0.8959778,646
717.1954,721,0.8918169,643
722.1016,721,0.8862691,639
725.0592,721,0.889043,641
729.6537,721,0.889043,641
732.723,721,0.8751734,631
737.3271,721,0.8682386,626
740.2605,721,0.8710125,628
745.0176,721,0.8585298,619
746.9832,721,0.8585298,619
751.7029,721,0.850208,613
754.7902,721,0.8585298,619
759.2936,721,0.850208,613
762.298,721,0.850208,613
766.9302,721,0.8446602,609
769.9389,721,0.8349515,602
774.6401,721,0.8377254,604
776.6077,721,0.8446602,609
781.2504,721,0.8335645,601
784.424,721,0.8280166,597
788.6709,721,0.8432732,608
791.7477,721,0.8418863,607
796.216,721,0.8432732,608
799.2506,721,0.8349515,602
804.4205,721,0.8363384,603
806.3951,721,0.8349515,602
811.0457,721,0.8391123,605
814.0983,721,0.8391123,605
818.5385,721,0.8404993,606
821.6802,721,0.8335645,601
826.2872,721,0.8307906,599
829.2283,721,0.8404993,606
834.7221,721,0.8418863,607
836.5848,721,0.8488211,612
841.4357,721,0.8460472,610
844.3881,721,0.8557559,617
848.9775,721,0.8557559,617
851.9478,721,0.8474341,611
856.7854,721,0.8474341,611
860.4383,721,0.8488211,612
864.1573,721,0.8488211,612
867.1523,721,0.851595,614
871.7965,721,0.850208,613
874.8417,721,0.8432732,608
879.628,721,0.850208,613
882.5787,721,0.8363384,603
887.2895,721,0.8391123,605
890.6528,721,0.8307906,599
895.1053,721,0.8196949,591
898.2001,721,0.8127601,586
902.9102,721,0.8113731,585
905.7897,721,0.8044383,580
910.3827,721,0.7988904,576
913.3459,721,0.8085992,583
917.1788,721,0.8030513,579
920.5231,721,0.8030513,579
925.2272,721,0.8099861,584
928.1685,721,0.8113731,585
932.7598,721,0.8294036,598
936.7961,721,0.8266297,596
941.5624,721,0.8321775,600
944.5752,721,0.8363384,603
949.2808,721,0.8460472,610
952.3423,721,0.852982,615
956.8663,721,0.8585298,619
959.8152,721,0.8751734,631
964.382,721,0.8751734,631
968.4241,721,0.8710125,628
973.0247,721,0.8585298,619
976.7784,721,0.8571429,618
980.3254,721,0.8557559,617
984.3298,721,0.8543689,616
988.9484,721,0.8543689,616
992.8433,721,0.8543689,616
997.5651,721,0.8585298,619
1001.582,721,0.8460472,610
1006.421,721,0.8391123,605
1009.22,721,0.8335645,601
1014.017,721,0.8294036,598
1017.927,721,0.8307906,599
1022.503,721,0.8252427,595
1026.528,721,0.8183079,590
1031.28,721,0.8280166,597
1035.013,721,0.8252427,595
1038.66,721,0.8183079,590
1042.682,721,0.8238558,594
1047.401,721,0.8252427,595
1051.344,721,0.8307906,599
1056.093,721,0.8404993,606
1060.047,721,0.8349515,602
1064.961,721,0.8391123,605
1067.927,721,0.8363384,603
1072.667,721,0.8404993,606
1076.597,721,0.8377254,604
1081.235,721,0.8418863,607
1085.214,721,0.850208,613
1089.879,721,0.8571429,618
1092.811,721,0.8599168,620
1097.145,721,0.8613037,621
1101.117,721,0.8668516,625
1104.959,721,0.8696255,627
1108.786,721,0.8640777,623
1110.769,721,0.8682386,626
1115.538,721,0.8543689,616
1118.528,721,0.852982,615
1123.172,721,0.8613037,621
1126.121,721,0.8571429,618
1130.764,721,0.8599168,620
1134.724,721,0.850208,613
1139.407,721,0.8363384,603
1143.409,721,0.8349515,602
1148.115,721,0.850208,613
1151.11,721,0.850208,613
1155.33,721,0.8460472,610
1158.319,721,0.851595,614
1160.257,721,0.8488211,612
1164.961,721,0.8446602,609
1168.928,721,0.852982,615
1173.596,721,0.8585298,619
1177.531,721,0.852982,615
1182.185,721,0.8765603,632
1185.158,721,0.8807212,635
1189.799,721,0.8807212,635
1193.759,721,0.8945909,645
1198.406,721,0.8834952,637
1202.368,721,0.8973648,647
1207.026,721,0.8987517,648
1210.399,721,0.8932039,644
1214.971,721,0.8987517,648
1217.981,721,0.9001387,649
1221.754,721,0.8834952,637
1225.563,721,0.8793343,634
1227.594,721,0.8848821,638
1232.119,721,0.8765603,632
1236.043,721,0.8834952,637
1240.65,721,0.8807212,635
1243.641,721,0.8696255,627
1248.145,721,0.8668516,625
1252.132,721,0.8765603,632
1256.85,721,0.8821082,636
1259.755,721,0.8862691,639
1264.281,721,0.8779473,633
1268.131,721,0.8821082,636
1271.688,721,0.887656,640
1274.676,721,0.89043,642
1279.302,721,0.8918169,643
1282.283,721,0.8807212,635
1286.797,721,0.8793343,634
1289.85,721,0.8807212,635
1294.477,721,0.8807212,635
1297.752,721,0.8821082,636
1302.494,721,0.8834952,637
1305.624,721,0.8821082,636
1310.162,721,0.8779473,633
1313.37,721,0.8848821,638
1317.772,721,0.8737864,630
1320.814,721,0.8737864,630
1325.888,721,0.8834952,637
1327.893,721,0.8779473,633
1332.593,721,0.8696255,627
1335.559,721,0.8640777,623
1340.113,721,0.8640777,623
1344.014,721,0.8626907,622
1348.602,721,0.8626907,622
1352.512,721,0.8571429,618
1357.747,721,0.8418863,607
1360.818,721,0.8404993,606
1365.398,721,0.8321775,600
1369.369,721,0.8252427,595
1374.084,721,0.8196949,591
1378.065,721,0.814147,587
1383.369,721,0.8113731,585
1385.864,721,0.7975035,575
1390.404,721,0.8016644,578
1394.401,721,0.7836338,565
1399.074,721,0.778086,561
1403.053,721,0.7697642,555
1407.617,721,0.7697642,555
1410.665,721,0.7725381,557
1414.923,721,0.778086,561
1418.853,721,0.7891817,569
1422.421,721,0.7864078,567
1425.759,721,0.7891817,569
1427.733,721,0.7864078,567
1432.269,721,0.7933426,572
1435.427,721,0.8058252,581
1439.896,721,0.8099861,584
1444.322,721,0.8099861,584
1447.578,721,0.8058252,581
1449.595,721,0.8058252,581
1454.367,721,0.8058252,581
1457.175,721,0.7975035,575
1461.837,721,0.7988904,576
1464.877,721,0.7891817,569
1468.705,721,0.7794729,562
1472.548,721,0.7850208,566
1476.503,721,0.7850208,566
1479.26,721,0.7877947,568
