BoardSize,MutationRate,TypeOfStartEnvironment,FitnessTimeStep,CostToLive,FitnessRepThreshold,DirectFitnessTimer,DirectFitnessRange,DirectFitnessBenefit,DirectFitnessCost,DirectFitnessbcRatio,DirectFitnessExploitability,DoDirectFitness,DiffusionTimeStep,DiffusionConstG,DiffusionCutOff,DoDiffusion,ColorSecretionTimeStep,ColorSecreted,AmountColorSecreted,ColorSecretionCostPerTimeStep,DoColorSecretion,ColorMetabolismTimeStep,ColorMetNoUptake,ColorUptakeG,ColorUptakeB,ColorUptakeR,ColorFitnessPerUnitG,ColorFitnessPerUnitB,DoColorMetabolism,ColorFitnessPerUnitR,DoBiofilm,ExploitersDoBiofilms,BiofilmRange,BiofilmViscosity,BiofilmCost,BiofilmUptakeMultR,DoFlow,FlowOutOfBoard,FlowTimeStep,FlowProportionalToAmount,FlowAmountPerTimeStep,DoDegradation,DegradationReducedByBiofilm,DegradationTimeStep,DegradationProportional,DegradationAmountPerTimeStep,TimeTaken,CellID,HighestProducerCount,LowestProducerCount,TimeAtHighestProdCount,TimeAtLowestProdCount,HighestProducerCountAfterStable,LowestProducerCountAfterStable,TimeAtHighestProdCountAfterStable,TimeAtLowestProdCountAfterStable,CellCountmean,CellCountvariance,CellCountmeanPast1000,CellCountvariancePast1000,ProducerFrequencymean,ProducerFrequencyvariance,ProducerFrequencymeanPast1000,ProducerFrequencyvariancePast1000,ProducerCountmean,ProducerCountvariance,ProducerCountmeanPast1000,ProducerCountvariancePast1000
15,0,SmallSeedEach,1,-0.1,1,5,1,1.7,0.1,17,1,False,0.5,0.15,1,True,1,Blue,5000,0.1,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,True,True,1,1,0,0.01,False,True,1,True,0.7,True,False,2,True,0.5,3000.012,451373,705,18,1491.461,3.653501,705,541,1491.461,2688.641,693.5543,12052.07,721,0,0.8986183,0.002997353,0.9202079,0.001432691,627.0624,11928.09,663.4699,744.7715
15,0,SmallSeedEach,1,-0.1,1,5,1,1.7,0.1,17,1,False,0.5,0.15,1,True,1,Blue,5000,0.1,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,True,True,1,1,0,0.01,False,True,1,True,0.7,True,False,2,True,0.5,3000.668,466504,707,18,2876.702,11.15,707,459,2876.702,1362.373,700.3574,9296.497,721,0,0.7936999,0.007924996,0.8221083,0.007874021,556.9877,9792.038,592.74,4093.24
15,0,SmallSeedEach,1,-0.1,1,5,1,1.7,0.1,17,1,False,0.5,0.15,1,True,1,Blue,5000,0.1,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,True,True,1,1,0,0.01,False,True,1,True,0.7,True,False,2,True,0.5,3000.535,462072,676,18,2690.741,5.985456,676,472,2690.741,1293.239,697.2971,10580.08,721,0,0.7933583,0.003249936,0.7984299,0.003256148,555.6268,8772.334,575.6678,1692.679
15,0,SmallSeedEach,1,-0.1,1,5,1,1.7,0.1,17,1,False,0.5,0.15,1,True,1,Blue,5000,0.1,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,True,True,1,1,0,0.01,False,True,1,True,0.7,True,False,2,True,0.5,3000.19,457395,695,18,466.9226,5.951474,689,495,1036.571,2951.542,699.2852,9746.325,721,0,0.8470379,0.004666384,0.8270901,0.003536421,594.4122,9431.152,596.3321,1838.379
15,0,SmallSeedEach,1,-0.1,1,5,1,1.7,0.1,17,1,False,0.5,0.15,1,True,1,Blue,5000,0.1,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,True,True,1,1,0,0.01,False,True,1,True,0.7,True,False,2,True,0.5,3000.207,453263,669,15,1905.54,5.487222,669,477,1905.54,2813.269,694.3198,11771.29,721,0,0.8152217,0.003995159,0.8364295,0.002136284,570.2157,10568.33,603.0656,1110.528
15,0,SmallSeedEach,1,-0.1,1,5,1,1.7,0.1,17,1,False,0.5,0.15,1,True,1,Blue,5000,0.1,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,True,True,1,10,0,0.01,False,True,1,True,0.7,True,False,2,True,0.5,3002.107,382615,721,18,451.2169,5.907203,721,720,1000.712,1000.712,694.9457,10996.97,721,0,0.9801314,0.003897059,1,0,687.1708,13921.45,721,0
15,0,SmallSeedEach,1,-0.1,1,5,1,1.7,0.1,17,1,False,0.5,0.15,1,True,1,Blue,5000,0.1,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,True,True,1,10,0,0.01,False,True,1,True,0.7,True,False,2,True,0.5,3000.125,387388,721,18,435.4622,5.172988,721,720,1000.079,1000.079,693.0131,11931.77,721,0,0.9774609,0.004552142,1,0,684.2288,15232.89,721,0
15,0,SmallSeedEach,1,-0.1,1,5,1,1.7,0.1,17,1,False,0.5,0.15,1,True,1,Blue,5000,0.1,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,True,True,1,10,0,0.01,False,True,1,True,0.7,True,False,2,True,0.5,3000.363,387596,721,18,296.6745,5.519367,721,720,1000.948,1000.948,697.4658,10762.34,721,0,0.9875873,0.003036707,1,0,694.3793,12556.2,721,0
15,0,SmallSeedEach,1,-0.1,1,5,1,1.7,0.1,17,1,False,0.5,0.15,1,True,1,Blue,5000,0.1,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,True,True,1,10,0,0.01,False,True,1,True,0.7,True,False,2,True,0.5,3000.571,385075,721,18,527.0073,5.840736,721,720,1000.733,1000.733,690.6431,13421.4,721,0,0.971375,0.005974078,1,0,678.5945,17468.28,721,0
15,0,SmallSeedEach,1,-0.1,1,5,1,1.7,0.1,17,1,False,0.5,0.15,1,True,1,Blue,5000,0.1,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,True,True,1,10,0,0.01,False,True,1,True,0.7,True,False,2,True,0.5,3000.474,381492,721,18,381.8299,5.569813,721,720,1000.483,1000.483,687.7951,13394.66,721,0,0.982601,0.003584731,1,0,682.6276,16313.34,721,0
