TimePassed,CellCount,ProducerFrequency,ProducerCount
0,721,0.5214979,376
0.4639542,721,0.5214979,376
9.682516,721,0.5242718,378
13.71115,721,0.5325936,384
17.09077,721,0.5312067,383
21.05024,721,0.5436893,392
25.63646,721,0.5506241,397
29.59743,721,0.5464633,394
34.29462,721,0.556172,401
38.27181,721,0.5533981,399
42.92706,721,0.5506241,397
46.86919,721,0.557559,402
52.05425,721,0.5520111,398
55.09069,721,0.5728155,413
59.94564,721,0.5631068,406
63.20995,721,0.5644938,407
68.19297,721,0.5700416,411
71.17243,721,0.5631068,406
75.10354,721,0.5672677,409
78.92107,721,0.5672677,409
80.9049,721,0.554785,400
84.7403,721,0.556172,401
88.22937,721,0.5520111,398
92.88987,721,0.5450763,393
95.8311,721,0.5478502,395
100.5775,721,0.5436893,392
103.5689,721,0.5409154,390
107.5207,721,0.5325936,384
111.2812,721,0.557559,402
113.341,721,0.5603329,404
117.8915,721,0.5492372,396
121.7807,721,0.5436893,392
125.5785,721,0.5325936,384
128.5546,721,0.5104022,368
133.3786,721,0.5117892,369
136.3496,721,0.5034674,363
141.3642,721,0.5256588,379
144.3611,721,0.5312067,383
148.9951,721,0.5339806,385
151.8955,721,0.518724,374
155.72,721,0.5062413,365
159.1159,721,0.5020804,362
163.9879,721,0.4868239,351
166.9581,721,0.482663,348
172.572,721,0.4951456,357
175.3919,721,0.5006935,361
178.8677,721,0.5090153,367
181.8711,721,0.5076283,366
186.747,721,0.5062413,365
189.8757,721,0.5020804,362
194.7984,721,0.5020804,362
197.8546,721,0.5020804,362
202.677,721,0.5117892,369
205.7355,721,0.5131761,370
210.4744,721,0.5256588,379
213.6655,721,0.5298197,382
217.9494,721,0.5353675,386
220.9084,721,0.554785,400
225.6109,721,0.5506241,397
230.2081,721,0.5506241,397
233.5251,721,0.5353675,386
235.4909,721,0.5395284,389
240.1509,721,0.5423024,391
243.1681,721,0.5242718,378
247.9182,721,0.5131761,370
250.8725,721,0.520111,375
255.6482,721,0.5131761,370
258.7021,721,0.4965326,358
263.8732,721,0.4965326,358
265.8903,721,0.5006935,361
270.7075,721,0.5048544,364
273.8029,721,0.5062413,365
278.1968,721,0.5076283,366
281.2674,721,0.5090153,367
286.058,721,0.5104022,368
288.9619,721,0.5048544,364
292.724,721,0.5076283,366
296.0463,721,0.5020804,362
300.6233,721,0.5104022,368
303.5762,721,0.4965326,358
308.4288,721,0.5006935,361
311.5202,721,0.5062413,365
316.1908,721,0.4785021,345
319.176,721,0.4854369,350
323.7234,721,0.4965326,358
326.7056,721,0.4909847,354
332.1476,721,0.5006935,361
334.1047,721,0.4785021,345
338.8022,721,0.4590846,331
341.7468,721,0.445215,321
346.3853,721,0.4230236,305
349.3376,721,0.4674064,337
353.9717,721,0.4895978,353
356.9179,721,0.5062413,365
362.0094,721,0.5062413,365
363.9875,721,0.4937587,356
368.7323,721,0.4604716,332
371.7935,721,0.4785021,345
376.3713,721,0.4632455,334
379.3145,721,0.4729542,341
384.17,721,0.4701803,339
387.1414,721,0.4576976,330
391.913,721,0.4244106,306
393.9015,721,0.4147018,299
398.7677,721,0.4147018,299
401.7265,721,0.4119279,297
406.4789,721,0.3938974,284
409.4241,721,0.3911234,282
414.037,721,0.4022191,290
417.034,721,0.3938974,284
421.5558,721,0.3828017,276
424.3034,721,0.3744799,270
428.1088,721,0.3897365,281
431.1243,721,0.3897365,281
435.9325,721,0.3619972,261
438.8858,721,0.370319,267
443.8091,721,0.3536755,255
446.7897,721,0.3384189,244
451.5141,721,0.3578363,258
454.5396,721,0.3564494,257
459.6925,721,0.3467406,250
461.6273,721,0.3481276,251
466.1259,721,0.331484,239
469.2445,721,0.3190014,230
473.7534,721,0.295423,213
476.8984,721,0.2981969,215
481.419,721,0.3079057,222
484.5085,721,0.29681,214
488.8675,721,0.2704577,195
490.881,721,0.2746186,198
495.7049,721,0.2552011,184
498.6823,721,0.2538142,183
503.3076,721,0.2371706,171
506.3213,721,0.2288488,165
511.1794,721,0.2108183,152
514.147,721,0.1955617,141
518.9753,721,0.2038835,147
523.6193,721,0.2024965,146
527.0444,721,0.2149792,155
528.9828,721,0.2177531,157
533.7144,721,0.2135922,154
536.8449,721,0.2135922,154
541.4711,721,0.1872399,135
544.445,721,0.1664355,120
549.0896,721,0.147018,106
552.6839,721,0.1276006,92
556.5606,721,0.1331484,96
559.5369,721,0.1220527,88
564.3626,721,0.1192788,86
567.4048,721,0.1040222,75
572.0558,721,0.09847434,71
575.0989,721,0.1054092,76
579.6189,721,0.1054092,76
