TimePassed,CellCount,ProducerFrequency,ProducerCount
0,721,0.5214979,376
3.035758,721,0.5214979,376
6.635759,721,0.5270458,380
9.967414,721,0.5353675,386
12.97994,721,0.5450763,393
18.20471,721,0.5450763,393
21.18634,721,0.5631068,406
25.89293,721,0.5742025,414
29.88651,721,0.592233,427
34.71084,721,0.5880721,424
38.73654,721,0.6033287,435
43.47012,721,0.6074896,438
47.46338,721,0.6255201,451
52.27719,721,0.6338419,457
56.07594,721,0.6310679,455
59.81379,721,0.6477115,467
63.83071,721,0.6601942,476
68.68185,721,0.665742,480
72.59077,721,0.6754507,487
77.42574,721,0.6879334,496
81.37111,721,0.6893204,497
86.30145,721,0.6907073,498
89.20848,721,0.7004161,505
92.99145,721,0.70319,507
97.47375,721,0.7170596,517
102.107,721,0.7184466,518
104.9822,721,0.7253814,523
109.8448,721,0.7198336,519
112.795,721,0.7337032,529
117.4847,721,0.7489598,540
120.5443,721,0.7586685,547
125.3438,721,0.7683772,554
129.3116,721,0.7725381,557
134.8179,721,0.776699,560
136.8143,721,0.7794729,562
141.3849,721,0.7753121,559
144.4017,721,0.7725381,557
149.1551,721,0.7808599,563
152.2251,721,0.7975035,575
156.8698,721,0.8266297,596
159.8451,721,0.8210818,592
164.4138,721,0.8252427,595
168.1456,721,0.8335645,601
171.7635,721,0.8446602,609
174.8809,721,0.8418863,607
179.4648,721,0.8404993,606
182.4692,721,0.8363384,603
187.0231,721,0.8335645,601
190.1231,721,0.8210818,592
194.6517,721,0.814147,587
197.6302,721,0.7905686,570
202.2606,721,0.814147,587
204.152,721,0.8196949,591
208.9577,721,0.8072122,582
211.8771,721,0.8127601,586
216.7471,721,0.8252427,595
219.5546,721,0.8252427,595
224.2675,721,0.8543689,616
227.3561,721,0.8585298,619
231.9095,721,0.850208,613
235.6176,721,0.8321775,600
239.2944,721,0.8113731,585
241.6533,721,0.8183079,590
246.1165,721,0.8266297,596
249.0515,721,0.8169209,589
253.7722,721,0.8224688,593
256.8994,721,0.8238558,594
262.2318,721,0.8349515,602
265.9008,721,0.8294036,598
269.6523,721,0.8196949,591
272.8882,721,0.8113731,585
276.7168,721,0.7933426,572
280.7512,721,0.7933426,572
283.5105,721,0.7877947,568
285.6109,721,0.778086,561
290.1628,721,0.7836338,565
293.0799,721,0.7808599,563
297.7924,721,0.7933426,572
300.7492,721,0.8127601,586
305.9775,721,0.8294036,598
309.001,721,0.8460472,610
313.6011,721,0.8321775,600
316.6331,721,0.8321775,600
320.8573,721,0.8432732,608
324.5502,721,0.8654646,624
328.3,721,0.8654646,624
332.0852,721,0.8640777,623
334.0652,721,0.8793343,634
338.9555,721,0.8793343,634
341.956,721,0.8613037,621
346.7429,721,0.8585298,619
350.6399,721,0.8599168,620
355.4516,721,0.8488211,612
359.4083,721,0.8585298,619
364.1118,721,0.8432732,608
367.1341,721,0.8335645,601
371.0682,721,0.8543689,616
374.3752,721,0.8626907,622
377.9627,721,0.8668516,625
380.9876,721,0.8640777,623
382.9535,721,0.8626907,622
387.9004,721,0.8571429,618
390.9679,721,0.8626907,622
395.6141,721,0.8571429,618
398.5738,721,0.8640777,623
402.5446,721,0.8779473,633
406.3366,721,0.8793343,634
407.35,721,0.8737864,630
412.8643,721,0.8682386,626
414.7198,721,0.8682386,626
419.3819,721,0.8613037,621
422.3971,721,0.8696255,627
426.216,721,0.8640777,623
429.231,721,0.8640777,623
432.1022,721,0.8585298,619
436.6234,721,0.8626907,622
440.6502,721,0.8543689,616
445.4719,721,0.8488211,612
