BoardSize,MutationRate,TypeOfStartEnvironment,FitnessTimeStep,CostToLive,FitnessRepThreshold,DirectFitnessTimer,DirectFitnessRange,DirectFitnessBenefit,DirectFitnessCost,DirectFitnessbcRatio,DirectFitnessExploitability,DoDirectFitness,DiffusionTimeStep,DiffusionConstG,DiffusionCutOff,DoDiffusion,ColorSecretionTimeStep,ColorSecreted,AmountColorSecreted,ColorSecretionCostPerTimeStep,DoColorSecretion,ColorMetabolismTimeStep,ColorMetNoUptake,ColorUptakeG,ColorUptakeB,ColorUptakeR,ColorFitnessPerUnitG,ColorFitnessPerUnitB,DoColorMetabolism,ColorFitnessPerUnitR,DoBiofilm,ExploitersDoBiofilms,BiofilmRange,BiofilmViscosity,BiofilmCost,BiofilmUptakeMultR,DoFlow,FlowOutOfBoard,FlowTimeStep,FlowProportionalToAmount,FlowAmountPerTimeStep,DoDegradation,DegradationReducedByBiofilm,DegradationTimeStep,DegradationProportional,DegradationAmountPerTimeStep,TimeTaken,CellID,HighestProducerCount,LowestProducerCount,TimeAtHighestProdCount,TimeAtLowestProdCount,HighestProducerCountAfterStable,LowestProducerCountAfterStable,TimeAtHighestProdCountAfterStable,TimeAtLowestProdCountAfterStable,CellCountmean,CellCountvariance,CellCountmeanPast1000,CellCountvariancePast1000,ProducerFrequencymean,ProducerFrequencyvariance,ProducerFrequencymeanPast1000,ProducerFrequencyvariancePast1000,ProducerCountmean,ProducerCountvariance,ProducerCountmeanPast1000,ProducerCountvariancePast1000
15,0,HalfAndHalf,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.5,0.15,1,True,1,Blue,5000,0.1,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,False,False,1,3,0.05,0.01,False,True,1,True,0.7,True,False,2,True,0.25,3001.086,534973,642,327,514.7385,1057.924,620,327,2981.203,1057.924,721,0,721,0,0.6414633,0.0127103,0.6094181,0.006899165,462.495,6607.322,439.3906,3586.466
15,0,HalfAndHalf,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.5,0.15,1,True,1,Blue,5000,0.1,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,False,False,1,3,0.05,0.01,False,True,1,True,0.7,True,False,2,True,0.25,3000.661,537244,645,294,321.5314,2961.091,596,294,1394.198,2961.091,721,0,721,0,0.6348507,0.009690332,0.5965624,0.007160508,457.7272,5037.432,430.1217,3722.327
15,0,HalfAndHalf,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.5,0.15,1,True,1,Blue,5000,0.1,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,False,False,1,3,0.05,0.01,False,True,1,True,0.7,True,False,2,True,0.25,3000.671,526299,689,276,539.9771,1399.703,606,276,2627.444,1399.703,721,0,721,0,0.6717269,0.01653697,0.6106605,0.008766044,484.3153,8596.6,440.286,4556.95
15,0,HalfAndHalf,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.5,0.15,1,True,1,Blue,5000,0.1,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,False,False,1,3,0.05,0.01,False,True,1,True,0.7,True,False,2,True,0.25,3000.527,519062,625,364,1107.927,1709.003,625,364,1107.927,1709.003,721,0,721,0,0.7015597,0.004965848,0.6955947,0.005506768,505.8246,2581.453,501.5234,2862.645
15,0,HalfAndHalf,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.5,0.15,1,True,1,Blue,5000,0.1,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,False,False,1,3,0.05,0.01,False,True,1,True,0.7,True,False,2,True,0.25,3000.878,529990,639,297,878.9609,2134.368,626,297,1043.18,2134.368,721,0,721,0,0.6573611,0.01570322,0.5987455,0.009999979,473.9573,8163.17,431.6955,5198.408
15,0,HalfAndHalf,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.5,0.15,1,True,1,Blue,5000,0.1,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,False,False,1,3,0.05,0.01,False,True,1,True,0.7,True,False,2,True,0.25,3000.542,497030,708,330,620.7836,2826.129,703,330,1256.725,2826.129,721,0,721,0,0.7779326,0.01883737,0.7335727,0.01709889,560.8899,9792.421,528.9057,8888.703
15,0,HalfAndHalf,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.5,0.15,1,True,1,Blue,5000,0.1,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,False,False,1,3,0.05,0.01,False,True,1,True,0.7,True,False,2,True,0.25,3000.162,548513,590,298,278.0797,1198.398,525,298,2322.932,1198.398,721,0,721,0,0.5918668,0.006016344,0.5675485,0.003986459,426.736,3127.549,409.2026,2072.323
15,0,HalfAndHalf,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.5,0.15,1,True,1,Blue,5000,0.1,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,False,False,1,3,0.05,0.01,False,True,1,True,0.7,True,False,2,True,0.25,3000.711,528318,657,266,2333.861,1338.337,657,266,2333.861,1338.337,721,0,721,0,0.6607718,0.01073054,0.6559877,0.01384058,476.4172,5578.176,472.9675,7194.901
15,0,HalfAndHalf,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.5,0.15,1,True,1,Blue,5000,0.1,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,False,False,1,3,0.05,0.01,False,True,1,True,0.7,True,False,2,True,0.25,3000.996,521965,676,336,271.287,2551.677,575,336,1013.445,2551.677,721,0,721,0,0.6905831,0.01449711,0.6261146,0.005065795,497.9102,7536.188,451.4286,2633.405
15,0,HalfAndHalf,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.5,0.15,1,True,1,Blue,5000,0.1,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,False,False,1,3,0.05,0.01,False,True,1,True,0.7,True,False,2,True,0.25,3000.701,538953,575,321,1619.254,2917.216,575,321,1619.254,2917.216,721,0,721,0,0.6261652,0.003890133,0.6376726,0.003788629,451.4651,2022.251,459.7618,1969.487
15,0,HalfAndHalf,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.5,0.15,1,True,1,Blue,5000,0.1,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,False,False,1,3,0.05,0.01,False,True,1,True,0.7,True,False,2,True,0.5,3000.476,421644,721,375,558.2734,4.640001,721,720,1000.777,1000.777,721,0,721,0,0.9714345,0.007804175,1,0,700.4043,4057.035,721,0
15,0,HalfAndHalf,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.5,0.15,1,True,1,Blue,5000,0.1,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,False,False,1,3,0.05,0.01,False,True,1,True,0.7,True,False,2,True,0.5,3000.213,421909,721,375,379.2029,9.974027,721,720,1000.234,1000.234,721,0,721,0,0.9743876,0.007793469,1,0,702.5335,4051.295,721,0
15,0,HalfAndHalf,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.5,0.15,1,True,1,Blue,5000,0.1,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,False,False,1,3,0.05,0.01,False,True,1,True,0.7,True,False,2,True,0.5,3000.233,420254,721,375,370.5283,4.443623,721,720,1000.603,1000.603,721,0,721,0,0.9772272,0.006970901,1,0,704.5808,3623.592,721,0
15,0,HalfAndHalf,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.5,0.15,1,True,1,Blue,5000,0.1,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,False,False,1,3,0.05,0.01,False,True,1,True,0.7,True,False,2,True,0.5,3000.773,417317,721,373,358.5605,15.48064,721,720,1000.035,1000.035,721,0,721,0,0.9761742,0.0073235,1,0,703.8216,3807.076,721,0
15,0,HalfAndHalf,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.5,0.15,1,True,1,Blue,5000,0.1,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,False,False,1,3,0.05,0.01,False,True,1,True,0.7,True,False,2,True,0.5,3000.593,420013,721,375,343.9668,4.579314,721,720,1000.784,1000.784,721,0,721,0,0.9765132,0.007028532,1,0,704.066,3653.676,721,0
15,0,HalfAndHalf,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.5,0.15,1,True,1,Blue,5000,0.1,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,False,False,1,3,0.05,0.01,False,True,1,True,0.7,True,False,2,True,0.5,3000.436,418484,721,375,425.6729,4.196849,721,720,1000.643,1000.643,721,0,721,0,0.9756745,0.007209391,1,0,703.4613,3747.636,721,0
15,0,HalfAndHalf,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.5,0.15,1,True,1,Blue,5000,0.1,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,False,False,1,3,0.05,0.01,False,True,1,True,0.7,True,False,2,True,0.5,3000.106,418779,721,375,337.8014,5.394723,721,720,1000.828,1000.828,721,0,721,0,0.9748897,0.007910941,1,0,702.8954,4112.477,721,0
15,0,HalfAndHalf,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.5,0.15,1,True,1,Blue,5000,0.1,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,False,False,1,3,0.05,0.01,False,True,1,True,0.7,True,False,2,True,0.5,3000.644,415592,721,375,389.3688,4.261328,721,720,1000.291,1000.291,721,0,721,0,0.9741648,0.007909431,1,0,702.3729,4111.626,721,0
