BoardSize,MutationRate,TypeOfStartEnvironment,FitnessTimeStep,CostToLive,FitnessRepThreshold,DirectFitnessTimer,DirectFitnessRange,DirectFitnessBenefit,DirectFitnessCost,DirectFitnessbcRatio,DirectFitnessExploitability,DoDirectFitness,DiffusionTimeStep,DiffusionConstG,DiffusionCutOff,DoDiffusion,ColorSecretionTimeStep,ColorSecreted,AmountColorSecreted,ColorSecretionCostPerTimeStep,DoColorSecretion,ColorMetabolismTimeStep,ColorMetNoUptake,ColorUptakeG,ColorUptakeB,ColorUptakeR,ColorFitnessPerUnitG,ColorFitnessPerUnitB,DoColorMetabolism,ColorFitnessPerUnitR,DoBiofilm,ExploitersDoBiofilms,BiofilmRange,BiofilmViscosity,BiofilmCost,BiofilmUptakeMultR,DoFlow,FlowOutOfBoard,FlowTimeStep,FlowProportionalToAmount,FlowAmountPerTimeStep,DoDegradation,DegradationReducedByBiofilm,DegradationTimeStep,DegradationProportional,DegradationAmountPerTimeStep,TimeTaken,CellID,HighestProducerCount,LowestProducerCount,TimeAtHighestProdCount,TimeAtLowestProdCount,HighestProducerCountAfterStable,LowestProducerCountAfterStable,TimeAtHighestProdCountAfterStable,TimeAtLowestProdCountAfterStable,CellCountmean,CellCountvariance,CellCountmeanPast1000,CellCountvariancePast1000,ProducerFrequencymean,ProducerFrequencyvariance,ProducerFrequencymeanPast1000,ProducerFrequencyvariancePast1000,ProducerCountmean,ProducerCountvariance,ProducerCountmeanPast1000,ProducerCountvariancePast1000
15,0,SmallSeedEach,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.5,0.15,1,True,1,Green,5000,0.1,True,1,False,10000,10000,100,0.0001,0.0001,True,-0.01,True,True,1,1.5,0,0.01,True,True,1,True,0.95,False,False,2,True,0.5,3000.302,206441,530,1,373.0656,2925.28,171,1,2102.212,2925.28,686.3132,13687.88,721,0,0.2847245,0.06099104,0.1327301,0.00303829,180.0349,21932.6,95.69838,1579.429
15,0,SmallSeedEach,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.5,0.15,1,True,1,Green,5000,0.1,True,1,False,10000,10000,100,0.0001,0.0001,True,-0.01,True,True,1,1.5,0,0.01,True,True,1,True,0.95,False,False,2,True,0.5,3000.652,225158,584,18,285.3911,5.424151,319,41,1026.848,1593.673,694.4457,11774.95,721,0,0.3238603,0.06605818,0.1564357,0.007098429,214.9206,29461.6,112.7901,3690.057
15,0,SmallSeedEach,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.5,0.15,1,True,1,Green,5000,0.1,True,1,False,10000,10000,100,0.0001,0.0001,True,-0.01,True,True,1,1.5,0,0.01,True,True,1,True,0.95,False,False,2,True,0.5,3000.159,186231,390,8,310.7789,1595.829,173,8,1002.001,1595.829,689.1653,13564.66,721,0,0.2075591,0.04063596,0.07920358,0.002255854,129.9787,14374.98,57.10579,1172.685
15,0,SmallSeedEach,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.5,0.15,1,True,1,Green,5000,0.1,True,1,False,10000,10000,100,0.0001,0.0001,True,-0.01,True,True,1,1.5,0,0.01,True,True,1,True,0.95,False,False,2,True,0.5,3000.088,177115,435,0,261.2479,1998.493,104,0,1006.059,1998.493,692.3113,12249.89,721,0,0.1627419,0.05060695,0.02770211,0.00138178,97.97795,17370.23,19.97323,718.3091
15,0,SmallSeedEach,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.5,0.15,1,True,1,Green,5000,0.1,True,1,False,10000,10000,100,0.0001,0.0001,True,-0.01,True,True,1,1.5,0,0.01,True,True,1,True,0.95,False,False,2,True,0.5,3000.907,169309,410,0,186.4373,1911.395,95,0,1245.204,1911.395,694.8492,11033.29,721,0,0.1317318,0.04022586,0.01866883,0.001070601,77.88402,12482.32,13.46023,556.5459
15,0,SmallSeedEach,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.5,0.15,1,True,1,Green,5000,0.1,True,1,False,10000,10000,100,0.0001,0.0001,True,-0.01,True,True,1,1.5,0,0.01,True,True,1,True,0.95,False,False,2,True,0.5,3000.875,168354,347,0,170.1595,1671.373,131,0,1128.991,1671.373,696.569,10477.66,721,0,0.1195399,0.03141848,0.02747149,0.002421025,70.45963,8680.146,19.80695,1258.537
15,0,SmallSeedEach,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.5,0.15,1,True,1,Green,5000,0.1,True,1,False,10000,10000,100,0.0001,0.0001,True,-0.01,True,True,1,1.5,0,0.01,True,True,1,True,0.95,False,False,2,True,0.5,3000.276,180724,435,0,287.977,2279.11,158,0,1019.885,2279.11,688.8467,13018.87,721,0,0.1954308,0.05512154,0.05871477,0.004828142,117.8798,17661.21,42.33333,2509.855
15,0,SmallSeedEach,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.5,0.15,1,True,1,Green,5000,0.1,True,1,False,10000,10000,100,0.0001,0.0001,True,-0.01,True,True,1,1.5,0,0.01,True,True,1,True,0.95,False,False,2,True,0.5,3001.531,191157,536,0,235.1508,2256.925,240,0,1010.219,2256.925,694.791,11639.41,721,0,0.2394669,0.07941287,0.05578245,0.005443805,153.5646,33257.52,40.21912,2829.947
15,0,SmallSeedEach,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.5,0.15,1,True,1,Green,5000,0.1,True,1,False,10000,10000,100,0.0001,0.0001,True,-0.01,True,True,1,1.5,0,0.01,True,True,1,True,0.95,False,False,2,True,0.5,3000.495,185021,542,6,226.3639,2126.05,112,6,1000.419,2126.05,694.1572,11279.5,721,0,0.2352643,0.06870012,0.07614317,0.0009926388,149.5522,26297.25,54.89919,516.0139
15,0,SmallSeedEach,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.5,0.15,1,True,1,Green,5000,0.1,True,1,False,10000,10000,100,0.0001,0.0001,True,-0.01,True,True,1,1.5,0,0.01,True,True,1,True,0.95,False,False,2,True,0.5,3000.853,190707,383,18,370.5681,5.978269,174,19,2126.264,2472.714,682.8469,14745.35,721,0,0.2316623,0.03202083,0.116223,0.002299099,145.289,10721.02,83.79675,1195.168
