TimePassed,CellCount,ProducerFrequency,ProducerCount
0,38,0.5,19
3.297439,38,0.5,19
6.386398,38,0.5,19
9.754393,42,0.547619,23
13.05867,51,0.5882353,30
16.50056,60,0.6333333,38
19.79199,73,0.6438356,47
23.73962,83,0.686747,57
27.62057,98,0.7142857,70
30.77415,109,0.7247707,79
34.05487,120,0.7333333,88
37.56126,136,0.7352941,100
40.54099,146,0.7260274,106
44.29479,164,0.7439024,122
48.71094,183,0.7540984,138
52.45295,203,0.7487684,152
56.08104,232,0.7543104,175
59.65116,243,0.7572017,184
62.67755,260,0.7461538,194
66.19455,275,0.7418182,204
69.60139,285,0.7333333,209
73.17072,301,0.7375416,222
76.69942,316,0.7405064,234
80.48733,327,0.733945,240
84.05332,341,0.7243402,247
87.97652,350,0.7314286,256
91.81496,371,0.7304582,271
95.16275,385,0.7376623,284
99.13564,392,0.7397959,290
103.0489,399,0.7443609,297
106.4782,414,0.7463768,309
109.1621,424,0.754717,320
113.8166,440,0.7477273,329
116.7853,452,0.7566372,342
117.7978,457,0.7592998,347
123.4578,467,0.7494647,350
126.3709,474,0.7489452,355
131.3637,488,0.7561476,369
135.3382,501,0.760479,381
140.0228,517,0.7582205,392
144.0153,532,0.7631579,406
149.3202,542,0.7675277,416
151.9047,553,0.7775769,430
156.8336,565,0.7858407,444
160.8425,578,0.7820069,452
165.697,589,0.7911715,466
169.7066,601,0.797005,479
174.6238,609,0.7848933,478
178.6005,619,0.7802908,483
183.5082,632,0.778481,492
187.5008,642,0.7772586,499
192.2853,653,0.7718223,504
195.5016,661,0.7745839,512
200.3688,665,0.7654135,509
204.3612,673,0.7741456,521
209.0777,680,0.7867647,535
212.0928,684,0.7865497,538
215.904,689,0.777939,536
219.8635,694,0.7708934,535
221.8515,697,0.7704448,537
226.6519,703,0.7752489,545
230.5771,705,0.7773049,548
235.3292,710,0.771831,548
238.2388,714,0.780112,557
242.9912,716,0.7932961,568
246.9044,718,0.7938719,570
251.819,718,0.7980502,573
255.7533,720,0.7944444,572
260.4769,720,0.7930555,571
264.4193,720,0.7902778,569
269.1742,721,0.7947295,573
272.9616,721,0.7947295,573
276.6227,721,0.7961165,574
280.5783,721,0.7975035,575
285.3911,721,0.8072122,582
289.2676,721,0.8058252,581
293.9939,721,0.8030513,579
297.9318,721,0.7836338,565
302.726,721,0.7822469,564
306.6844,721,0.7850208,566
311.532,721,0.7739251,558
314.5335,721,0.7697642,555
319.2014,721,0.7531207,543
323.2271,721,0.7517337,542
328.0364,721,0.7642164,551
332.0457,721,0.7642164,551
336.8586,721,0.7642164,551
340.8474,721,0.7572815,546
345.6638,721,0.7489598,540
349.4924,721,0.7572815,546
353.2065,721,0.7489598,540
357.1497,721,0.7489598,540
361.9177,721,0.7503467,541
365.861,721,0.7614424,549
370.6602,721,0.7656033,552
374.6129,721,0.7628294,550
379.4215,721,0.7628294,550
383.3478,721,0.7558946,545
388.0402,721,0.7683772,554
390.9372,721,0.7656033,552
395.7194,721,0.7503467,541
398.6682,721,0.740638,534
402.6387,721,0.7295423,526
406.3165,721,0.7350901,530
410.1794,721,0.7295423,526
414.1087,721,0.7281553,525
416.047,721,0.7337032,529
420.9763,721,0.7378641,532
423.9082,721,0.7337032,529
429.4489,721,0.7281553,525
431.5052,721,0.7281553,525
436.2917,721,0.7281553,525
439.4044,721,0.739251,533
443.99,721,0.7475728,539
447.9996,721,0.7337032,529
452.7369,721,0.7350901,530
455.752,721,0.7475728,539
459.5637,721,0.742025,535
462.4796,721,0.742025,535
464.7505,721,0.7447989,537
469.674,721,0.7461858,538
