TimePassed,CellCount,ProducerFrequency,ProducerCount
0,38,0.5,19
1.030006,38,0.5,19
9.191557,38,0.5,19
12.67815,42,0.547619,23
16.12773,49,0.5918368,29
19.57893,63,0.6031746,38
23.01654,75,0.6533333,49
25.89581,85,0.6588235,56
29.71161,103,0.6893204,71
33.32758,117,0.7094017,83
36.69821,133,0.7293233,97
39.56005,149,0.7449664,111
43.53089,169,0.7337278,124
47.1532,189,0.7354497,139
50.37724,209,0.7511961,157
54.77358,224,0.7410714,166
58.65768,239,0.7405857,177
62.01838,263,0.7490494,197
65.16231,271,0.7527675,204
68.36558,285,0.7543859,215
71.86388,297,0.7508417,223
74.71347,313,0.7635783,239
77.28251,322,0.7701864,248
81.92764,342,0.751462,257
84.55786,350,0.7628571,267
89.4862,367,0.7656676,281
92.20308,378,0.7777778,294
97.57413,389,0.781491,304
100.303,407,0.7690418,313
104.8039,418,0.7751196,324
108.6176,437,0.7826087,342
113.4666,453,0.7814569,354
117.4591,466,0.7725322,360
122.1628,474,0.7700422,365
126.0585,486,0.7777778,378
130.9067,501,0.7844312,393
134.85,514,0.7782101,400
139.7883,531,0.7815443,415
143.8141,541,0.7892791,427
149.8111,554,0.8050541,446
152.7599,559,0.8139535,455
157.7027,571,0.8143608,465
161.6452,580,0.8189655,475
166.527,584,0.8390411,490
169.542,597,0.8324958,497
173.3164,606,0.8316832,504
176.5406,613,0.8352365,512
179.5766,621,0.8373591,520
184.3972,626,0.8514377,533
188.3738,637,0.8477237,540
193.1316,646,0.8405573,543
196.1468,651,0.8310292,541
200.992,658,0.831307,547
205.0189,665,0.831579,553
209.8131,675,0.8385185,566
213.7818,678,0.840708,570
218.7539,682,0.8489736,579
221.7384,687,0.8500728,584
225.3724,690,0.8536232,589
228.6774,699,0.8526466,596
230.6034,702,0.8589743,603
236.355,707,0.8670439,613
238.3912,709,0.8702398,617
243.0934,713,0.8751753,624
246.2323,714,0.8823529,630
250.8862,716,0.8812849,631
253.8661,716,0.8938547,640
258.8891,719,0.906815,652
261.8043,721,0.9070735,654
266.5473,721,0.9029126,651
269.5103,721,0.9084605,655
274.9013,721,0.9098474,656
276.9559,721,0.9098474,656
281.7982,721,0.9112344,657
284.7534,721,0.9126214,658
289.6338,721,0.9167823,661
292.5519,721,0.9056866,653
297.3331,721,0.9042996,652
300.3055,721,0.9140083,659
304.9932,721,0.9167823,661
308.9315,721,0.9209431,664
312.4727,721,0.927878,669
315.492,721,0.9334258,673
320.2407,721,0.9320388,672
323.1523,721,0.9292649,670
328.0941,721,0.9223301,665
331.1884,721,0.926491,668
335.6397,721,0.9320388,672
338.7477,721,0.9320388,672
343.492,721,0.9500694,685
348.3621,721,0.9472954,683
351.5345,721,0.9514563,686
353.5201,721,0.9500694,685
358.3319,721,0.9431345,680
361.3511,721,0.9445215,681
365.9232,721,0.9514563,686
368.9604,721,0.9597781,692
373.7717,721,0.963939,695
376.715,721,0.9694868,699
380.5283,721,0.9764217,704
383.8373,721,0.9833565,709
388.681,721,0.9875174,712
391.6794,721,0.9847434,710
396.3862,721,0.9861304,711
399.295,721,0.9875174,712
404.2509,721,0.9916782,715
407.3231,721,0.9972261,719
411.891,721,0.9986131,720
414.8356,721,0.9986131,720
420.0314,721,0.9972261,719
421.9235,721,0.9972261,719
426.9602,721,0.9944522,717
430.0735,721,0.9916782,715
434.6086,721,0.9930652,716
437.6819,721,0.9930652,716
442.0994,721,0.9930652,716
445.1401,721,0.9958391,718
449.8504,721,0.9958391,718
452.8784,721,0.9944522,717
457.5191,721,0.9930652,716
459.4766,721,0.9944522,717
464.5736,721,0.9972261,719
467.4592,721,0.9958391,718
472.171,721,0.9944522,717
475.0986,721,0.9916782,715
480.0453,721,0.9930652,716
483.0755,721,0.9944522,717
487.9383,721,0.9944522,717
491.1037,721,0.9930652,716
496.1178,721,0.9958391,718
498.2114,721,0.9958391,718
502.9464,721,0.9930652,716
506.9629,721,0.9930652,716
511.9177,721,0.9930652,716
515.0374,721,0.9930652,716
519.7443,721,0.9958391,718
522.7246,721,0.9972261,719
527.4316,721,0.9972261,719
531.2286,721,0.9972261,719
534.7693,721,0.9972261,719
537.7606,721,1,721
542.5966,721,1,721
545.5237,721,1,721
550.4533,721,1,721
553.4901,721,1,721
558.5625,721,1,721
561.4723,721,1,721
566.067,721,1,721
569.324,721,1,721
574.2044,721,1,721
577.2068,721,1,721
582.1421,721,1,721
585.028,721,1,721
590.101,721,1,721
593.0842,721,1,721
597.819,721,1,721
600.7369,721,1,721
605.7326,721,1,721
607.4953,721,1,721
612.3851,721,1,721
615.4648,721,1,721
620.4048,721,1,721
623.4769,721,1,721
628.3182,721,1,721
631.3861,721,1,721
636.0339,721,1,721
638.9859,721,1,721
643.7157,721,1,721
646.73,721,1,721
651.6666,721,1,721
654.7843,721,1,721
659.271,721,1,721
662.2267,721,1,721
667.0493,721,1,721
670.0759,721,1,721
674.785,721,1,721
677.7642,721,1,721
683.2254,721,1,721
685.1603,721,1,721
690.1766,721,1,721
693.0568,721,1,721
697.9185,721,1,721
700.8599,721,1,721
705.737,721,1,721
708.6116,721,1,721
713.6672,721,1,721
717.6474,721,1,721
721.0827,721,1,721
724.0592,721,1,721
728.967,721,1,721
732.0782,721,1,721
736.7625,721,1,721
739.7618,721,1,721
744.3491,721,1,721
747.4323,721,1,721
752.2316,721,1,721
754.6415,721,1,721
759.5749,721,1,721
762.6179,721,1,721
767.4359,721,1,721
770.4094,721,1,721
775.2781,721,1,721
778.2029,721,1,721
783.2468,721,1,721
786.3469,721,1,721
789.5686,721,1,721
792.8914,721,1,721
797.6842,721,1,721
800.9283,721,1,721
805.3115,721,1,721
808.3241,721,1,721
813.2547,721,1,721
