BoardSize,MutationRate,TypeOfStartEnvironment,FitnessTimeStep,CostToLive,FitnessRepThreshold,DirectFitnessTimer,DirectFitnessRange,DirectFitnessBenefit,DirectFitnessCost,DirectFitnessbcRatio,DirectFitnessExploitability,DoDirectFitness,DiffusionTimeStep,DiffusionConstG,DiffusionCutOff,DoDiffusion,ColorSecretionTimeStep,ColorSecreted,AmountColorSecreted,ColorSecretionCostPerTimeStep,DoColorSecretion,ColorMetabolismTimeStep,ColorMetNoUptake,ColorUptakeG,ColorUptakeB,ColorUptakeR,ColorFitnessPerUnitG,ColorFitnessPerUnitB,DoColorMetabolism,ColorFitnessPerUnitR,DoBiofilm,ExploitersDoBiofilms,BiofilmRange,BiofilmViscosity,BiofilmCost,BiofilmUptakeMultR,DoFlow,FlowOutOfBoard,FlowTimeStep,FlowProportionalToAmount,FlowAmountPerTimeStep,DoDegradation,DegradationReducedByBiofilm,DegradationTimeStep,DegradationProportional,DegradationAmountPerTimeStep,TimeTaken,CellID,HighestProducerCount,LowestProducerCount,TimeAtHighestProdCount,TimeAtLowestProdCount,HighestProducerCountAfterStable,LowestProducerCountAfterStable,TimeAtHighestProdCountAfterStable,TimeAtLowestProdCountAfterStable,CellCountmean,CellCountvariance,CellCountmeanPast1000,CellCountvariancePast1000,ProducerFrequencymean,ProducerFrequencyvariance,ProducerFrequencymeanPast1000,ProducerFrequencyvariancePast1000,ProducerCountmean,ProducerCountvariance,ProducerCountmeanPast1000,ProducerCountvariancePast1000
15,0,SmallSeedEach,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.5,0.15,1,True,1,Blue,5000,0.1,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,True,True,1,1.5,0,0.01,True,True,1,True,0.2,True,False,2,True,0.5,3000.615,484819,579,18,806.5061,6.835882,534,281,1021.046,1510.918,694.7703,11033.85,721,0,0.5783796,0.0112657,0.5192184,0.003122681,397.606,6827.043,374.3564,1623.297
15,0,SmallSeedEach,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.5,0.15,1,True,1,Blue,5000,0.1,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,True,True,1,1.5,0,0.01,True,True,1,True,0.2,True,False,2,True,0.5,3000.247,464613,696,18,473.9527,9.94153,649,278,1108.786,2677.722,695.4257,11188.11,721,0,0.7248505,0.03099804,0.6354344,0.0206902,502.0153,20177.82,458.1484,10755.62
15,0,SmallSeedEach,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.5,0.15,1,True,1,Blue,5000,0.1,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,True,True,1,1.5,0,0.01,True,True,1,True,0.2,True,False,2,True,0.5,3001.545,480633,632,18,336.503,5.856752,438,237,2948.6,1590.722,697.6507,10713.07,721,0,0.5608832,0.02202034,0.4751748,0.003084407,385.7991,11495.98,342.601,1603.399
15,0,SmallSeedEach,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.5,0.15,1,True,1,Blue,5000,0.1,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,True,True,1,1.5,0,0.01,True,True,1,True,0.2,True,False,2,True,0.5,3000.706,485757,653,18,929.1121,4.586585,590,274,1105.84,2527.357,698.4988,10064.28,721,0,0.7074304,0.01279628,0.6477998,0.00735839,493.2747,10588.48,467.0638,3825.198
15,0,SmallSeedEach,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.5,0.15,1,True,1,Blue,5000,0.1,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,True,True,1,1.5,0,0.01,True,True,1,True,0.2,True,False,2,True,0.5,3000.272,488477,618,18,331.3841,5.17382,582,348,1879.989,2690.969,694.9441,11064.15,721,0,0.6780316,0.007314719,0.6562477,0.005703802,470.1296,7771.209,473.1545,2965.072
15,0,SmallSeedEach,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.5,0.15,1,True,1,Blue,5000,0.1,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,True,True,1,1.5,0,0.01,True,True,1,True,0.2,True,False,2,True,0.5,3000.205,475485,709,18,525.9153,7.274878,609,330,1202.472,2153.482,695.804,11244.58,721,0,0.7353748,0.01841756,0.6670895,0.009597948,512.3294,15229.43,480.9717,4989.407
15,0,SmallSeedEach,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.5,0.15,1,True,1,Blue,5000,0.1,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,True,True,1,1.5,0,0.01,True,True,1,True,0.2,True,False,2,True,0.5,3000.672,467389,665,18,1044.116,5.498701,665,144,1044.116,2891.031,693.2123,12092.59,721,0,0.6471786,0.03147966,0.5748153,0.02934891,444.9031,18963.45,414.4416,15256.77
15,0,SmallSeedEach,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.5,0.15,1,True,1,Blue,5000,0.1,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,True,True,1,1.5,0,0.01,True,True,1,True,0.2,True,False,2,True,0.5,3000.819,485625,613,18,245.8607,5.990735,514,233,2721.895,1013.039,698.3896,9979.696,721,0,0.5595078,0.0170299,0.5027206,0.006617201,386.0897,8792.577,362.4614,3439.894
15,0,SmallSeedEach,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.5,0.15,1,True,1,Blue,5000,0.1,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,True,True,1,1.5,0,0.01,True,True,1,True,0.2,True,False,2,True,0.5,3000.842,476452,711,18,552.7343,5.615908,626,371,1001.098,2519.546,700.6259,9279.631,721,0,0.7322343,0.01572926,0.6617526,0.005994435,512.9259,12541.06,477.1237,3116.149
15,0,SmallSeedEach,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.5,0.15,1,True,1,Blue,5000,0.1,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,True,True,1,1.5,0,0.01,True,True,1,True,0.2,True,False,2,True,0.5,3000.192,476887,597,10,2014.183,5.63264,597,268,2014.183,1263.484,687.9655,13365.24,721,0,0.6315403,0.01149307,0.5980684,0.01161044,432.7333,9646.771,431.2072,6035.586
