TimePassed,CellCount,ProducerFrequency,ProducerCount
0,38,0.5,19
3.568036,38,0.5,19
7.141428,39,0.5128205,20
10.28946,45,0.5777778,26
13.48175,60,0.6333333,38
17.8445,74,0.6621622,49
21.64384,83,0.6987952,58
24.63632,97,0.7216495,70
27.89929,115,0.7391304,85
30.96234,132,0.75,99
35.41736,148,0.7635135,113
38.62052,158,0.7594936,120
41.93789,173,0.7687861,133
45.25531,184,0.7663044,141
48.86408,196,0.7806122,153
53.78569,217,0.7834101,170
57.68899,234,0.7905983,185
60.81452,246,0.7886179,194
64.59364,257,0.7937743,204
67.58665,270,0.7962963,215
70.11203,284,0.8028169,228
74.38055,306,0.8104575,248
77.1803,317,0.8170347,259
80.96852,338,0.8106509,274
84.62537,351,0.8119658,285
89.28004,363,0.8181818,297
93.189,371,0.819407,304
97.83012,390,0.8179487,319
100.7494,396,0.8156565,323
102.0703,404,0.8168317,330
107.3132,413,0.8208233,339
112.0033,428,0.8294392,355
115.9959,445,0.8247191,367
116.9402,450,0.8266667,372
123.8237,467,0.8265525,386
130.2982,487,0.8316222,405
135.1077,511,0.8277887,423
139.0711,521,0.8272552,431
143.9712,535,0.8392524,449
147.9552,553,0.8444846,467
153.6125,562,0.8451957,475
157.3315,580,0.8465517,491
162.2708,601,0.8519135,512
167.0522,614,0.8648208,531
170.9875,622,0.8681672,540
175.8474,629,0.8680445,546
178.84,632,0.8718355,551
184.7144,643,0.8786936,565
189.065,654,0.880734,576
192.2349,658,0.8814589,580
196.1646,663,0.8838612,586
199.958,669,0.8834081,591
203.8577,676,0.8934911,604
207.757,685,0.8978102,615
211.6341,690,0.8956522,618
214.467,691,0.8914617,616
216.4221,694,0.8804035,611
221.6532,702,0.8760684,615
223.7929,704,0.8735796,615
228.1994,710,0.8732395,620
230.1187,713,0.8779804,626
234.8388,713,0.8779804,626
236.6842,714,0.872549,623
241.4371,718,0.8746518,628
243.4074,718,0.8760446,629
248.2687,718,0.8690808,624
250.1763,719,0.8678721,624
254.7779,721,0.8696255,627
256.7386,721,0.8585298,619
261.4836,721,0.8626907,622
263.4843,721,0.8654646,624
268.1919,721,0.8599168,620
270.1537,721,0.8432732,608
274.7018,721,0.852982,615
279.3056,721,0.8613037,621
282.7389,721,0.8751734,631
286.2574,721,0.8668516,625
289.1042,721,0.8696255,627
292.9284,721,0.8737864,630
296.6841,721,0.8737864,630
301.2331,721,0.8696255,627
303.2712,721,0.8668516,625
308.4885,721,0.8613037,621
312.3056,721,0.8613037,621
316.159,721,0.850208,613
320.6711,721,0.8335645,601
322.6443,721,0.8224688,593
327.1591,721,0.8238558,594
329.0739,721,0.8321775,600
333.6854,721,0.8294036,598
337.3688,721,0.8335645,601
340.2213,721,0.8404993,606
343.8281,721,0.8307906,599
347.5706,721,0.815534,588
352.3208,721,0.7850208,566
354.3964,721,0.7877947,568
359.5126,721,0.7961165,574
362.7907,721,0.8002774,577
366.6556,721,0.8113731,585
371.2335,721,0.8030513,579
373.2249,721,0.7933426,572
377.678,721,0.8113731,585
379.6724,721,0.8072122,582
384.1533,721,0.8266297,596
386.0844,721,0.8196949,591
391.3156,721,0.8252427,595
393.2796,721,0.8169209,589
