BoardSize,MutationRate,TypeOfStartEnvironment,FitnessTimeStep,CostToLive,FitnessRepThreshold,DirectFitnessTimer,DirectFitnessRange,DirectFitnessBenefit,DirectFitnessCost,DirectFitnessbcRatio,DirectFitnessExploitability,DoDirectFitness,DiffusionTimeStep,DiffusionConstG,DiffusionCutOff,DoDiffusion,ColorSecretionTimeStep,ColorSecreted,AmountColorSecreted,ColorSecretionCostPerTimeStep,DoColorSecretion,ColorMetabolismTimeStep,ColorMetNoUptake,ColorUptakeG,ColorUptakeB,ColorUptakeR,ColorFitnessPerUnitG,ColorFitnessPerUnitB,DoColorMetabolism,ColorFitnessPerUnitR,DoBiofilm,ExploitersDoBiofilms,BiofilmRange,BiofilmViscosity,BiofilmCost,BiofilmUptakeMultR,DoFlow,FlowOutOfBoard,FlowTimeStep,FlowProportionalToAmount,FlowAmountPerTimeStep,DoDegradation,DegradationReducedByBiofilm,DegradationTimeStep,DegradationProportional,DegradationAmountPerTimeStep,TimeTaken,CellID,HighestProducerCount,LowestProducerCount,TimeAtHighestProdCount,TimeAtLowestProdCount,HighestProducerCountAfterStable,LowestProducerCountAfterStable,TimeAtHighestProdCountAfterStable,TimeAtLowestProdCountAfterStable,CellCountmean,CellCountvariance,CellCountmeanPast1000,CellCountvariancePast1000,ProducerFrequencymean,ProducerFrequencyvariance,ProducerFrequencymeanPast1000,ProducerFrequencyvariancePast1000,ProducerCountmean,ProducerCountvariance,ProducerCountmeanPast1000,ProducerCountvariancePast1000
15,0,SmallSeedEach,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.5,0.15,1,True,1,Blue,5000,0.1,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,True,True,1,5,0,0.01,True,True,1,True,0.95,True,False,2,True,0.5,3000.584,416193,721,18,772.6734,4.639768,721,720,1002.034,1002.034,689.7418,12706.04,721,0,0.976483,0.003894266,1,0,680.1091,15747.74,721,0
15,0,SmallSeedEach,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.5,0.15,1,True,1,Blue,5000,0.1,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,True,True,1,5,0,0.01,True,True,1,True,0.95,True,False,2,True,0.5,3000.21,419212,721,18,569.5876,9.609709,721,720,1000.505,1000.505,696.412,10729.62,721,0,0.972233,0.004928171,1,0,682.6771,13986.4,721,0
15,0,SmallSeedEach,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.5,0.15,1,True,1,Blue,5000,0.1,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,True,True,1,5,0,0.01,True,True,1,True,0.95,True,False,2,True,0.5,3001.127,462689,721,18,680.7212,4.81276,721,720,1000.363,1000.363,701.0793,9042.096,721,0,0.9773179,0.003751874,1,0,690.1106,11419.65,721,0
15,0,SmallSeedEach,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.5,0.15,1,True,1,Blue,5000,0.1,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,True,True,1,5,0,0.01,True,True,1,True,0.95,True,False,2,True,0.5,3000.233,446164,721,18,650.4834,4.565651,721,720,1000.967,1000.967,689.5582,12397.54,721,0,0.9687478,0.007316674,1,0,676.9424,17674.88,721,0
15,0,SmallSeedEach,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.5,0.15,1,True,1,Blue,5000,0.1,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,True,True,1,5,0,0.01,True,True,1,True,0.95,True,False,2,True,0.5,3000.389,447442,721,18,1088.943,5.00758,721,704,1088.943,1046.096,689.9302,12375.64,721,0,0.9678,0.004532487,0.9994246,7.959464E-06,674.1649,15952.27,720.5851,4.137642
15,0,SmallSeedEach,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.5,0.15,1,True,1,Blue,5000,0.1,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,True,True,1,5,0,0.01,True,True,1,True,0.95,True,False,2,True,0.5,3000.486,446693,721,18,735.774,4.273255,721,720,1000.579,1000.579,693.8918,11280.85,721,0,0.9649319,0.006676324,1,0,676.3101,15755.42,721,0
15,0,SmallSeedEach,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.5,0.15,1,True,1,Blue,5000,0.1,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,True,True,1,5,0,0.01,True,True,1,True,0.95,True,False,2,True,0.5,3001.45,459022,721,18,1222.423,4.94656,721,670,1222.423,1077.255,700.2437,9423,721,0,0.9690373,0.003674755,0.9958964,0.0001596252,683.5591,11617.74,718.0413,82.98048
15,0,SmallSeedEach,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.5,0.15,1,True,1,Blue,5000,0.1,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,True,True,1,5,0,0.01,True,True,1,True,0.95,True,False,2,True,0.5,3000.423,450198,721,18,585.296,4.722185,721,720,1000.167,1000.167,696.2503,10717.89,721,0,0.965942,0.006995395,1,0,678.7076,15104.95,721,0
15,0,SmallSeedEach,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.5,0.15,1,True,1,Blue,5000,0.1,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,True,True,1,5,0,0.01,True,True,1,True,0.95,True,False,2,True,0.5,3001.357,457128,721,18,1377.319,5.723441,721,671,1377.319,1000.64,699.6715,9674.338,721,0,0.9608192,0.004072472,0.9961184,8.8322E-05,676.9013,11800.27,718.2015,45.91427
15,0,SmallSeedEach,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.5,0.15,1,True,1,Blue,5000,0.1,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,True,True,1,5,0,0.01,True,True,1,True,0.95,True,False,2,True,0.5,3000.475,456320,721,18,746.5962,4.489504,721,720,1000.335,1000.335,698.2165,10607.6,721,0,0.974262,0.003800998,1,0,685.2213,12756.69,721,0
