TimePassed,CellCount,ProducerFrequency,ProducerCount
0,38,0.5,19
3.41203,38,0.5,19
6.161124,38,0.5,19
10.36763,49,0.6122449,30
13.98908,63,0.6349207,40
17.04703,72,0.6805556,49
20.52647,85,0.682353,58
23.18688,90,0.6888889,62
28.17556,114,0.7280702,83
32.11692,127,0.7244095,92
35.28647,143,0.7272727,104
38.70096,155,0.7290323,113
43.01551,168,0.7440476,125
46.75623,186,0.7473118,139
49.83924,199,0.7638191,152
51.29866,205,0.7609756,156
56.21835,221,0.7692308,170
59.94098,232,0.7844828,182
63.146,243,0.7736626,188
66.59364,251,0.7888446,198
69.90704,255,0.8,204
73.83527,260,0.8076923,210
77.18584,270,0.8185185,221
81.08533,278,0.823741,229
84.42136,283,0.8162544,231
88.51365,290,0.8344827,242
92.09205,299,0.8428094,252
95.25525,308,0.8344156,257
98.83182,317,0.8201893,260
100.6265,320,0.825,264
105.2443,332,0.8313253,276
108.9164,338,0.8343195,282
113.1296,350,0.8428571,295
116.8406,360,0.8444445,304
121.7904,370,0.845946,313
125.5178,375,0.848,318
130.3146,383,0.8276762,317
134.2733,390,0.8102564,316
139.4937,396,0.8055556,319
142.4592,410,0.8073171,331
147.3544,418,0.8062201,337
151.2973,424,0.7853774,333
156.3285,438,0.7899544,346
160.282,448,0.7901786,354
165.0545,458,0.8122271,372
169.0628,464,0.8232759,382
173.7777,470,0.8297873,390
177.6415,476,0.8172269,389
182.4608,485,0.8350515,405
186.0244,491,0.8370672,411
190.8214,497,0.8430583,419
194.8306,503,0.8667992,436
199.7077,514,0.8774319,451
203.712,524,0.8778626,460
208.6982,530,0.8660377,459
212.6735,539,0.8608534,464
217.6656,548,0.8649635,474
220.6333,554,0.8700361,482
225.5034,563,0.8703375,490
228.863,567,0.8659612,491
233.7118,573,0.8621292,494
236.6224,577,0.8700173,502
241.3133,583,0.8662093,505
244.3963,593,0.8701518,516
248.3552,601,0.875208,526
252.1869,607,0.878089,533
256.0864,617,0.8865478,547
259.9883,633,0.8909953,564
260.9059,634,0.8848581,561
266.2366,643,0.8786936,565
268.1756,648,0.8842593,573
272.8241,653,0.8897397,581
276.0366,659,0.8831563,582
280.62,665,0.8872181,590
283.6182,672,0.889881,598
288.4731,678,0.8923304,605
290.3531,682,0.8944281,610
295.0029,689,0.8838897,609
299.6906,695,0.8964029,623
302.9142,697,0.9096126,634
304.8882,700,0.91,637
309.5981,703,0.916074,644
311.5918,705,0.9205674,649
316.3008,709,0.9266573,657
318.2959,710,0.9253521,657
323.0231,712,0.9297753,662
324.9533,712,0.9297753,662
330.2354,716,0.9315643,667
333.8955,718,0.9289694,667
337.7897,719,0.9235049,664
342.5771,719,0.9235049,664
344.5652,719,0.9276773,667
349.2308,719,0.9554937,687
351.2083,720,0.9569445,689
355.823,720,0.9625,693
358.4439,720,0.9625,693
362.159,720,0.9694445,698
364.339,720,0.975,702
369.0393,720,0.9736111,701
370.9516,720,0.9722222,700
375.5763,721,0.9708738,700
377.4818,721,0.9791955,706
382.0324,721,0.9791955,706
384.0757,721,0.9791955,706
388.7692,721,0.9778086,705
390.9368,721,0.9778086,705
395.3759,721,0.9778086,705
397.2625,721,0.9791955,706
401.761,721,0.9764217,704
403.7057,721,0.9791955,706
408.3046,721,0.9819695,708
411.414,721,0.9805825,707
416.0623,721,0.9708738,700
420.3694,721,0.9680998,698
423.3401,721,0.9708738,700
427.9608,721,0.962552,694
429.9686,721,0.963939,695
434.6881,721,0.962552,694
436.6856,721,0.9667129,697
441.1984,721,0.9583911,691
443.2871,721,0.9583911,691
447.8416,721,0.9570042,690
451.5186,721,0.9583911,691
454.3672,721,0.9486824,684
458.1208,721,0.9570042,690
461.0498,721,0.965326,696
464.8476,721,0.9736477,702
467.7063,721,0.9778086,705
471.4462,721,0.9694868,699
475.0807,721,0.9778086,705
480.5545,721,0.9764217,704
484.4118,721,0.9778086,705
487.2056,721,0.9819695,708
491.038,721,0.9764217,704
494.8333,721,0.9736477,702
499.4874,721,0.9722608,701
501.5926,721,0.9736477,702
506.5866,721,0.9708738,700
510.0382,721,0.9722608,701
512.9265,721,0.9764217,704
516.829,721,0.9764217,704
519.6508,721,0.9764217,704
523.6162,721,0.9722608,701
527.3476,721,0.9764217,704
531.9842,721,0.9694868,699
533.9563,721,0.9597781,692
538.5512,721,0.962552,694
542.3667,721,0.9570042,690
546.1357,721,0.9597781,692
550.7411,721,0.9431345,680
552.7365,721,0.9514563,686
557.4714,721,0.9556172,689
559.467,721,0.9583911,691
564.1954,721,0.9486824,684
568.004,721,0.9528432,687
571.2999,721,0.9403606,678
575.0056,721,0.9472954,683
578.7592,721,0.9583911,691
583.2945,721,0.9486824,684
585.2559,721,0.9500694,685
590.0365,721,0.9500694,685
592.0635,721,0.9445215,681
596.8872,721,0.9445215,681
600.7502,721,0.9556172,689
603.6477,721,0.9542302,688
607.5754,721,0.9500694,685
611.1335,721,0.9611651,693
616.3687,721,0.9694868,699
618.2026,721,0.965326,696
622.829,721,0.9736477,702
625.5565,721,0.9694868,699
629.2813,721,0.9680998,698
631.1354,721,0.9680998,698
636.0232,721,0.9722608,701
638.0061,721,0.9764217,704
642.7562,721,0.9778086,705
644.8058,721,0.9778086,705
649.2613,721,0.9764217,704
651.3405,721,0.9764217,704
655.6296,721,0.9791955,706
659.4117,721,0.9833565,709
663.3093,721,0.9861304,711
667.9872,721,0.9889043,713
669.9666,721,0.9847434,710
674.3833,721,0.9819695,708
676.3584,721,0.9805825,707
681.0776,721,0.9736477,702
683.1217,721,0.9778086,705
688.1962,721,0.9764217,704
692.0422,721,0.9778086,705
695.6572,721,0.9791955,706
700.5019,721,0.9791955,706
702.4126,721,0.9805825,707
706.9937,721,0.9833565,709
708.913,721,0.9875174,712
712.6101,721,0.9861304,711
717.2308,721,0.9889043,713
720.6221,721,0.9916782,715
724.4701,721,0.9902912,714
728.2847,721,0.9875174,712
733.0743,721,0.9944522,717
735.0939,721,0.9944522,717
739.4737,721,0.9972261,719
741.3673,721,0.9958391,718
746.8052,721,0.9972261,719
750.6002,721,0.9944522,717
753.4291,721,0.9944522,717
757.228,721,0.9944522,717
760.1115,721,0.9958391,718
764.0709,721,0.9986131,720
766.9133,721,0.9972261,719
770.7454,721,0.9986131,720
774.5621,721,1,721
778.0086,721,1,721
781.4258,721,1,721
785.0704,721,1,721
788.9873,721,1,721
792.676,721,1,721
797.3861,721,1,721
800.4923,721,1,721
805.0759,721,1,721
808.8276,721,1,721
812.2219,721,1,721
815.4517,721,1,721
819.1526,721,1,721
820.2492,721,1,721
826.1423,721,1,721
830.7116,721,1,721
832.6638,721,1,721
837.8263,721,1,721
839.9458,721,1,721
844.2899,721,1,721
847.2128,721,1,721
851.879,721,1,721
853.8698,721,1,721
858.5214,721,1,721
861.4739,721,1,721
866.2162,721,1,721
868.1359,721,1,721
872.6551,721,1,721
875.7305,721,1,721
880.3879,721,1,721
882.301,721,1,721
886.9998,721,1,721
889.9746,721,1,721
893.6735,721,1,721
896.1353,721,1,721
900.8881,721,1,721
905.0565,721,1,721
906.9868,721,1,721
911.5503,721,1,721
914.5468,721,1,721
919.2098,721,1,721
922.1721,721,1,721
926.5974,721,1,721
928.6741,721,1,721
933.3391,721,1,721
936.3075,721,1,721
940.8096,721,1,721
942.9307,721,1,721
947.4988,721,1,721
949.4237,721,1,721
