TimePassed,CellCount,ProducerFrequency,ProducerCount
0,2791,0.510928,1426
2.932961,2791,0.510928,1426
17.36414,2791,0.510928,1426
21.29304,2791,0.5148692,1437
25.4689,2791,0.5209602,1454
29.67094,2791,0.5249014,1465
34.58736,2791,0.5270512,1471
38.24168,2791,0.5284844,1475
47.38055,2791,0.5266929,1470
49.15258,2791,0.5266929,1470
54.8101,2791,0.5284844,1475
58.3643,2791,0.5342171,1491
62.75402,2791,0.5360086,1496
67.90512,2791,0.5342171,1491
71.98281,2791,0.535292,1494
73.66602,2791,0.5356503,1495
76.57743,2791,0.5356503,1495
82.74564,2791,0.5385166,1503
87.00111,2791,0.5420996,1513
91.30965,2791,0.5420996,1513
95.90708,2791,0.5395916,1506
100.5893,2791,0.5435328,1517
104.7142,2791,0.5481906,1530
108.9238,2791,0.5532067,1544
113.39,2791,0.5503404,1536
117.7814,2791,0.5499821,1535
121.5784,2791,0.5478323,1529
125.9481,2791,0.5478323,1529
130.4115,2791,0.5506987,1537
134.8383,2791,0.5546399,1548
143.1277,2791,0.563239,1572
147.5702,2791,0.5650305,1577
152.0921,2791,0.5664636,1581
156.4534,2791,0.571838,1596
161.1283,2791,0.5646722,1576
165.3582,2791,0.5560731,1552
169.5654,2791,0.5524902,1542
173.9939,2791,0.5542816,1547
178.2444,2791,0.563239,1572
182.6299,2791,0.5668219,1582
186.9161,2791,0.5603727,1564
191.2123,2791,0.5607309,1565
195.4371,2791,0.557148,1555
200.1025,2791,0.5524902,1542
203.7958,2791,0.5546399,1548
208.173,2791,0.551057,1538
212.5642,2791,0.5460408,1524
216.7461,2791,0.5478323,1529
221.1359,2791,0.547474,1528
225.4706,2791,0.5435328,1517
229.7961,2791,0.5410247,1510
234.0531,2791,0.5395916,1506
238.4113,2791,0.5356503,1495
243.0428,2791,0.5424579,1514
247.3059,2791,0.5381584,1502
251.7397,2791,0.5363669,1497
256.4043,2791,0.5299176,1479
261.146,2791,0.5338588,1490
264.4297,2791,0.5356503,1495
268.7988,2791,0.5349337,1493
273.0029,2791,0.5342171,1491
277.3975,2791,0.5374418,1500
281.3251,2791,0.5385166,1503
285.7279,2791,0.5385166,1503
290.1262,2791,0.5378001,1501
294.4994,2791,0.5381584,1502
298.6082,2791,0.5281261,1474
303.4059,2791,0.529201,1477
307.9948,2791,0.5299176,1479
312.3691,2791,0.5266929,1470
316.7257,2791,0.5284844,1475
321.049,2791,0.5234683,1461
324.8221,2791,0.5241849,1463
329.0011,2791,0.5206019,1453
333.1695,2791,0.5141526,1435
337.4544,2791,0.5145109,1436
342.1216,2791,0.5152275,1438
345.8612,2791,0.5116445,1428
350.1362,2791,0.5191687,1449
354.4623,2791,0.5220351,1457
358.8451,2791,0.5198854,1451
363.2526,2791,0.5069867,1415
367.706,2791,0.5037621,1406
371.9807,2791,0.5044787,1408
376.3071,2791,0.5062702,1413
380.6705,2791,0.5051953,1410
385.0959,2791,0.5059119,1412
389.4205,2791,0.5066285,1414
393.5055,2791,0.501254,1399
397.7769,2791,0.4958796,1384
401.7235,2791,0.4915801,1372
406.6206,2791,0.4872805,1360
411.0032,2791,0.4790398,1337
415.243,2791,0.4790398,1337
419.6875,2791,0.4776066,1333
424.3627,2791,0.4786815,1336
428.1426,2791,0.4819061,1345
432.4016,2791,0.4776066,1333
436.8001,2791,0.4718739,1317
441.0872,2791,0.4772483,1332
445.5331,2791,0.4715156,1316
449.4482,2791,0.4715156,1316
453.715,2791,0.4729488,1320
458.1527,2791,0.4740236,1323
462.2184,2791,0.4718739,1317
466.4461,2791,0.4747402,1325
470.238,2791,0.4693658,1310
474.3806,2791,0.4621999,1290
479.3816,2791,0.4607668,1286
482.8946,2791,0.461125,1287
487.1691,2791,0.4625582,1291
491.82,2791,0.4621999,1290
496.0188,2791,0.4579004,1278
500.3576,2791,0.4582587,1279
504.6289,2791,0.4579004,1278
508.9812,2791,0.4561089,1273
513.5071,2791,0.4593336,1282
517.6439,2791,0.4571838,1276
521.9104,2791,0.455034,1270
526.7774,2791,0.4575421,1277
530.2932,2791,0.4675744,1305
535.4249,2791,0.4704407,1313
539.3422,2791,0.4693658,1310
543.8624,2791,0.4604084,1285
548.1484,2791,0.4557506,1272
552.5145,2791,0.4618416,1289
557.2102,2791,0.4607668,1286
560.9008,2791,0.458617,1280
565.1911,2791,0.4593336,1282
569.587,2791,0.4503762,1257
573.8322,2791,0.4528843,1264
577.8676,2791,0.4507345,1258
582.962,2791,0.4503762,1257
587.3585,2791,0.4553923,1271
590.8701,2791,0.455034,1270
595.0751,2791,0.4521677,1262
599.9565,2791,0.4564672,1274
604.557,2791,0.4546757,1269
608.6949,2791,0.458617,1280
612.8309,2791,0.4604084,1285
617.0129,2791,0.4593336,1282
621.5701,2791,0.4503762,1257
623.0858,2791,0.4518094,1261
627.6144,2791,0.4503762,1257
631.7436,2791,0.4453601,1243
636.3389,2791,0.4338947,1211
640.4168,2791,0.4378359,1222
644.9722,2791,0.4356861,1216
649.1756,2791,0.4324615,1207
653.4619,2791,0.4371193,1220
657.5793,2791,0.4392691,1226
662.6452,2791,0.4335364,1210
666.2335,2791,0.4310283,1203
670.9377,2791,0.4321032,1206
674.8496,2791,0.4252956,1187
679.2925,2791,0.4202795,1173
683.4882,2791,0.418488,1168
687.9772,2791,0.4177714,1166
692.4075,2791,0.4163382,1162
696.9869,2791,0.418488,1168
701.2566,2791,0.4238624,1183
705.7172,2791,0.4242207,1184
709.8002,2791,0.4131136,1153
714.2845,2791,0.3987818,1113
718.7761,2791,0.3948406,1102
723.0253,2791,0.3908993,1091
727.2764,2791,0.3937657,1099
731.7165,2791,0.3944823,1101
735.9839,2791,0.3916159,1093
740.8232,2791,0.3919742,1094
744.6343,2791,0.3891079,1086
749.0484,2791,0.394124,1100
753.4598,2791,0.3977069,1110
757.6223,2791,0.3923325,1095
762.1921,2791,0.394124,1100
766.5349,2791,0.3998567,1116
770.6874,2791,0.4023647,1123
774.9364,2791,0.3991401,1114
779.2541,2791,0.3912576,1092
784.0139,2791,0.3898245,1088
788.6002,2791,0.3815837,1065
792.2703,2791,0.3865998,1079
796.5414,2791,0.3823003,1067
800.9494,2791,0.3830169,1069
805.2888,2791,0.3794339,1059
809.5911,2791,0.378359,1056
814.0141,2791,0.3744178,1045
818.2853,2791,0.372268,1039
822.7557,2791,0.378359,1056
827.206,2791,0.3848083,1074
831.4767,2791,0.3883913,1084
835.7711,2791,0.390541,1090
840.2329,2791,0.3894661,1087
844.6435,2791,0.3887495,1085
848.7877,2791,0.3848083,1074
853.2623,2791,0.3848083,1074
857.5157,2791,0.3858832,1077
862.1804,2791,0.3812254,1064
866.3867,2791,0.3823003,1067
870.7863,2791,0.3801505,1061
875.2074,2791,0.3729846,1041
879.5485,2791,0.3704765,1034
883.78,2791,0.3754927,1048
888.3228,2791,0.3733429,1042
892.7528,2791,0.3737012,1043
897.082,2791,0.3765675,1051
901.459,2791,0.3865998,1079
905.6948,2791,0.3887495,1085
910.6513,2791,0.378359,1056
914.327,2791,0.3787173,1057
918.6476,2791,0.3808671,1063
922.9545,2791,0.3873164,1081
927.1846,2791,0.3862415,1078
931.5279,2791,0.38445,1073
935.9732,2791,0.3873164,1081
940.2518,2791,0.38445,1073
944.4709,2791,0.3901827,1089
948.8027,2791,0.3887495,1085
952.8883,2791,0.388033,1083
957.7207,2791,0.3772841,1053
961.3689,2791,0.3701182,1033
965.8388,2791,0.3751343,1047
969.9189,2791,0.3715514,1037
974.2865,2791,0.3643855,1017
978.5281,2791,0.3654604,1020
983.2763,2791,0.3676102,1026
987.6706,2791,0.3665353,1023
991.8526,2791,0.3694016,1031
996.1108,2791,0.3719097,1038
1000.484,2791,0.3758509,1049
1004.705,2791,0.3754927,1048
1009.48,2791,0.372268,1039
1013.846,2791,0.3676102,1026
1018.165,2791,0.3715514,1037
1022.341,2791,0.3672519,1025
1026.824,2791,0.3643855,1017
1031.677,2791,0.3590111,1002
1035.49,2791,0.360086,1005
1039.842,2791,0.3676102,1026
1044.173,2791,0.3765675,1051
1048.597,2791,0.3769258,1052
1052.985,2791,0.3769258,1052
1057.408,2791,0.3708348,1035
1061.837,2791,0.3704765,1034
1066.037,2791,0.3665353,1023
1070.432,2791,0.3676102,1026
1074.576,2791,0.3647438,1018
1079.362,2791,0.3658187,1021
1083.138,2791,0.3676102,1026
1087.362,2791,0.3737012,1043
1091.54,2791,0.3772841,1053
1095.943,2791,0.3780007,1055
1100.306,2791,0.3865998,1079
1104.934,2791,0.3862415,1078
1109.294,2791,0.3837334,1071
1113.462,2791,0.3919742,1094
1117.82,2791,0.3930491,1097
1122.142,2791,0.3891079,1086
1126.329,2791,0.3812254,1064
1130.875,2791,0.3769258,1052
1135.23,2791,0.3805088,1062
1139.541,2791,0.38445,1073
1143.834,2791,0.3869581,1080
1148.259,2791,0.3869581,1080
1152.721,2791,0.3826585,1068
1156.99,2791,0.3865998,1079
1161.345,2791,0.3908993,1091
1165.819,2791,0.3848083,1074
1170.091,2791,0.3876747,1082
1174.888,2791,0.3955571,1104
1178.769,2791,0.3951989,1103
1182.947,2791,0.3969903,1108
1187.261,2791,0.3959154,1105
1191.625,2791,0.3919742,1094
1196.117,2791,0.3969903,1108
1200.733,2791,0.402723,1124
1205.004,2791,0.408814,1141
1209.245,2791,0.4134719,1154
1213.626,2791,0.4091723,1142
1217.839,2791,0.4077392,1138
1222.79,2791,0.4116804,1149
1226.478,2791,0.4048728,1130
1230.721,2791,0.3951989,1103
1234.84,2791,0.3812254,1064
1239.238,2791,0.3787173,1057
1243.6,2791,0.3894661,1087
1248.251,2791,0.3823003,1067
1252.397,2791,0.3801505,1061
1256.522,2791,0.3815837,1065
1260.865,2791,0.3833751,1070
1265.181,2791,0.3919742,1094
1269.923,2791,0.3812254,1064
1273.725,2791,0.390541,1090
1278.228,2791,0.388033,1083
1282.613,2791,0.3830169,1069
1286.911,2791,0.3815837,1065
1291.32,2791,0.3912576,1092
1296.028,2791,0.3908993,1091
1300.156,2791,0.4009316,1119
1304.426,2791,0.4034396,1126
1308.705,2791,0.3969903,1108
1313.046,2791,0.3898245,1088
1317.752,2791,0.3858832,1077
1321.535,2791,0.3926908,1096
1326.092,2791,0.4012899,1120
1330.317,2791,0.402723,1124
