BoardSize,MutationRate,TypeOfStartEnvironment,FitnessTimeStep,CostToLive,FitnessRepThreshold,,,,,,,,TimeTaken,CellID,HighestProducerCount,LowestProducerCount,TimeAtHighestProdCount,TimeAtLowestProdCount,HighestProducerCountAfterStable,LowestProducerCountAfterStable,TimeAtHighestProdCountAfterStable,TimeAtLowestProdCountAfterStable,CellCountmean,CellCountvariance,CellCountmeanPast1000,CellCountvariancePast1000,ProducerFrequencymean,ProducerFrequencyvariance,ProducerFrequencymeanPast1000,ProducerFrequencyvariancePast1000,ProducerCountmean,ProducerCountvariance,ProducerCountmeanPast1000,ProducerCountvariancePast1000
15,0,HalfAndHalf,2,-0.1,1,,,,,,,,5003.714,622947,715,375,4438.662,3.102834,715,484,4438.662,2640.665,721,0,721,0,0.8229705,0.01043001,0.8615348,0.004976622,593.3615,5421.955,621.1661,2587.053
15,0,HalfAndHalf,2,-0.1,1,,,,,,,,5000.42,457760,603,174,4673.882,2224.938,603,174,4673.882,2224.938,721,0,721,0,0.5341048,0.0214442,0.5105769,0.02293879,385.0897,11147.58,368.126,11924.5
15,0,HalfAndHalf,2,-0.1,1,,,,,,,,5000.249,573515,657,374,2047.987,21.96203,657,413,2047.987,3565.227,721,0,721,0,0.7528185,0.005665523,0.765262,0.004632154,542.782,2945.169,551.7541,2407.984
15,0,HalfAndHalf,2,-0.1,1,,,,,,,,5000.699,433851,551,199,4151.927,1836.231,551,199,4151.927,1836.231,721,0,721,0,0.5029618,0.009349004,0.4818483,0.009049226,362.6356,4859.995,347.4125,4704.16
15,0,HalfAndHalf,2,-0.1,1,,,,,,,,5000.135,582108,677,357,3471.014,4984.703,677,357,3471.014,4984.703,721,0,721,0,0.7771563,0.01381005,0.8236852,0.005792513,560.3286,7179.028,593.8763,3011.189
15,0,HalfAndHalf,2,-0.1,1,,,,,,,,5001.526,464866,574,235,866.0908,4751.081,573,235,2019.286,4751.081,721,0,721,0,0.5543417,0.01539176,0.5278245,0.01351853,399.6803,8001.272,380.5618,7027.482
15,0,HalfAndHalf,2,-0.1,1,,,,,,,,5001.097,499142,620,202,1879.561,3434.986,620,202,1879.561,3434.986,721,0,721,0,0.6037449,0.01938625,0.5792349,0.01964119,435.3004,10077.78,417.6286,10210.3
15,0,HalfAndHalf,2,-0.1,1,,,,,,,,5002.739,563863,637,375,2164.733,41.30942,637,380,2164.733,1003.474,721,0,721,0,0.7344313,0.0053988,0.7560056,0.003591799,529.525,2806.507,545.0798,1867.165
15,0,HalfAndHalf,2,-0.1,1,,,,,,,,5001.463,507065,604,290,3521.184,2393.555,604,290,3521.184,2393.555,721,0,721,0,0.6358005,0.007163412,0.6330106,0.007969421,458.4122,3723.841,456.4005,4142.834
15,0,HalfAndHalf,2,-0.1,1,,,,,,,,5001.472,557064,635,375,881.7074,9.69926,625,380,4397.959,3346.865,721,0,721,0,0.7162563,0.004496966,0.7152082,0.003503608,516.4208,2337.707,515.665,1821.317
30,0,HalfAndHalf,2,-0.1,1,,,,,,,,5002.26,2070397,2117,1340,3245.348,4981.214,2117,1340,3245.348,4981.214,2791,0,2791,0,0.6345645,0.004180592,0.6539255,0.003142092,1771.069,32565.49,1825.106,24475.87
30,0,HalfAndHalf,2,-0.1,1,,,,,,,,5001.58,1855024,1703,1288,2609.73,4986.834,1703,1288,2609.73,4986.834,2791,0,2791,0,0.5507614,0.000619925,0.5521248,0.000734894,1537.174,4829.021,1540.981,5724.585
30,0,HalfAndHalf,2,-0.1,1,,,,,,,,5000.151,1708929,1713,795,868.6454,3796.482,1697,795,1089.482,3796.482,2791,0,2791,0,0.4673804,0.01025253,0.4440198,0.00976483,1304.459,79863.85,1239.258,76064.9
30,0,HalfAndHalf,2,-0.1,1,,,,,,,,5001.176,1316136,1599,299,156.4534,4644.322,1204,299,1371.964,4644.322,2791,0,2791,0,0.3210065,0.01204648,0.2872568,0.007869503,895.9298,93838.37,801.7342,61300.96
30,0,HalfAndHalf,2,-0.1,1,,,,,,,,5001.695,1928461,1875,1234,2909.884,4600.329,1875,1234,2909.884,4600.329,2791,0,2791,0,0.5641702,0.001786848,0.5629941,0.001924372,1574.599,13918.97,1571.316,14990.24
30,0,HalfAndHalf,2,-0.1,1,,,,,,,,5001.292,1801107,1743,1031,441.8579,3961.092,1614,1031,3018.5,3961.092,2791,0,2791,0,0.513161,0.003229222,0.4964913,0.00245803,1432.233,25154.62,1385.707,19147.25
30,0,HalfAndHalf,2,-0.1,1,,,,,,,,5000.296,1647399,1760,604,1889.503,4121.183,1760,604,1889.503,4121.183,2791,0,2791,0,0.4494104,0.01612507,0.4237228,0.01624929,1254.307,125609.2,1182.612,126576.8
30,0,HalfAndHalf,2,-0.1,1,,,,,,,,5000.172,1306980,1609,287,469.4948,4756.44,1317,287,1064.747,4756.44,2791,0,2791,0,0.3101056,0.0178509,0.2590071,0.007655947,865.504,139052.8,722.8892,59637.41
30,0,HalfAndHalf,2,-0.1,1,,,,,,,,5002.055,1887169,1972,1132,4978.261,3118.651,1972,1132,4978.261,3118.651,2791,0,2791,0,0.5524086,0.002879437,0.5562748,0.003124163,1541.772,22429.89,1552.563,24336.26
30,0,HalfAndHalf,2,-0.1,1,,,,,,,,5000.47,1585568,1493,917,55.50587,3667.749,1367,917,1156.445,3667.749,2791,0,2791,0,0.4293558,0.002036375,0.4125719,0.001005997,1198.331,15862.71,1151.488,7836.393
