BoardSize,MutationRate,TypeOfStartEnvironment,FitnessTimeStep,CostToLive,FitnessRepThreshold,DirectFitnessTimer,DirectFitnessRange,DirectFitnessBenefit,DirectFitnessCost,DirectFitnessbcRatio,DirectFitnessExploitability,DoDirectFitness,ColorSecretionCostPerTimeStep,DoColorSecretion,ColorMetabolismTimeStep,ColorUptakeG,ColorFitnessPerUnitG,DoColorMetabolism,TimeTaken,CellID,HighestProducerCount,LowestProducerCount,TimeAtHighestProdCount,TimeAtLowestProdCount,HighestProducerCountAfterStable,LowestProducerCountAfterStable,TimeAtHighestProdCountAfterStable,TimeAtLowestProdCountAfterStable,CellCountmean,CellCountvariance,CellCountmeanPast1000,CellCountvariancePast1000,ProducerFrequencymean,ProducerFrequencyvariance,ProducerFrequencymeanPast1000,ProducerFrequencyvariancePast1000,ProducerCountmean,ProducerCountvariance,ProducerCountmeanPast1000,ProducerCountvariancePast1000
15,0,HalfAndHalf,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.1,True,1,10000,0.0001,True,3000.2,255947,386,161,94.10083,1249.246,298,161,2905.446,1249.246,721,0,721,0,0.3499241,0.005130915,0.3131562,0.00219577,252.2953,2667.259,225.7857,1141.45
15,0,HalfAndHalf,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.1,True,1,10000,0.0001,True,3000.449,261881,385,181,21.64237,924.0103,346,197,1823.079,1025.945,721,0,721,0,0.3734944,0.002858498,0.3814529,0.001709342,269.2893,1485.967,275.0275,888.5851
15,0,HalfAndHalf,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.1,True,1,10000,0.0001,True,3000.58,266238,421,176,236.1576,1793.093,309,176,2416.256,1793.093,721,0,721,0,0.3726674,0.004973182,0.3399243,0.001167229,268.6934,2585.263,245.0854,606.7727
15,0,HalfAndHalf,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.1,True,1,10000,0.0001,True,3001.233,266705,397,140,86.14998,2988.964,310,140,1683.539,2988.964,721,0,721,0,0.361422,0.004527487,0.331549,0.002315954,260.5855,2353.577,239.0468,1203.929
15,0,HalfAndHalf,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.1,True,1,10000,0.0001,True,3000.448,256442,385,117,22.60674,2819.889,336,117,1396.255,2819.889,721,0,721,0,0.3456686,0.008755716,0.3042583,0.007318657,249.2271,4551.586,219.3701,3804.535
15,0,HalfAndHalf,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.1,True,1,10000,0.0001,True,3000.833,268138,416,144,354.318,1043.615,333,144,2451.19,1043.615,721,0,721,0,0.3660082,0.006977928,0.3323622,0.002491659,263.8919,3627.406,239.6331,1295.268
15,0,HalfAndHalf,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.1,True,1,10000,0.0001,True,3000.322,255889,387,155,18.79926,1441.825,361,155,2959.613,1441.825,721,0,721,0,0.3340503,0.004102154,0.3208734,0.003213046,240.8502,2132.469,231.3498,1670.273
15,0,HalfAndHalf,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.1,True,1,10000,0.0001,True,3000.168,241535,391,98,86.84845,2073.456,292,98,1044.108,2073.456,721,0,721,0,0.2960761,0.008155255,0.2490392,0.00359258,213.4708,4239.438,179.5573,1867.57
15,0,HalfAndHalf,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.1,True,1,10000,0.0001,True,3000.362,243062,376,63,0,1065.951,311,63,2086.499,1065.951,721,0,721,0,0.278402,0.009834795,0.2540815,0.007050227,200.7277,5112.521,183.1929,3664.999
15,0,HalfAndHalf,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.1,True,1,10000,0.0001,True,3000.343,285600,437,181,276.2734,1756.822,368,181,1061.781,1756.822,721,0,721,0,0.4330062,0.006718213,0.3872389,0.002575298,312.1974,3492.41,279.1992,1338.747

