TimePassed,CellCount,ProducerFrequency,ProducerCount
0,2791,0.510928,1426
1.304978,2791,0.510928,1426
10.59571,2791,0.510928,1426
11.53079,2791,0.510928,1426
17.30311,2791,0.5148692,1437
20.52497,2791,0.5127195,1431
23.64395,2791,0.5145109,1436
27.67441,2791,0.5120029,1429
30.02889,2791,0.5102114,1424
34.03064,2791,0.5091365,1421
37.36252,2791,0.5091365,1421
39.99061,2791,0.5059119,1412
44.17212,2791,0.5098531,1423
48.02351,2791,0.5051953,1410
52.0107,2791,0.5055535,1411
55.6075,2791,0.5037621,1406
59.77961,2791,0.5023289,1402
63.7676,2791,0.5005375,1397
68.13246,2791,0.5051953,1410
71.74191,2791,0.5051953,1410
75.91274,2791,0.5030455,1404
78.97408,2791,0.5051953,1410
82.42026,2791,0.5023289,1402
86.85809,2791,0.5005375,1397
89.81385,2791,0.5026872,1403
93.33585,2791,0.5016123,1400
97.82106,2791,0.501254,1399
100.5798,2791,0.5008957,1398
104.3856,2791,0.4965962,1386
108.6306,2791,0.4940881,1379
112.0159,2791,0.4944464,1380
116.5991,2791,0.4958796,1384
121.0748,2791,0.4933715,1377
124.781,2791,0.4948047,1381
128.1619,2791,0.4908635,1370
131.1604,2791,0.4937299,1378
135.2351,2791,0.4958796,1384
139.134,2791,0.4940881,1379
142.874,2791,0.4998209,1395
147.0475,2791,0.504837,1409
150.6813,2791,0.5034038,1405
155.1056,2791,0.5034038,1405
158.7467,2791,0.4994625,1394
163.0965,2791,0.4955213,1383
166.3694,2791,0.4983877,1391
169.9032,2791,0.4994625,1394
173.7211,2791,0.4940881,1379
178.38,2791,0.4908635,1370
181.8283,2791,0.4905052,1369
184.9353,2791,0.4840559,1351
188.8006,2791,0.482981,1348
193.3354,2791,0.4851308,1354
196.3385,2791,0.4883554,1363
200.0275,2791,0.4858474,1356
203.0642,2791,0.4815478,1344
206.8672,2791,0.4836976,1350
210.8339,2791,0.4822644,1346
214.7147,2791,0.480473,1341
219.3179,2791,0.4797564,1339
222.6354,2791,0.4808312,1342
226.4303,2791,0.4772483,1332
229.8246,2791,0.4797564,1339
233.4639,2791,0.4783232,1335
237.9844,2791,0.47689,1331
241.7083,2791,0.4765317,1330
244.705,2791,0.4747402,1325
248.1441,2791,0.4697241,1311
250.4315,2791,0.4661412,1301
255.1002,2791,0.4632748,1293
258.7463,2791,0.4675744,1305
262.0236,2791,0.4682909,1307
265.2059,2791,0.4700824,1312
268.1829,2791,0.4664994,1302
271.4307,2791,0.4657829,1300
274.4023,2791,0.4654246,1299
278.0424,2791,0.4654246,1299
282.3441,2791,0.4650663,1298
285.6869,2791,0.4693658,1310
289.1171,2791,0.4750985,1326
293.0475,2791,0.4736654,1322
295.9973,2791,0.4729488,1320
300.0408,2791,0.474382,1324
303.4664,2791,0.4729488,1320
306.8159,2791,0.4704407,1313
310.9756,2791,0.4736654,1322
314.3716,2791,0.4765317,1330
317.6231,2791,0.4754568,1327
321.8243,2791,0.4761734,1329
326.1678,2791,0.4740236,1323
329.2786,2791,0.47689,1331
332.8208,2791,0.4733071,1321
335.877,2791,0.474382,1324
340.1545,2791,0.4715156,1316
343.7345,2791,0.4700824,1312
347.8086,2791,0.470799,1314
351.339,2791,0.470799,1314
355.3601,2791,0.4690075,1309
359.6987,2791,0.4704407,1313
363.4246,2791,0.4636331,1294
366.5291,2791,0.464708,1297
369.6252,2791,0.4643497,1296
373.5196,2791,0.4661412,1301
376.3721,2791,0.4686492,1308
379.5536,2791,0.4625582,1291
382.7506,2791,0.4614833,1288
385.7754,2791,0.4607668,1286
389.8699,2791,0.4575421,1277
393.8636,2791,0.4543175,1268
396.7288,2791,0.455034,1270
400.8741,2791,0.4571838,1276
404.0986,2791,0.4568255,1275
406.7575,2791,0.4528843,1264
410.6923,2791,0.4568255,1275
413.6604,2791,0.4557506,1272
416.6337,2791,0.4553923,1271
419.4721,2791,0.4564672,1274
423.9365,2791,0.4579004,1278
426.9661,2791,0.4543175,1268
430.5063,2791,0.4571838,1276
433.7628,2791,0.4543175,1268
437.4793,2791,0.4589753,1281
441.3634,2791,0.4575421,1277
445.2077,2791,0.4553923,1271
448.1455,2791,0.4532426,1265
452.055,2791,0.4557506,1272
455.8523,2791,0.4546757,1269
459.4361,2791,0.4568255,1275
462.3794,2791,0.4593336,1282
466.5011,2791,0.4546757,1269
469.2496,2791,0.4564672,1274
473.3493,2791,0.4568255,1275
476.3633,2791,0.4575421,1277
480.3441,2791,0.4582587,1279
484.7018,2791,0.4539592,1267
488.4888,2791,0.4467933,1247
492.7733,2791,0.4471516,1248
495.6789,2791,0.4496596,1255
500.0337,2791,0.4446435,1241
503.5102,2791,0.448943,1253
506.685,2791,0.4579004,1278
511.2437,2791,0.4496596,1255
514.3066,2791,0.4485847,1252
518.0677,2791,0.4493013,1254
521.0687,2791,0.4561089,1273
524.7986,2791,0.4532426,1265
528.5984,2791,0.4539592,1267
532.9493,2791,0.4521677,1262
536.7898,2791,0.4496596,1255
540.6853,2791,0.4485847,1252
544.4813,2791,0.4467933,1247
548.3906,2791,0.4507345,1258
553.048,2791,0.4543175,1268
556.68,2791,0.4582587,1279
560.3414,2791,0.4571838,1276
563.514,2791,0.4579004,1278
567.48,2791,0.4575421,1277
571.8193,2791,0.4557506,1272
575.4391,2791,0.4539592,1267
578.6956,2791,0.4528843,1264
582.7045,2791,0.4539592,1267
585.3685,2791,0.4568255,1275
589.8658,2791,0.4582587,1279
593.0295,2791,0.4575421,1277
596.2184,2791,0.4614833,1288
600.1874,2791,0.458617,1280
605.1497,2791,0.4557506,1272
608.653,2791,0.4532426,1265
612.7384,2791,0.4561089,1273
615.7358,2791,0.4521677,1262
620.0963,2791,0.4553923,1271
623.5938,2791,0.4625582,1291
627.5923,2791,0.4621999,1290
