TimePassed,CellCount,ProducerFrequency,ProducerCount
0,721,0.5214979,376
0.7082185,721,0.5214979,376
6.568268,721,0.5214979,376
9.843786,721,0.5214979,376
13.63916,721,0.5242718,378
18.28017,721,0.5228849,377
22.18927,721,0.5242718,378
26.92917,721,0.5270458,380
29.87907,721,0.5298197,382
34.7098,721,0.5284327,381
38.68703,721,0.5214979,376
39.66363,721,0.518724,374
45.5466,721,0.5090153,367
48.60797,721,0.5006935,361
54.34056,721,0.5048544,364
57.29545,721,0.5020804,362
62.80888,721,0.5062413,365
65.70796,721,0.5090153,367
70.72334,721,0.4951456,357
74.66624,721,0.4909847,354
79.43023,721,0.4882108,352
83.42221,721,0.4771151,344
88.18496,721,0.4757282,343
92.03446,721,0.4757282,343
95.70403,721,0.4771151,344
99.66354,721,0.4757282,343
104.564,721,0.4785021,345
108.5349,721,0.4660194,336
113.2051,721,0.4687933,338
117.2141,721,0.4701803,339
122.0414,721,0.4687933,338
124.9928,721,0.4687933,338
129.1003,721,0.4604716,332
133.0237,721,0.4590846,331
135.042,721,0.4576976,330
139.6934,721,0.4466019,322
143.6529,721,0.4355063,314
148.5066,721,0.442441,319
152.5156,721,0.4341193,313
157.0707,721,0.4341193,313
160.9879,721,0.4355063,314
165.6741,721,0.4341193,313
169.5832,721,0.4313453,311
174.4094,721,0.4244106,306
178.4186,721,0.4230236,305
183.0863,721,0.4174757,301
187.0455,721,0.4105409,296
191.6264,721,0.40638,293
195.5369,721,0.3925104,283
200.2303,721,0.3911234,282
204.256,721,0.3925104,283
209.4649,721,0.3841886,277
213.4905,721,0.3897365,281
218.0784,721,0.3883495,280
222.0862,721,0.3786408,273
226.5668,721,0.3633842,262
230.579,721,0.3675451,265
235.2023,721,0.3606103,260
239.1812,721,0.3550624,256
243.7941,721,0.3425798,247
246.8422,721,0.3453537,249
250.715,721,0.3550624,256
254.7084,721,0.3481276,251
256.6957,721,0.3481276,251
261.2968,721,0.3384189,244
264.2952,721,0.331484,239
268.294,721,0.3259362,235
270.565,721,0.3231623,233
273.5065,721,0.3217753,232
278.3341,721,0.3190014,230
282.2605,721,0.3051318,220
286.8625,721,0.2995839,216
290.8386,721,0.2912621,210
295.5515,721,0.2815534,203
298.5197,721,0.2815534,203
302.5405,721,0.2718447,196
306.5114,721,0.2690707,194
308.5468,721,0.260749,188
313.1923,721,0.2441054,176
316.2423,721,0.2385576,172
319.9494,721,0.2316227,167
323.9456,721,0.2288488,165
325.9472,721,0.2205271,159
330.5379,721,0.2191401,158
333.8791,721,0.2122053,153
337.6375,721,0.2246879,162
340.5999,721,0.2177531,157
343.6164,721,0.2108183,152
348.2437,721,0.2038835,147
352.1773,721,0.1997226,144
357.0116,721,0.1955617,141
360.9831,721,0.1955617,141
365.6235,721,0.1789182,129
368.9403,721,0.1803051,130
372.2917,721,0.1816921,131
376.2015,721,0.1816921,131
379.1693,721,0.1775312,128
383.7737,721,0.1733703,125
386.839,721,0.1775312,128
388.8105,721,0.1816921,131
393.4493,721,0.1872399,135
397.4585,721,0.1900139,137
401.0183,721,0.1775312,128
405.1181,721,0.1608877,116
407.1223,721,0.1733703,125
411.6589,721,0.1705964,123
415.6677,721,0.1692094,122
420.2941,721,0.1636616,118
424.2822,721,0.1733703,125
428.6376,721,0.1761442,127
432.6146,721,0.1789182,129
436.1957,721,0.1747573,126
440.173,721,0.1567268,113
442.1567,721,0.1622746,117
446.8113,721,0.1664355,120
449.8069,721,0.1636616,118
453.3166,721,0.1595007,115
457.2761,721,0.1581137,114
459.3138,721,0.1539528,111
463.8268,721,0.1414702,102
467.7479,721,0.1428571,103
471.4343,721,0.1400832,101
474.607,721,0.1331484,96
477.5353,721,0.1303745,94
482.1652,721,0.1386963,100
486.055,721,0.1359223,98
490.8782,721,0.1414702,102
494.865,721,0.147018,106
499.6058,721,0.1456311,105
503.5747,721,0.1414702,102
508.0266,721,0.148405,107
511.9529,721,0.1428571,103
516.4868,721,0.148405,107
520.5125,721,0.147018,106
525.0746,721,0.1553398,112
529.015,721,0.1359223,98
533.707,721,0.1373093,99
537.6161,721,0.1289875,93
542.2103,721,0.1262136,91
546.1218,721,0.1151179,83
551.4185,721,0.1067961,77
555.3597,721,0.1026352,74
559.9366,721,0.112344,81
562.9575,721,0.1012483,73
566.5008,721,0.1040222,75
570.4935,721,0.0998613,72
572.4484,721,0.1012483,73
576.9257,721,0.09431345,68
580.8878,721,0.09570041,69
584.628,721,0.08876561,64
588.6003,721,0.08044383,58
590.5679,721,0.08599168,62
595.1929,721,0.0776699,56
599.1523,721,0.0776699,56
603.6587,721,0.07489598,54
607.6828,721,0.06518724,47
612.2781,721,0.06241332,45
616.2374,721,0.05825243,42
620.6991,721,0.0554785,40
624.7414,721,0.05131761,37
630.0195,721,0.05963939,43
633.0016,721,0.0665742,48
637.4225,721,0.06380028,46
640.4531,721,0.05686546,41
644.2867,721,0.05825243,42
647.799,721,0.05686546,41
651.8081,721,0.06380028,46
656.4556,721,0.05963939,43
660.4648,721,0.05963939,43
664.813,721,0.06934813,50
668.7476,721,0.07073509,51
672.2378,721,0.0665742,48
675.2563,721,0.07350902,53
678.2594,721,0.0665742,48
681.7515,721,0.05963939,43
684.8163,721,0.05131761,37
688.8255,721,0.04576977,33
693.2427,721,0.04576977,33
696.1888,721,0.04854369,35
698.1897,721,0.04576977,33
702.7623,721,0.04715673,34
706.6743,721,0.03744799,27
712.0615,721,0.02357836,17
715.0347,721,0.01941748,14
719.6279,721,0.02496533,18
723.6029,721,0.02357836,17
727.2126,721,0.01941748,14
731.1892,721,0.02912621,21
735.1732,721,0.02635229,19
738.7021,721,0.02773925,20
741.7503,721,0.02357836,17
745.4033,721,0.0221914,16
749.3784,721,0.01941748,14
751.4027,721,0.01941748,14
755.9145,721,0.01803051,13
759.907,721,0.01664355,12
764.9209,721,0.009708738,7
767.9525,721,0.009708738,7
771.4662,721,0.006934813,5
775.4426,721,0.009708738,7
778.4764,721,0.008321775,6
783.0514,721,0.0110957,8
786.0884,721,0.00554785,4
789.4736,721,0.002773925,2
793.4484,721,0.002773925,2
796.5037,721,0.002773925,2
801.4706,721,0.004160888,3
805.4635,721,0.004160888,3
810.8913,721,0.001386963,1
813.9492,721,0,0
818.6073,721,0,0
822.5999,721,0,0
827.0644,721,0,0
831.0735,721,0,0
834.5206,721,0,0
837.5291,721,0,0
841.5601,721,0,0
846.7692,721,0,0
850.7783,721,0,0
855.1769,721,0,0
859.1217,721,0,0
862.6115,721,0,0
866.6372,721,0,0
869.6682,721,0,0
874.7593,721,0,0
878.7684,721,0,0
883.4211,721,0,0
886.4213,721,0,0
888.3983,721,0,0
893.6135,721,0,0
896.7851,721,0,0
902.4346,721,0,0
905.4955,721,0,0
910.4854,721,0,0
914.4945,721,0,0
922.2146,721,0,0
925.678,721,0,0
928.912,721,0,0
930.9603,721,0,0
935.8986,721,0,0
939.9064,721,0,0
944.4814,721,0,0
948.5142,721,0,0
953.3545,721,0,0
957.3799,721,0,0
961.9499,721,0,0
965.8921,721,0,0
970.912,721,0,0
973.9105,721,0,0
977.719,721,0,0
981.7282,721,0,0
983.7806,721,0,0
988.2178,721,0,0
991.2396,721,0,0
994.7744,721,0,0
998.7933,721,0,0
1000.76,721,0,0
1005.642,721,0,0
1009.684,721,0,0
1014.406,721,0,0
1018.415,721,0,0
1022.973,721,0,0
1026.002,721,0,0
1029.585,721,0,0
1033.552,721,0,0
1037.593,721,0,0
1041.081,721,0,0
1044.108,721,0,0
1047.671,721,0,0
1051.697,721,0,0
1054.746,721,0,0
1059.231,721,0,0
1063.225,721,0,0
1066.848,721,0,0
1069.897,721,0,0
1073.905,721,0,0
1078.355,721,0,0
1081.736,721,0,0
1084.921,721,0,0
1088.896,721,0,0
1091.928,721,0,0
1096.426,721,0,0
1099.507,721,0,0
1103.08,721,0,0
1106.095,721,0,0
1110.125,721,0,0
1114.438,721,0,0
1117.47,721,0,0
1121.357,721,0,0
1124.902,721,0,0
1128.877,721,0,0
1133.298,721,0,0
1136.248,721,0,0
1140.16,721,0,0
1143.739,721,0,0
1146.793,721,0,0
1150.383,721,0,0
1154.412,721,0,0
1158.302,721,0,0
1161.837,721,0,0
1165.84,721,0,0
1170.187,721,0,0
1174.18,721,0,0
1177.604,721,0,0
1181.614,721,0,0
1184.629,721,0,0
1189.312,721,0,0
1193.305,721,0,0
1197.968,721,0,0
1201.977,721,0,0
1206.587,721,0,0
1210.583,721,0,0
1215.115,721,0,0
1219.162,721,0,0
1224.086,721,0,0
1228.111,721,0,0
1233.33,721,0,0
1236.636,721,0,0
1242.113,721,0,0
1244.99,721,0,0
1251.994,721,0,0
1254.935,721,0,0
1261.211,721,0,0
1264.156,721,0,0
1269.509,721,0,0
1273.051,721,0,0
1277.05,721,0,0
1281.046,721,0,0
1285.658,721,0,0
1288.627,721,0,0
1292.631,721,0,0
1295.58,721,0,0
1298.595,721,0,0
1303.341,721,0,0
1306.356,721,0,0
1310.151,721,0,0
1313.187,721,0,0
1316.148,721,0,0
1320.847,721,0,0
1323.879,721,0,0
1327.704,721,0,0
1330.752,721,0,0
1333.833,721,0,0
1338.407,721,0,0
1342.367,721,0,0
1346.012,721,0,0
1348.945,721,0,0
1351.993,721,0,0
1356.605,721,0,0
1360.609,721,0,0
1364.472,721,0,0
1368.166,721,0,0
1370.139,721,0,0
1374.741,721,0,0
1378.721,721,0,0
1383.258,721,0,0
1387.268,721,0,0
1390.826,721,0,0
1394.77,721,0,0
1396.741,721,0,0
1401.391,721,0,0
1405.4,721,0,0
1410.059,721,0,0
1414.101,721,0,0
1418.715,721,0,0
1422.748,721,0,0
1427.285,721,0,0
1431.288,721,0,0
1434.929,721,0,0
1437.973,721,0,0
1441.021,721,0,0
1444.571,721,0,0
1448.531,721,0,0
1450.502,721,0,0
1455.177,721,0,0
1458.159,721,0,0
1461.62,721,0,0
1464.667,721,0,0
1467.664,721,0,0
1471.118,721,0,0
1475.127,721,0,0
1478.109,721,0,0
1482.476,721,0,0
1486.485,721,0,0
1489.832,721,0,0
1493.803,721,0,0
1496.802,721,0,0
1501.225,721,0,0
1505.308,721,0,0
1508.654,721,0,0
1512.64,721,0,0
1515.678,721,0,0
1520.123,721,0,0
1524.099,721,0,0
1527.699,721,0,0
1531.707,721,0,0
1533.712,721,0,0
1538.372,721,0,0
1542.43,721,0,0
1547.147,721,0,0
1551.117,721,0,0
1552.074,721,0,0
1557.469,721,0,0
1560.512,721,0,0
1565.019,721,0,0
1568.018,721,0,0
1571.993,721,0,0
1574.544,721,0,0
1577.559,721,0,0
1579.597,721,0,0
1584.198,721,0,0
1588.201,721,0,0
1591.795,721,0,0
1594.831,721,0,0
1597.894,721,0,0
1602.413,721,0,0
1606.383,721,0,0
1610.014,721,0,0
1613.083,721,0,0
1617.115,721,0,0
1621.631,721,0,0
1625.623,721,0,0
1629.044,721,0,0
1633.02,721,0,0
1636.079,721,0,0
1640.588,721,0,0
1643.637,721,0,0
1645.624,721,0,0
1650.601,721,0,0
