TimePassed,CellCount,ProducerFrequency,ProducerCount
0,721,0.5214979,376
1.010622,721,0.5214979,376
12.3737,721,0.5242718,378
13.36783,721,0.5284327,381
19.42227,721,0.5298197,382
22.50721,721,0.5339806,385
26.53784,721,0.5381415,388
30.31375,721,0.5450763,393
34.00817,721,0.5381415,388
35.97953,721,0.5395284,389
42.26948,721,0.5395284,389
44.93705,721,0.5423024,391
49.11346,721,0.5436893,392
52.12855,721,0.5409154,390
57.75888,721,0.5506241,397
60.82886,721,0.5492372,396
64.15208,721,0.5409154,390
68.12871,721,0.5520111,398
73.52097,721,0.5506241,397
76.13737,721,0.5603329,404
79.99128,721,0.5644938,407
83.93701,721,0.5672677,409
89.47556,721,0.5603329,404
92.45815,721,0.5533981,399
98.10564,721,0.5492372,396
100.0771,721,0.5436893,392
105.3783,721,0.5423024,391
108.393,721,0.5492372,396
113.6285,721,0.5450763,393
116.6921,721,0.5395284,389
122.179,721,0.5367545,387
124.4139,721,0.5242718,378
129.3762,721,0.5159501,372
132.353,721,0.5145631,371
137.7296,721,0.5145631,371
141.5021,721,0.5284327,381
145.3879,721,0.520111,375
148.2706,721,0.5325936,384
152.8173,721,0.5312067,383
156.8214,721,0.5381415,388
157.7989,721,0.5409154,390
163.5986,721,0.5423024,391
166.4812,721,0.556172,401
171.8278,721,0.556172,401
174.8313,721,0.5603329,404
180.6522,721,0.5492372,396
183.4709,721,0.5381415,388
188.7256,721,0.5520111,398
191.8396,721,0.5423024,391
197.0061,721,0.5367545,387
200.0625,721,0.5325936,384
206.2857,721,0.5367545,387
208.2901,721,0.5464633,394
213.3062,721,0.5533981,399
216.3055,721,0.5436893,392
221.8896,721,0.5631068,406
224.9277,721,0.5533981,399
230.7137,721,0.5533981,399
232.6832,721,0.5533981,399
237.4503,721,0.5256588,379
240.5702,721,0.5104022,368
246.1429,721,0.5145631,371
248.9875,721,0.5076283,366
254.2506,721,0.4909847,354
256.4213,721,0.4854369,350
261.5898,721,0.4632455,334
264.6691,721,0.4715673,340
269.3687,721,0.4701803,339
273.3441,721,0.4646325,335
279.058,721,0.4701803,339
281.8212,721,0.4604716,332
285.5169,721,0.4715673,340
288.5521,721,0.4771151,344
289.4964,721,0.4771151,344
295.0742,721,0.4757282,343
298.0948,721,0.4868239,351
303.5576,721,0.4882108,352
307.2923,721,0.4757282,343
310.8719,721,0.4743412,342
314.917,721,0.4729542,341
320.2971,721,0.481276,347
323.2899,721,0.4701803,339
328.8049,721,0.4590846,331
332.3904,721,0.4785021,345
336.2109,721,0.4729542,341
339.1849,721,0.4771151,344
340.218,721,0.481276,347
345.5312,721,0.4840499,349
348.4761,721,0.479889,346
353.9508,721,0.4771151,344
357.5935,721,0.481276,347
361.3539,721,0.479889,346
365.3185,721,0.4743412,342
370.9002,721,0.4549237,328
373.9507,721,0.4563107,329
379.2096,721,0.4396671,317
382.9083,721,0.4396671,317
386.8357,721,0.4327323,312
389.7062,721,0.4036061,291
394.6179,721,0.3869626,279
397.705,721,0.3925104,283
402.9998,721,0.3814147,275
405.9434,721,0.3966713,286
411.5954,721,0.3938974,284
414.643,721,0.3828017,276
420.2426,721,0.3855756,278
423.1477,721,0.4105409,296
428.5051,721,0.3952843,285
431.4705,721,0.4022191,290
437.8228,721,0.3869626,279
439.8611,721,0.3800277,274
445.0233,721,0.3897365,281
448.9614,721,0.3980583,287
454.5356,721,0.4049931,292
457.6544,721,0.4049931,292
463.0035,721,0.4049931,292
465.0246,721,0.4008322,289
470.132,721,0.4008322,289
473.0154,721,0.4091539,295
478.7324,721,0.4105409,296
481.7496,721,0.4174757,301
487.3882,721,0.4160888,300
490.1317,721,0.4147018,299
493.8893,721,0.443828,320
496.8879,721,0.4549237,328
497.9191,721,0.443828,320
503.2471,721,0.4368932,315
