BoardSize,MutationRate,TypeOfStartEnvironment,FitnessTimeStep,CostToLive,FitnessRepThreshold,DirectFitnessTimer,DirectFitnessRange,DirectFitnessBenefit,DirectFitnessCost,DirectFitnessbcRatio,DirectFitnessExploitability,DoDirectFitness,ColorSecretionCostPerTimeStep,DoColorSecretion,ColorMetabolismTimeStep,ColorUptakeG,ColorFitnessPerUnitG,DoColorMetabolism,TimeTaken,CellID,HighestProducerCount,LowestProducerCount,TimeAtHighestProdCount,TimeAtLowestProdCount,HighestProducerCountAfterStable,LowestProducerCountAfterStable,TimeAtHighestProdCountAfterStable,TimeAtLowestProdCountAfterStable,CellCountmean,CellCountvariance,CellCountmeanPast1500,CellCountvariancePast1500,ProducerFrequencymean,ProducerFrequencyvariance,ProducerFrequencymeanPast1500,ProducerFrequencyvariancePast1500,ProducerCountmean,ProducerCountvariance,ProducerCountmeanPast1500,ProducerCountvariancePast1500
30,0,HalfAndHalf,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.1,True,1,10000,0.0001,True,3000.076,1502290,1510,171,200.7873,2656.536,606,171,1676.384,2656.536,2791,0,2791,0,0.2375631,0.02016989,0.1370608,0.001518127,663.0388,157117,382.5365,11825.73
30,0,HalfAndHalf,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.1,True,1,10000,0.0001,True,3001.556,1473563,1512,224,79.26608,2977.865,651,224,1676.084,2977.865,2791,0,2791,0,0.226221,0.01633225,0.157977,0.0007558609,631.3832,127222.9,440.9138,5887.916
30,0,HalfAndHalf,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.1,True,1,10000,0.0001,True,3000.092,1555074,1519,167,109.5157,2594.239,644,167,1947.803,2594.239,2791,0,2791,0,0.237137,0.01930156,0.1268046,0.0018314,661.8494,150353.1,353.9118,14266.03
30,0,HalfAndHalf,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.1,True,1,10000,0.0001,True,3000.521,1449897,1471,102,85.77543,2631.985,482,102,1617.708,2631.985,2791,0,2791,0,0.2100701,0.01877275,0.1121654,0.0008068717,586.3058,146233.7,313.0538,6285.267
30,0,HalfAndHalf,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.1,True,1,10000,0.0001,True,3000.439,1601173,1497,326,97.05511,2147.437,600,326,2345.621,2147.437,2791,0,2791,0,0.2441009,0.01784821,0.1568251,0.0002535717,681.2852,139031.8,437.6986,1975.243
30,0,HalfAndHalf,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.1,True,1,10000,0.0001,True,3000.487,1460001,1452,152,65.27647,2201.509,474,152,1900.604,2201.509,2791,0,2791,0,0.2128025,0.01680301,0.1139962,0.0006838506,593.9323,130890,318.1635,5326.978
30,0,HalfAndHalf,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.1,True,1,10000,0.0001,True,3000.9,1424863,1463,4,123.2243,2769.792,642,4,1586.848,2769.792,2791,0,2791,0,0.2083546,0.02158727,0.09926175,0.004784185,581.5178,168157.9,277.0397,37267.29
30,0,HalfAndHalf,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.1,True,1,10000,0.0001,True,3000.016,1322274,1457,28,106.4257,2520.434,491,28,2047.541,2520.434,2791,0,2791,0,0.1859059,0.02068716,0.09386612,0.00185136,518.8635,161146.8,261.9802,14421.5
30,0,HalfAndHalf,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.1,True,1,10000,0.0001,True,3000.269,1436944,1448,190,37.49,2470.59,527,190,1501.694,2470.59,2791,0,2791,0,0.1949875,0.01375517,0.1288868,0.000677757,544.2101,107148.5,359.7231,5279.506
30,0,HalfAndHalf,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.1,True,1,10000,0.0001,True,3000.791,1348009,1531,0,243.9319,2452.76,433,0,2021.406,2452.76,2791,0,2791,0,0.1916686,0.03199358,0.05444612,0.00250332,534.9469,249220.4,151.959,19500.05

