BoardSize,MutationRate,TypeOfStartEnvironment,FitnessTimeStep,CostToLive,FitnessRepThreshold,DirectFitnessTimer,DirectFitnessRange,DirectFitnessBenefit,DirectFitnessCost,DirectFitnessbcRatio,DirectFitnessExploitability,DoDirectFitness,DiffusionTimeStep,DiffusionConstG,DiffusionCutOff,DoDiffusion,ColorSecretionTimeStep,ColorSecreted,AmountColorSecreted,ColorSecretionCostPerTimeStep,DoColorSecretion,ColorMetabolismTimeStep,ColorMetNoUptake,ColorUptakeG,ColorUptakeB,ColorUptakeR,ColorFitnessPerUnitG,ColorFitnessPerUnitB,DoColorMetabolism,ColorFitnessPerUnitR,DoBiofilm,ExploitersDoBiofilms,BiofilmRange,BiofilmViscosity,BiofilmCost,BiofilmUptakeMultR,DoFlow,FlowOutOfBoard,FlowTimeStep,FlowProportionalToAmount,FlowAmountPerTimeStep,DoDegradation,DegradationReducedByBiofilm,DegradationTimeStep,DegradationProportional,DegradationAmountPerTimeStep,TimeTaken,CellID,HighestProducerCount,LowestProducerCount,TimeAtHighestProdCount,TimeAtLowestProdCount,HighestProducerCountAfterStable,LowestProducerCountAfterStable,TimeAtHighestProdCountAfterStable,TimeAtLowestProdCountAfterStable,CellCountmean,CellCountvariance,CellCountmeanPast1000,CellCountvariancePast1000,ProducerFrequencymean,ProducerFrequencyvariance,ProducerFrequencymeanPast1000,ProducerFrequencyvariancePast1000,ProducerCountmean,ProducerCountvariance,ProducerCountmeanPast1000,ProducerCountvariancePast1000
15,0,HalfAndHalf,1,-0.1,1,5,1,1.7,0.1,17,1,False,0.5,0.15,1,True,1,Blue,5000,0.15,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,False,True,1,10,0,0.01,False,True,1,True,0.7,True,False,2,True,0.5,3000.213,201097,397,0,58.12101,941.6332,0,9999,0,0,721,0,721,0,0.07100416,0.02083817,0,0,51.19399,10832.83,0,0
15,0,HalfAndHalf,1,-0.1,1,5,1,1.7,0.1,17,1,False,0.5,0.15,1,True,1,Blue,5000,0.15,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,False,True,1,10,0,0.01,False,True,1,True,0.7,True,False,2,True,0.5,3000.935,172884,397,0,74.28629,433.3183,0,9999,0,0,721,0,721,0,0.04575596,0.01823405,0,0,32.99005,9479.071,0,0
15,0,HalfAndHalf,1,-0.1,1,5,1,1.7,0.1,17,1,False,0.5,0.15,1,True,1,Blue,5000,0.15,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,False,True,1,10,0,0.01,False,True,1,True,0.7,True,False,2,True,0.5,3000.212,175300,378,0,11.25285,615.0671,0,9999,0,0,721,0,721,0,0.04356148,0.01223615,0,0,31.40783,6360.803,0,0
15,0,HalfAndHalf,1,-0.1,1,5,1,1.7,0.1,17,1,False,0.5,0.15,1,True,1,Blue,5000,0.15,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,False,True,1,10,0,0.01,False,True,1,True,0.7,True,False,2,True,0.5,3000.646,191473,397,0,46.40752,1113.241,19,0,1038.92,1113.241,721,0,721,0,0.06442028,0.01808909,0.0005111262,6.488178E-06,46.44703,9403.423,0.3685221,3.372881
15,0,HalfAndHalf,1,-0.1,1,5,1,1.7,0.1,17,1,False,0.5,0.15,1,True,1,Blue,5000,0.15,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,False,True,1,10,0,0.01,False,True,1,True,0.7,True,False,2,True,0.5,3000.104,189582,406,0,67.70586,1084.003,30,0,1000.333,1084.003,721,0,721,0,0.06723241,0.02001549,0.0007444149,1.743265E-05,48.47456,10404.94,0.5367231,9.062224
15,0,HalfAndHalf,1,-0.1,1,5,1,1.7,0.1,17,1,False,0.5,0.15,1,True,1,Blue,5000,0.15,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,False,True,1,10,0,0.01,False,True,1,True,0.7,True,False,2,True,0.5,3000.943,188508,392,0,50.58517,690.7594,0,9999,0,0,721,0,721,0,0.06360904,0.0191871,0,0,45.86211,9974.235,0,0
15,0,HalfAndHalf,1,-0.1,1,5,1,1.7,0.1,17,1,False,0.5,0.15,1,True,1,Blue,5000,0.15,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,False,True,1,10,0,0.01,False,True,1,True,0.7,True,False,2,True,0.5,3000.424,180551,385,0,36.63324,933.9131,0,9999,0,0,721,0,721,0,0.0505003,0.01400399,0,0,36.41071,7279.737,0,0
15,0,HalfAndHalf,1,-0.1,1,5,1,1.7,0.1,17,1,False,0.5,0.15,1,True,1,Blue,5000,0.15,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,False,True,1,10,0,0.01,False,True,1,True,0.7,True,False,2,True,0.5,3000.897,176144,390,0,33.27284,670.162,0,9999,0,0,721,0,721,0,0.05355413,0.01744151,0,0,38.61253,9067.009,0,0
15,0,HalfAndHalf,1,-0.1,1,5,1,1.7,0.1,17,1,False,0.5,0.15,1,True,1,Blue,5000,0.15,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,False,True,1,10,0,0.01,False,True,1,True,0.7,True,False,2,True,0.5,3000.64,183383,396,0,86.48484,649.7328,0,9999,0,0,721,0,721,0,0.05886145,0.02023869,0,0,42.43909,10520.83,0,0
15,0,HalfAndHalf,1,-0.1,1,5,1,1.7,0.1,17,1,False,0.5,0.15,1,True,1,Blue,5000,0.15,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,False,True,1,10,0,0.01,False,True,1,True,0.7,True,False,2,True,0.5,3000.068,191756,437,0,186.2851,753.6392,0,9999,0,0,721,0,721,0,0.08477676,0.03211606,0,0,61.12403,16695.22,0,0
