TimePassed,CellCount,ProducerFrequency,ProducerCount
0,721,0.5214979,376
0.982696,721,0.5214979,376
14.78252,721,0.5242718,378
15.748,721,0.5270458,380
21.13774,721,0.5228849,377
24.13619,721,0.5270458,380
32.26043,721,0.5228849,377
37.06285,721,0.5284327,381
40.1954,721,0.5325936,384
44.58229,721,0.5228849,377
48.5714,721,0.5242718,378
53.59049,721,0.5423024,391
56.30605,721,0.5436893,392
60.00096,721,0.5520111,398
63.02446,721,0.5492372,396
67.70586,721,0.5589459,403
71.6603,721,0.554785,400
77.05723,721,0.5423024,391
80.51313,721,0.5450763,393
83.19699,721,0.556172,401
86.9238,721,0.5520111,398
90.0225,721,0.5450763,393
93.99499,721,0.5381415,388
96.91376,721,0.5339806,385
98.91876,721,0.5381415,388
103.4699,721,0.5436893,392
106.6112,721,0.5409154,390
111.3018,721,0.5312067,383
114.1953,721,0.5353675,386
119.487,721,0.5270458,380
121.3202,721,0.5256588,379
126.2694,721,0.518724,374
129.2988,721,0.5090153,367
134.2135,721,0.5076283,366
137.2141,721,0.5034674,363
142.0607,721,0.4993065,360
144.9789,721,0.4840499,349
149.7738,721,0.4771151,344
154.1481,721,0.4771151,344
157.4623,721,0.4687933,338
159.4217,721,0.4687933,338
164.0151,721,0.4785021,345
167.2757,721,0.4771151,344
170.897,721,0.4771151,344
175.7484,721,0.4660194,336
178.5942,721,0.4618585,333
184.0658,721,0.443828,320
186.1074,721,0.4327323,312
190.961,721,0.4036061,291
193.9278,721,0.3938974,284
198.6146,721,0.3897365,281
201.4981,721,0.4008322,289
206.2214,721,0.40638,293
209.3142,721,0.407767,294
214.7574,721,0.4160888,300
216.7321,721,0.4285714,309
221.4185,721,0.4174757,301
224.4756,721,0.4244106,306
229.4212,721,0.4091539,295
232.6248,721,0.40638,293
237.3644,721,0.4049931,292
240.3298,721,0.3911234,282
247.8654,721,0.3855756,278
251.239,721,0.368932,266
253.1177,721,0.368932,266
258.0879,721,0.3481276,251
261.0627,721,0.3522885,254
265.7548,721,0.3522885,254
268.8146,721,0.3467406,250
273.8066,721,0.3398058,245
277.4679,721,0.3287101,237
281.2453,721,0.3245492,234
284.2291,721,0.3176144,229
288.9987,721,0.3106796,224
291.9651,721,0.3023578,218
296.6292,721,0.2787795,201
299.6882,721,0.29681,214
304.5362,721,0.2995839,216
307.684,721,0.2940361,212
313.1698,721,0.2995839,216
315.0088,721,0.3009709,217
319.8641,721,0.2843273,205
323.8256,721,0.2690707,194
329.171,721,0.2690707,194
332.0646,721,0.2635229,190
336.8747,721,0.2649098,191
339.8994,721,0.2649098,191
345.3059,721,0.2552011,184
348.2082,721,0.2385576,172
353.0771,721,0.2163662,156
357.0651,721,0.2094314,151
361.9588,721,0.2163662,156
365.9925,721,0.2149792,155
370.8599,721,0.2122053,153
373.8904,721,0.2122053,153
377.9494,721,0.1997226,144
381.6693,721,0.1941748,140
383.1768,721,0.1969487,142
388.1413,721,0.1803051,130
391.211,721,0.184466,133
395.2098,721,0.184466,133
398.1916,721,0.1705964,123
401.2224,721,0.1622746,117
406.2242,721,0.1525659,110
409.2397,721,0.147018,106
413.06,721,0.1373093,99
416.4014,721,0.1276006,92
419.3661,721,0.1456311,105
425.1066,721,0.149792,108
