TimePassed,CellCount,ProducerFrequency,ProducerCount
0,35,0.5428572,19
2.961511,35,0.5428572,19
6.504445,44,0.6363636,28
9.34502,51,0.6862745,35
12.41302,63,0.6984127,44
15.4582,71,0.7323943,52
18.68917,84,0.7619048,64
21.73771,102,0.7745098,79
24.8357,125,0.792,99
28.4888,139,0.7913669,110
30.96441,160,0.8125,130
34.03901,177,0.8248588,146
37.4832,197,0.8274112,163
40.51459,213,0.8356807,178
43.61253,235,0.8382978,197
47.1741,255,0.8392157,214
50.61586,281,0.8469751,238
53.71365,303,0.8481848,257
58.11222,340,0.8470588,288
61.19374,363,0.8484849,308
65.11037,389,0.8483291,330
67.68746,403,0.8461539,341
70.75263,431,0.8445476,364
73.83783,456,0.8464912,386
76.91536,484,0.8450413,409
79.99673,508,0.8484252,431
83.09468,532,0.8458647,450
86.14332,552,0.8478261,468
89.22472,576,0.84375,486
92.37215,595,0.8436975,502
96.38992,615,0.8422764,518
100.7299,633,0.8436019,534
105.3164,648,0.8425926,546
108.3428,664,0.8403614,558
112.0313,677,0.844904,572
115.0056,687,0.8515284,585
118.1729,693,0.8556998,593
122.766,705,0.8595745,606
127.2453,712,0.8581461,611
130.6,715,0.8531469,610
134.4111,719,0.8609179,619
137.8144,720,0.8611111,620
140.9003,720,0.8569444,617
144.0495,721,0.8654646,624
147.1409,721,0.8599168,620
151.0973,721,0.8557559,617
154.3489,721,0.8557559,617
158.6151,721,0.8668516,625
161.2553,721,0.8668516,625
165.7473,721,0.8848821,638
168.4485,721,0.8821082,636
173.2868,721,0.8765603,632
177.3391,721,0.8765603,632
181.188,721,0.8751734,631
184.8188,721,0.8779473,633
188.168,721,0.8682386,626
192.3286,721,0.8668516,625
195.3042,721,0.8654646,624
198.6772,721,0.8599168,620
202.5137,721,0.8488211,612
206.3454,721,0.8460472,610
209.9429,721,0.8446602,609
214.4262,721,0.8543689,616
217.5291,721,0.8626907,622
221.9331,721,0.8640777,623
225.5108,721,0.8557559,617
229.9474,721,0.8626907,622
233.0147,721,0.851595,614
237.5202,721,0.8474341,611
241.177,721,0.8432732,608
244.9701,721,0.8557559,617
248.1386,721,0.8599168,620
251.5336,721,0.8668516,625
255.1834,721,0.8613037,621
259.5976,721,0.8543689,616
262.7145,721,0.8585298,619
266.5039,721,0.8668516,625
269.419,721,0.8723994,629
272.5408,721,0.8696255,627
277.0115,721,0.8793343,634
280.1041,721,0.8779473,633
284.7124,721,0.8862691,639
286.7554,721,0.8945909,645
291.5002,721,0.8945909,645
294.5332,721,0.9056866,653
299.1869,721,0.9098474,656
302.299,721,0.9001387,649
306.9379,721,0.9056866,653
309.9023,721,0.9001387,649
314.8898,721,0.9029126,651
318.8785,721,0.8987517,648
322.5122,721,0.8959778,646
325.6598,721,0.8945909,645
329.6272,721,0.8932039,644
332.8585,721,0.8959778,646
337.2813,721,0.8862691,639
340.2772,721,0.8862691,639
344.9448,721,0.8765603,632
348.2476,721,0.8834952,637
352.8698,721,0.8793343,634
356.0151,721,0.8834952,637
360.393,721,0.8668516,625
363.5327,721,0.8696255,627
368.1212,721,0.8613037,621
371.1252,721,0.8751734,631
375.5321,721,0.8751734,631
379.3196,721,0.8682386,626
383.0385,721,0.8626907,622
386.1363,721,0.851595,614
390.792,721,0.8460472,610
393.9517,721,0.8640777,623
398.2706,721,0.8571429,618
402.0423,721,0.8668516,625
406.1981,721,0.8807212,635
408.2979,721,0.8765603,632
413.2881,721,0.8848821,638
416.3223,721,0.8821082,636
419.4875,721,0.8848821,638
