TimePassed,CellCount,ProducerFrequency,ProducerCount
0,35,0.4571429,16
2.103505,35,0.4571429,16
6.185312,42,0.547619,23
8.654558,46,0.5869565,27
12.7662,59,0.5932204,35
16.57446,69,0.6086956,42
19.93002,80,0.6375,51
22.96174,88,0.6704546,59
26.0775,100,0.69,69
29.4777,111,0.7117117,79
32.58152,126,0.7301587,92
35.65819,139,0.7410072,103
39.01179,155,0.7612903,118
42.04491,181,0.7734807,140
45.15841,216,0.787037,170
48.58829,247,0.7975708,197
51.65021,270,0.7962963,215
54.76552,294,0.7993197,235
58.43919,314,0.7929936,249
61.59253,332,0.8072289,268
64.69135,358,0.8240224,295
69.37846,374,0.8449198,316
72.42348,396,0.8510101,337
76.27763,413,0.8595642,355
78.6834,424,0.875,371
81.74803,442,0.8846154,391
85.49178,466,0.888412,414
88.55637,491,0.8961303,440
91.6968,507,0.8796844,446
96.7488,544,0.8786765,478
99.81416,565,0.879646,497
104.7404,585,0.8837607,517
107.8832,601,0.8801997,529
113.2735,618,0.8851132,547
115.3329,628,0.888535,558
120.0958,637,0.8854003,564
123.1633,640,0.896875,574
127.9377,652,0.8834356,576
130.0351,658,0.8753799,576
134.7165,666,0.8753754,583
139.4991,678,0.8584071,582
142.0115,687,0.8588064,590
144.0956,690,0.8536232,589
148.873,701,0.850214,596
150.8422,705,0.8269504,583
155.8273,709,0.8236954,584
157.9128,709,0.8152327,578
162.2807,714,0.8123249,580
164.2511,715,0.8195804,586
168.9772,717,0.8284519,594
172.073,719,0.8191933,589
176.7413,720,0.8152778,587
179.8091,720,0.8208333,591
183.5351,721,0.8196949,591
186.8618,721,0.8210818,592
191.7594,721,0.8169209,589
193.811,721,0.8127601,586
198.5564,721,0.7822469,564
200.5058,721,0.7697642,555
205.1598,721,0.7475728,539
207.224,721,0.7378641,532
211.8454,721,0.7475728,539
213.8648,721,0.739251,533
218.6764,721,0.7212206,520
220.7375,721,0.7350901,530
225.5274,721,0.7212206,520
227.5213,721,0.7115118,513
232.106,721,0.7198336,519
235.2618,721,0.7059639,509
240.2996,721,0.6990291,504
243.3596,721,0.6837726,493
