TimePassed,CellCount,ProducerFrequency,ProducerCount
0,38,0.5,19
2.921878,43,0.5581396,24
6.018591,51,0.627451,32
8.91941,63,0.6984127,44
12.97658,90,0.7333333,66
16.04142,113,0.7787611,88
18.09563,127,0.7952756,101
22.69815,171,0.8304093,142
25.79481,208,0.8509616,177
29.01244,247,0.8623482,213
32.07202,292,0.8732877,255
35.11615,337,0.8931751,301
38.50365,378,0.8994709,340
41.56852,417,0.8992805,375
44.63336,453,0.9116998,413
48.31591,487,0.9240246,450
51.31448,529,0.9168242,485
54.46354,552,0.9130435,504
59.17665,587,0.9097104,534
62.46026,607,0.9011532,547
66.9922,627,0.9027113,566
70.15985,651,0.9078341,591
74.74867,669,0.9118087,610
77.85822,679,0.9145803,621
82.45823,689,0.9143686,630
86.41163,698,0.9126074,637
90.15117,707,0.9024045,638
93.69353,712,0.8960674,638
96.67041,714,0.8935574,638
100.1727,714,0.8921568,637
103.1519,715,0.8797203,629
106.6394,717,0.8661088,621
109.6699,718,0.8662953,622
114.0389,719,0.8623087,620
117.2132,721,0.8460472,610
121.6616,721,0.8599168,620
125.5154,721,0.8543689,616
129.1563,721,0.851595,614
132.6117,721,0.8377254,604
136.7309,721,0.8252427,595
141.2179,721,0.8127601,586
145.1678,721,0.8113731,585
148.7557,721,0.8072122,582
152.0143,721,0.8210818,592
156.028,721,0.8280166,597
159.7973,721,0.8404993,606
162.4543,721,0.8460472,610
165.5793,721,0.8446602,609
170.047,721,0.8474341,611
174.0593,721,0.8377254,604
176.6999,721,0.8266297,596
179.8809,721,0.8113731,585
183.9305,721,0.814147,587
187.2992,721,0.8016644,578
191.3676,721,0.8085992,583
194.5519,721,0.8085992,583
197.5309,721,0.8099861,584
200.5546,721,0.8072122,582
205.2014,721,0.8085992,583
208.2449,721,0.815534,588
211.7134,721,0.8127601,586
214.8931,721,0.8321775,600
219.3768,721,0.8571429,618
221.381,721,0.8640777,623
225.9811,721,0.8488211,612
229.2179,721,0.852982,615
232.203,721,0.8640777,623
235.2992,721,0.8654646,624
239.715,721,0.8585298,619
243.7128,721,0.8668516,625
246.3717,721,0.8765603,632
249.5154,721,0.8862691,639
253.5568,721,0.8654646,624
256.7341,721,0.851595,614
260.7248,721,0.8557559,617
264.4469,721,0.850208,613
267.1833,721,0.8585298,619
270.3999,721,0.852982,615
274.6638,721,0.850208,613
278.586,721,0.8543689,616
282.2312,721,0.851595,614
285.799,721,0.8363384,603
289.3594,721,0.814147,587
292.5112,721,0.8196949,591
295.5652,721,0.8266297,596
299.4891,721,0.8252427,595
303.0357,721,0.8016644,578
306.1683,721,0.7961165,574
310.4509,721,0.7933426,572
313.6993,721,0.7947295,573
316.7528,721,0.8002774,577
319.7248,721,0.8002774,577
324.2662,721,0.8016644,578
327.4231,721,0.7961165,574
331.7402,721,0.8099861,584
334.8952,721,0.8169209,589
339.3327,721,0.8002774,577
342.7168,721,0.8099861,584
346.9693,721,0.8016644,578
350.1326,721,0.7947295,573
354.8325,721,0.8321775,600
357.9115,721,0.8238558,594
362.4033,721,0.8349515,602
364.4059,721,0.8307906,599
369.296,721,0.8404993,606
372.3582,721,0.8474341,611
375.3884,721,0.8446602,609
378.4899,721,0.8668516,625
383.0525,721,0.8557559,617
386.821,721,0.8307906,599
389.3897,721,0.8252427,595
393.6567,721,0.8363384,603
396.7213,721,0.8418863,607
399.9319,721,0.8640777,623
403.8886,721,0.8543689,616
406.9752,721,0.8460472,610
411.0049,721,0.8321775,600
414.0653,721,0.8377254,604
418.519,721,0.8418863,607
421.6518,721,0.8654646,624
426.101,721,0.850208,613
429.1495,721,0.852982,615
433.6714,721,0.8613037,621
436.7706,721,0.8723994,629
440.0817,721,0.8751734,631
443.9764,721,0.8779473,633
448.3278,721,0.889043,641
451.8123,721,0.8834952,637
455.7746,721,0.8751734,631
460.3356,721,0.9029126,651
462.3729,721,0.8918169,643
467.2222,721,0.8918169,643
470.3978,721,0.8987517,648
474.3855,721,0.889043,641
477.5804,721,0.8862691,639
480.6354,721,0.8918169,643
483.6947,721,0.8932039,644
488.0023,721,0.8848821,638
492.0373,721,0.8973648,647
495.7252,721,0.8959778,646
