TimePassed,CellCount,ProducerFrequency,ProducerCount
0,38,0.5,19
1.541312,38,0.5,19
10.17764,48,0.6041667,29
12.90441,52,0.6346154,33
16.12737,57,0.6666667,38
19.17561,70,0.6714286,47
22.24047,89,0.6966292,62
25.5302,101,0.7227723,73
28.59044,112,0.7321429,82
31.86552,124,0.7177419,89
32.86854,134,0.7388059,99
38.55991,145,0.7448276,108
40.66614,160,0.74375,119
45.24392,185,0.772973,143
48.3571,208,0.7692308,160
51.37323,225,0.7688889,173
54.45467,239,0.7656904,183
57.549,258,0.7713178,199
60.63536,276,0.7717391,213
64.06637,292,0.7671233,224
68.27268,318,0.7767296,247
71.8094,329,0.7841945,258
74.87424,348,0.7643678,266
77.93929,365,0.7780822,284
82.58945,383,0.7859008,301
85.65429,400,0.7675,307
89.36251,414,0.7415459,307
92.40382,421,0.7410926,312
96.04814,431,0.7354988,317
100.2148,451,0.7427938,335
103.6273,459,0.7363834,338
106.6853,471,0.7367303,347
109.7665,482,0.7427386,358
114.609,496,0.7459677,370
118.3374,509,0.7367387,375
122.2474,519,0.7244701,376
125.4487,529,0.7126654,377
129.0618,545,0.6990826,381
132.1927,557,0.7001795,390
135.2734,562,0.7046263,396
139.8499,576,0.7083333,408
143.0796,581,0.7263339,422
146.814,593,0.7268128,431
149.8234,603,0.7197347,434
152.9281,613,0.7128875,437
157.4563,626,0.7028754,440
160.7425,633,0.6935229,439
165.4819,643,0.6827372,439
171.6605,651,0.6620584,431
174.9483,657,0.6560122,431
179.3143,666,0.6591592,439
181.6603,668,0.6586826,440
185.9044,675,0.6562963,443
189.0469,680,0.6602941,449
192.7557,687,0.6724891,462
195.884,690,0.6695652,462
199.6194,697,0.6700143,467
203.4747,704,0.6590909,464
206.4427,706,0.6558074,463
210.2978,708,0.6596045,467
214.3203,710,0.6507042,462
218.2819,711,0.6483825,461
221.13,711,0.6272855,446
225.2565,713,0.6241234,445
228.6977,714,0.5980392,427
231.7816,714,0.5826331,416
236.5842,716,0.5670391,406
239.6397,717,0.55788,400
244.7184,717,0.553696,397
247.6268,718,0.5654596,406
251.4311,718,0.5598886,402
254.4778,720,0.5625,405
257.5101,720,0.575,414
262.2251,720,0.5944445,428
265.3121,720,0.6055555,436
269.1585,720,0.5958334,429
272.8965,720,0.6027778,434
274.9951,720,0.6152778,443
280.3437,720,0.6083333,438
283.4061,720,0.5986111,431
288.1739,720,0.5902778,425
291.3287,720,0.5875,423
296.0269,721,0.592233,427
299.0974,721,0.5852982,422
302.7879,721,0.5742025,414
305.7844,721,0.5742025,414
308.8492,721,0.5825243,420
313.666,721,0.5825243,420
314.6107,721,0.5783634,417
321.1677,721,0.5811373,419
324.3373,721,0.5742025,414
327.2959,721,0.5755895,415
331.3998,721,0.5950069,429
334.9137,721,0.5963939,430
338.0219,721,0.6019418,434
342.6626,721,0.5977809,431
345.8145,721,0.6061026,437
349.3869,721,0.6185853,446
352.4497,721,0.6338419,457
355.688,721,0.6269071,452
360.4364,721,0.6061026,437
363.501,721,0.6005548,433
367.0239,721,0.5839112,421
369.5636,721,0.5714286,412
372.5604,721,0.5728155,413
377.0867,721,0.5658807,408
380.1939,721,0.5631068,406
384.1498,721,0.5728155,413
387.1826,721,0.5742025,414
390.1509,721,0.5658807,408
395.4385,721,0.5742025,414
398.5856,721,0.5644938,407
403.309,721,0.5312067,383
406.4621,721,0.517337,373
