TimePassed,CellCount,ProducerFrequency,ProducerCount
0,38,0.5,19
2.668086,38,0.5,19
6.154962,57,0.5263158,30
10.73574,80,0.5875,47
13.78028,95,0.5894737,56
17.70849,113,0.6106195,69
20.30174,135,0.637037,86
23.37625,159,0.6540881,104
25.40459,176,0.6704546,118
30.52665,215,0.6790698,146
33.60351,249,0.6827309,170
37.23712,278,0.7086331,197
40.30779,308,0.7142857,220
43.38338,354,0.7457627,264
48.14898,387,0.7571059,293
51.21381,418,0.7679426,321
55.07021,448,0.7790179,349
58.11346,478,0.7803347,373
61.1891,498,0.7771084,387
66.57753,539,0.7884972,425
69.72373,565,0.7982301,451
74.78937,601,0.7986689,480
77.96945,630,0.7984127,503
82.82086,662,0.8021148,531
86.06506,680,0.8191177,557
90.77804,700,0.8157143,571
92.86757,708,0.8163842,578
97.98328,716,0.8351955,598
101.8922,718,0.8551532,614
104.9047,719,0.852573,613
108.7348,720,0.8458334,609
111.7315,721,0.8460472,610
115.7061,721,0.8626907,622
118.7507,721,0.8640777,623
122.4417,721,0.8654646,624
125.6467,721,0.8862691,639
130.2553,721,0.8613037,621
132.2255,721,0.8543689,616
136.9869,721,0.851595,614
139.0682,721,0.852982,615
143.7833,721,0.8626907,622
145.8106,721,0.8599168,620
150.5452,721,0.8613037,621
154.1718,721,0.8807212,635
157.1644,721,0.889043,641
160.991,721,0.8973648,647
164.0052,721,0.9112344,657
167.6776,721,0.9098474,656
170.7907,721,0.9181692,662
174.5434,721,0.9306518,671
177.0877,721,0.9306518,671
180.7766,721,0.927878,669
183.8109,721,0.9223301,665
187.5692,721,0.9403606,678
190.6264,721,0.9389737,677
194.3311,721,0.9431345,680
197.4352,721,0.9445215,681
201.0549,721,0.9431345,680
203.5693,721,0.9570042,690
207.3119,721,0.9611651,693
210.3311,721,0.962552,694
213.9327,721,0.9597781,692
217.018,721,0.9528432,687
220.7198,721,0.9611651,693
224.314,721,0.965326,696
228.2991,721,0.965326,696
230.4185,721,0.9708738,700
235.1507,721,0.9902912,714
237.2458,721,0.9861304,711
241.7921,721,0.9889043,713
243.8885,721,0.9861304,711
248.5463,721,0.9875174,712
252.2438,721,0.9861304,711
255.3061,721,0.9861304,711
260.0205,721,0.9889043,713
262.0334,721,0.9875174,712
266.7977,721,0.9902912,714
270.7267,721,0.9930652,716
273.4856,721,0.9847434,710
278.17,721,0.9847434,710
280.2172,721,0.9861304,711
284.8449,721,0.9889043,713
286.8889,721,0.9930652,716
291.5095,721,0.9930652,716
293.5853,721,0.9958391,718
298.6635,721,0.9889043,713
302.4273,721,0.9944522,717
305.394,721,0.9972261,719
309.1044,721,0.9986131,720
312.1495,721,1,721
315.7932,721,1,721
319.3121,721,1,721
323.3546,721,1,721
325.4573,721,1,721
329.9622,721,1,721
332.0312,721,1,721
336.6058,721,1,721
340.7184,721,1,721
344.3225,721,1,721
348.7728,721,1,721
350.84,721,1,721
356.1398,721,1,721
360.742,721,1,721
364.5083,721,1,721
367.6405,721,1,721
372.3298,721,1,721
374.4991,721,1,721
379.1048,721,1,721
383.1936,721,1,721
385.7165,721,1,721
387.7744,721,1,721
393.7595,721,1,721
398.3376,721,1,721
401.9859,721,1,721
405.0475,721,1,721
409.688,721,1,721
411.7859,721,1,721
417.6339,721,1,721
422.2112,721,1,721
426.1046,721,1,721
429.1655,721,1,721
433.9402,721,1,721
438.0329,721,1,721
441.7253,721,1,721
446.2969,721,1,721
448.353,721,1,721
452.916,721,1,721
454.9879,721,1,721
459.536,721,1,721
461.6048,721,1,721
466.7568,721,1,721
467.8026,721,1,721
473.7429,721,1,721
478.4128,721,1,721
482.3245,721,1,721
485.5336,721,1,721
490.3638,721,1,721
494.0241,721,1,721
497.085,721,1,721
500.8203,721,1,721
503.8579,721,1,721
508.673,721,1,721
512.3582,721,1,721
514.8016,721,1,721
515.8767,721,1,721
522.348,721,1,721
526.0292,721,1,721
530.2609,721,1,721
533.8597,721,1,721
537.7767,721,1,721
541.6163,721,1,721
544.7794,721,1,721
548.4063,721,1,721
551.8389,721,1,721
556.5516,721,1,721
560.0181,721,1,721
564.8726,721,1,721
568.6033,721,1,721
572.3723,721,1,721
575.7679,721,1,721
579.4006,721,1,721
582.492,721,1,721
586.1942,721,1,721
589.2195,721,1,721
593.0091,721,1,721
596.5005,721,1,721
601.0587,721,1,721
604.8452,721,1,721
607.9929,721,1,721
612.6766,721,1,721
616.3781,721,1,721
619.8372,721,1,721
624.4916,721,1,721
628.1824,721,1,721
631.2803,721,1,721
635.7455,721,1,721
637.7889,721,1,721
650.4484,721,1,721
654.9133,721,1,721
657.019,721,1,721
661.7333,721,1,721
665.4146,721,1,721
668.4547,721,1,721
673.5583,721,1,721
677.2374,721,1,721
680.278,721,1,721
683.9982,721,1,721
686.9988,721,1,721
690.7759,721,1,721
693.8514,721,1,721
699.054,721,1,721
702.7239,721,1,721
705.8342,721,1,721
709.5244,721,1,721
712.6527,721,1,721
716.3748,721,1,721
719.4528,721,1,721
723.8895,721,1,721
726.9586,721,1,721
731.7305,721,1,721
735.5549,721,1,721
738.5828,721,1,721
743.2091,721,1,721
747.0779,721,1,721
749.5857,721,1,721
753.1737,721,1,721
756.3041,721,1,721
760.8463,721,1,721
762.916,721,1,721
767.5269,721,1,721
771.5919,721,1,721
774.226,721,1,721
777.8628,721,1,721
780.9571,721,1,721
785.5617,721,1,721
787.5829,721,1,721
792.297,721,1,721
796.283,721,1,721
799.3442,721,1,721
803.9698,721,1,721
806.0981,721,1,721
810.6727,721,1,721
812.8184,721,1,721
817.3495,721,1,721
821.7615,721,1,721
823.8734,721,1,721
828.4325,721,1,721
830.5468,721,1,721
835.0969,721,1,721
838.7796,721,1,721
842.0344,721,1,721
846.8846,721,1,721
850.6162,721,1,721
853.7394,721,1,721
857.5203,721,1,721
860.5231,721,1,721
865.0737,721,1,721
867.2101,721,1,721
872.3745,721,1,721
876.063,721,1,721
879.1663,721,1,721
883.6348,721,1,721
885.6371,721,1,721
890.4907,721,1,721
894.2578,721,1,721
897.7338,721,1,721
902.4038,721,1,721
907.032,721,1,721
909.1169,721,1,721
913.7675,721,1,721
917.7244,721,1,721
920.4785,721,1,721
925.0447,721,1,721
927.1132,721,1,721
931.7494,721,1,721
933.7737,721,1,721
938.489,721,1,721
940.3771,721,1,721
946.1371,721,1,721
950.6509,721,1,721
954.4446,721,1,721
957.4671,721,1,721
961.1548,721,1,721
964.2368,721,1,721
968.8284,721,1,721
970.8972,721,1,721
975.6047,721,1,721
977.6179,721,1,721
982.2758,721,1,721
986.3397,721,1,721
990.3851,721,1,721
992.9922,721,1,721
997.6982,721,1,721
999.7006,721,1,721
1005.127,721,1,721
1008.721,721,1,721
