TimePassed,CellCount,ProducerFrequency,ProducerCount
0,38,0.5,19
0.9580112,38,0.5,19
8.742776,47,0.5957447,28
12.68483,62,0.6935484,43
15.7662,77,0.7402598,57
20.25766,96,0.78125,75
23.33912,109,0.7798165,85
27.3466,134,0.7985075,107
29.94767,152,0.7960526,121
33.04754,173,0.8092486,140
35.08337,192,0.8177083,157
39.86441,218,0.8119266,177
42.94582,234,0.8162393,191
46.81451,264,0.8143939,215
49.91246,282,0.819149,231
52.99386,303,0.8085809,245
57.73328,333,0.8168168,272
60.83046,358,0.8240224,295
64.58593,379,0.8258575,313
67.66741,401,0.8254364,331
70.73222,422,0.8293839,350
75.57801,452,0.8252212,373
79.85421,475,0.8231579,391
84.81146,488,0.8237705,402
87.85419,508,0.8090551,411
91.75243,518,0.8262548,428
94.83385,535,0.824299,441
97.88134,550,0.8290909,456
102.9107,565,0.8353983,472
105.8928,580,0.8396552,487
109.573,591,0.8392555,496
112.0474,602,0.8405316,506
115.286,613,0.8417618,516
121.4417,623,0.8362761,521
125.3282,637,0.833595,531
128.2983,654,0.8287462,542
130.5002,660,0.8333333,550
135.0346,678,0.8436578,572
138.1516,686,0.8425656,578
142.9873,693,0.8427128,584
146.0773,697,0.8421808,587
151.1747,708,0.8389831,594
153.1647,709,0.8377997,594
158.0049,715,0.8293706,593
161.1486,719,0.8178025,588
165.8642,720,0.8013889,577
169.0308,720,0.7861111,566
173.682,721,0.7961165,574
176.7439,721,0.8058252,581
181.7275,721,0.8099861,584
183.8091,721,0.8169209,589
188.6382,721,0.8280166,597
191.6926,721,0.8446602,609
196.4997,721,0.8266297,596
199.6643,721,0.8349515,602
204.4378,721,0.8210818,592
207.4121,721,0.8224688,593
212.4338,721,0.8085992,583
214.4155,721,0.8183079,590
219.3218,721,0.8238558,594
222.3638,721,0.8238558,594
227.1845,721,0.8418863,607
230.3347,721,0.8418863,607
235.0704,721,0.8335645,601
237.185,721,0.8363384,603
240.8696,721,0.8349515,602
244.1998,721,0.8280166,597
249.015,721,0.8404993,606
252.1143,721,0.8557559,617
256.8542,721,0.851595,614
259.951,721,0.8613037,621
264.7225,721,0.8821082,636
266.7775,721,0.89043,642
270.6821,721,0.8862691,639
273.9369,721,0.8793343,634
278.843,721,0.8834952,637
280.9382,721,0.8945909,645
285.3965,721,0.8848821,638
287.4653,721,0.8821082,636
292.1725,721,0.8654646,624
294.2585,721,0.8599168,620
297.9055,721,0.8696255,627
302.3357,721,0.8682386,626
304.8228,721,0.8668516,625
307.9314,721,0.8640777,623
312.6709,721,0.8654646,624
314.615,721,0.8668516,625
319.6653,721,0.8945909,645
321.709,721,0.9056866,653
326.6201,721,0.9112344,657
329.2249,721,0.9042996,652
333.1624,721,0.9140083,659
335.2991,721,0.925104,667
339.8965,721,0.9389737,677
341.9325,721,0.9348128,674
346.6493,721,0.9334258,673
348.6765,721,0.9237171,666
353.4797,721,0.9056866,653
356.047,721,0.8918169,643
360.0259,721,0.8696255,627
362.4424,721,0.8696255,627
367.0311,721,0.8599168,620
370.7929,721,0.8723994,629
373.8062,721,0.8710125,628
377.584,721,0.8696255,627
380.6706,721,0.8751734,631
382.6998,721,0.8723994,629
387.8432,721,0.8848821,638
389.9716,721,0.8807212,635
394.7669,721,0.8737864,630
396.7051,721,0.8737864,630
401.4814,721,0.8391123,605
403.5359,721,0.851595,614
408.2524,721,0.8710125,628
411.3194,721,0.8918169,643
416.8474,721,0.9015257,650
418.8758,721,0.8959778,646
424.0521,721,0.8959778,646
425.7809,721,0.8945909,645
430.7942,721,0.9029126,651
434.2886,721,0.9015257,650
437.15,721,0.8959778,646
441.1683,721,0.8834952,637
443.8398,721,0.9001387,649
447.5927,721,0.9042996,652
450.6552,721,0.8807212,635
454.5132,721,0.8765603,632
457.4651,721,0.8668516,625
461.318,721,0.8571429,618
465.2939,721,0.8557559,617
470.0428,721,0.8668516,625
472.0727,721,0.8640777,623
476.8663,721,0.9015257,650
478.9234,721,0.9098474,656
483.4523,721,0.9292649,670
485.3921,721,0.9223301,665
490.2618,721,0.926491,668
492.2975,721,0.9306518,671
496.8882,721,0.9459085,682
500.6446,721,0.9403606,678
504.1998,721,0.9445215,681
508.7859,721,0.9459085,682
510.7834,721,0.9361997,675
515.7199,721,0.9417475,679
517.7164,721,0.9403606,678
522.3986,721,0.9556172,689
526.9329,721,0.9570042,690
529.4265,721,0.9611651,693
531.5146,721,0.962552,694
536.3531,721,0.9750347,703
538.4081,721,0.9736477,702
543.084,721,0.963939,695
545.1501,721,0.9611651,693
548.8322,721,0.9667129,697
553.2981,721,0.9667129,697
555.856,721,0.9708738,700
557.8622,721,0.9736477,702
562.7448,721,0.9791955,706
564.7041,721,0.9875174,712
569.5386,721,0.9833565,709
571.6227,721,0.9847434,710
576.4151,721,0.9833565,709
580.8051,721,0.9778086,705
583.9722,721,0.9833565,709
588.5685,721,0.9916782,715
590.5618,721,0.9875174,712
595.4046,721,0.9916782,715
597.4254,721,0.9958391,718
602.1059,721,0.9958391,718
606.58,721,0.9875174,712
609.6729,721,0.9902912,714
614.3201,721,0.9875174,712
616.3687,721,0.9916782,715
621.2061,721,0.9902912,714
623.2764,721,0.9902912,714
627.9788,721,0.9944522,717
632.43,721,0.9972261,719
635.5138,721,0.9972261,719
640.1831,721,1,721
642.2928,721,1,721
647.038,721,1,721
649.0844,721,1,721
652.6564,721,1,721
657.2045,721,1,721
659.7196,721,1,721
661.7954,721,1,721
666.5726,721,1,721
668.6185,721,1,721
673.2393,721,1,721
675.3496,721,1,721
678.7944,721,1,721
683.1943,721,1,721
686.8169,721,1,721
690.5481,721,1,721
693.7388,721,1,721
697.4849,721,1,721
700.4365,721,1,721
704.1108,721,1,721
707.311,721,1,721
711.1924,721,1,721
714.1968,721,1,721
717.9462,721,1,721
720.9581,721,1,721
724.8124,721,1,721
727.7823,721,1,721
731.652,721,1,721
734.8304,721,1,721
739.4965,721,1,721
741.5853,721,1,721
746.1093,721,1,721
748.2441,721,1,721
752.8955,721,1,721
755.0063,721,1,721
759.8377,721,1,721
763.4968,721,1,721
766.5673,721,1,721
770.407,721,1,721
773.4318,721,1,721
777.2838,721,1,721
780.3519,721,1,721
784.1478,721,1,721
788.4595,721,1,721
793.0546,721,1,721
795.1277,721,1,721
799.8137,721,1,721
801.8718,721,1,721
806.6106,721,1,721
808.5422,721,1,721
813.6259,721,1,721
815.6868,721,1,721
820.4504,721,1,721
822.5565,721,1,721
827.2256,721,1,721
829.236,721,1,721
834.0717,721,1,721
836.1828,721,1,721
841.1629,721,1,721
844.9321,721,1,721
847.9063,721,1,721
851.6851,721,1,721
855.7577,721,1,721
860.4623,721,1,721
862.5345,721,1,721
867.5579,721,1,721
871.4401,721,1,721
874.4354,721,1,721
878.3182,721,1,721
881.3326,721,1,721
