BoardSize,MutationRate,TypeOfStartEnvironment,FitnessTimeStep,CostToLive,FitnessRepThreshold,DirectFitnessTimer,DirectFitnessRange,DirectFitnessBenefit,DirectFitnessCost,DirectFitnessbcRatio,DirectFitnessExploitability,DoDirectFitness,ColorSecretionCostPerTimeStep,DoColorSecretion,ColorMetabolismTimeStep,ColorUptakeG,ColorFitnessPerUnitG,DoColorMetabolism,TimeTaken,CellID,HighestProducerCount,LowestProducerCount,TimeAtHighestProdCount,TimeAtLowestProdCount,HighestProducerCountAfterStable,LowestProducerCountAfterStable,TimeAtHighestProdCountAfterStable,TimeAtLowestProdCountAfterStable,CellCountmean,CellCountvariance,CellCountmeanPast1000,CellCountvariancePast1000,ProducerFrequencymean,ProducerFrequencyvariance,ProducerFrequencymeanPast1000,ProducerFrequencyvariancePast1000,ProducerCountmean,ProducerCountvariance,ProducerCountmeanPast1000,ProducerCountvariancePast1000
15,0,SmallSeedEach,1,-0.1,1,5,1,0.65,0.1,6.5,1,TRUE,0.2,FALSE,2,1000,0.001,FALSE,5000.59,545457,660,0,298.0889,4500.189,562,0,1025.055,4500.189,711.5082,4708.488,721,0,0.3277067,0.09418377,0.2173296,0.05189984,228.9617,46839.66,156.6946,26979.66
15,0,SmallSeedEach,1,-0.1,1,5,1,0.65,0.1,6.5,1,TRUE,0.2,FALSE,2,1000,0.001,FALSE,5000.785,510733,668,0,164.0842,3618.15,507,0,1000.354,3618.15,710.1316,5425.986,721,0,0.3181174,0.1011024,0.2053308,0.05898559,221.2229,50078.87,148.0436,30662.95
15,0,SmallSeedEach,1,-0.1,1,5,1,0.65,0.1,6.5,1,TRUE,0.2,FALSE,2,1000,0.001,FALSE,5000.53,383180,553,0,232.0365,2816.283,333,0,1042.979,2816.283,709.2518,5656.918,721,0,0.1727679,0.05294417,0.07504303,0.01393698,116.5173,24012.85,54.10602,7245.041
15,0,SmallSeedEach,1,-0.1,1,5,1,1.3,0.2,6.5,1,TRUE,0.2,FALSE,2,1000,0.001,FALSE,5000.432,1265346,721,18,520.6567,4.491957,721,720,1000.45,1000.45,711.1779,4792.732,721,0,0.9899706,0.001945471,1,0,706.6492,5958.337,721,0
15,0,SmallSeedEach,1,-0.1,1,5,1,1.3,0.2,6.5,1,TRUE,0.2,FALSE,2,1000,0.001,FALSE,5000.771,1257420,721,18,1015.827,7.886203,721,714,1015.827,1000.227,711.5869,4501.74,721,0,0.9816436,0.002499267,0.999978,1.29E-07,700.9202,5891.303,720.9841,0.06682416
15,0,SmallSeedEach,1,-0.1,1,5,1,1.3,0.2,6.5,1,TRUE,0.2,FALSE,2,1000,0.001,FALSE,5000.952,1265533,721,18,640.1831,6.382964,721,720,1000.065,1000.065,711.42,4429.866,721,0,0.9843059,0.002442016,1,0,702.3888,5914.835,721,0
15,0,SmallSeedEach,1,-0.2,1,5,1,1.3,0.2,6.5,1,TRUE,0.2,FALSE,2,1000,0.001,FALSE,5000.519,1385874,721,18,310.0195,3.412766,721,720,1002.667,1002.667,713.8744,3527.432,721,0,0.9913955,0.002103847,1,0,710.161,4661.224,721,0
15,0,SmallSeedEach,1,-0.2,1,5,1,1.3,0.2,6.5,1,TRUE,0.2,FALSE,2,1000,0.001,FALSE,5001.874,1367320,721,18,830.7529,6.50571,721,720,1000.06,1000.06,711.9178,4588.882,721,0,0.9722872,0.00737931,1,0,695.6555,8347.373,721,0
15,0,SmallSeedEach,1,-0.2,1,5,1,1.3,0.2,6.5,1,TRUE,0.2,FALSE,2,1000,0.001,FALSE,5000.121,1379462,721,20,553.0178,5.48105,721,720,1000.275,1000.275,710.9651,4564.091,721,0,0.9800153,0.004900086,1,0,700.4684,7368.035,721,0
15,0,SmallSeedEach,1,-0.2,2,5,1,1.3,0.2,6.5,1,TRUE,0.2,FALSE,2,1000,0.001,FALSE,5000.517,422624,658,0,257.2425,3378.765,394,0,1033.58,3378.765,712.0493,4310.663,721,0,0.2020008,0.06890688,0.08959605,0.01394285,138.9782,32672.02,64.59878,7248.135
15,0,SmallSeedEach,1,-0.2,2,5,1,1.3,0.2,6.5,1,TRUE,0.2,FALSE,2,1000,0.001,FALSE,5000.355,564013,504,18,1478.59,7.16695,504,88,1478.59,4435.719,708.1367,5789.054,721,0,0.381875,0.02288489,0.3411947,0.01700196,266.2022,10336.28,246.0017,8838.306
15,0,SmallSeedEach,1,-0.2,2,5,1,1.3,0.2,6.5,1,TRUE,0.2,FALSE,2,1000,0.001,FALSE,5000.607,413223,561,0,236.0943,3793.737,238,0,1019.828,3793.737,705.7419,7523.661,721,0,0.2052519,0.04458588,0.117174,0.009322854,137.3672,19240.7,84.48246,4846.414
15,0,SmallSeedEach,1,-0.1,1,2.5,1,0.65,0.1,6.5,1,TRUE,0.2,FALSE,2,1000,0.001,FALSE,5000.343,743945,618,15,4848.21,3.766546,618,44,4848.21,3253.609,709.8869,5422.803,721,0,0.4137424,0.05314331,0.3460556,0.03996138,290.2882,26392.46,249.5063,20773.55
15,0,SmallSeedEach,1,-0.1,1,2.5,1,0.65,0.1,6.5,1,TRUE,0.2,FALSE,2,1000,0.001,FALSE,5001.397,671709,587,18,130.4855,6.112917,464,19,1416.018,2718.591,711.5046,4514.806,721,0,0.347061,0.03582032,0.292868,0.02001895,243.1516,16859.07,211.1577,10406.68
15,0,SmallSeedEach,1,-0.1,1,2.5,1,0.65,0.1,6.5,1,TRUE,0.2,FALSE,2,1000,0.001,FALSE,5000.494,813087,650,18,111.703,3.864715,558,36,2468.536,4377.302,713.4364,3711.096,721,0,0.4603578,0.04822634,0.4013665,0.03957611,325.9422,24220.1,289.3854,20573.31
