TimePassed,CellCount,ProducerFrequency,ProducerCount
0,721,1,721
3.500489,721,1,721
6.640189,721,0.9833565,709
10.72362,721,0.9708738,700
13.97047,721,0.9445215,681
16.72738,721,0.9292649,670
19.37086,721,0.9167823,661
24.86476,721,0.9015257,650
29.43184,721,0.8807212,635
32.56486,721,0.8626907,622
37.51622,721,0.8169209,589
40.45058,721,0.8224688,593
45.67631,721,0.8072122,582
48.87162,721,0.7905686,570
54.00998,721,0.7572815,546
57.06273,721,0.7558946,545
61.90431,721,0.7350901,530
65.06808,721,0.7267684,524
71.10828,721,0.7059639,509
72.06677,721,0.6990291,504
77.71607,721,0.6962552,502
79.73538,721,0.6920943,499
84.67009,721,0.6560333,473
87.66401,721,0.6338419,457
91.35561,721,0.6130375,442
94.76086,721,0.5908461,426
96.81132,721,0.5950069,429
101.9746,721,0.5880721,424
104.978,721,0.5603329,404
108.7282,721,0.5520111,398
111.1304,721,0.5963939,430
114.2163,721,0.6033287,435
118.0255,721,0.6005548,433
120.5578,721,0.6185853,446
122.6413,721,0.6005548,433
127.3593,721,0.554785,400
130.4548,721,0.5631068,406
134.2334,721,0.5533981,399
137.1651,721,0.520111,375
140.3242,721,0.518724,374
145.5404,721,0.4895978,353
149.1036,721,0.4909847,354
152.1788,721,0.482663,348
154.1791,721,0.4854369,350
159.2551,721,0.4618585,333
162.3721,721,0.4632455,334
166.1211,721,0.4632455,334
168.5727,721,0.4576976,330
172.5984,721,0.4687933,338
177.6958,721,0.479889,346
180.8719,721,0.4909847,354
184.8422,721,0.479889,346
188.839,721,0.4701803,339
190.8666,721,0.4674064,337
195.8859,721,0.4604716,332
198.8845,721,0.4299584,310
202.6731,721,0.4271845,308
205.8557,721,0.4493759,324
207.862,721,0.4674064,337
213.1323,721,0.4882108,352
217.2245,721,0.4909847,354
222.146,721,0.4618585,333
226.1801,721,0.4618585,333
231.3067,721,0.4632455,334
235.4165,721,0.4618585,333
240.4867,721,0.4521498,326
244.5804,721,0.4646325,335
249.4807,721,0.4563107,329
252.5153,721,0.4535367,327
256.5533,721,0.4507628,325
259.6182,721,0.4604716,332
262.7161,721,0.4271845,308
267.749,721,0.4202496,303
271.7369,721,0.4174757,301
277.8744,721,0.4188627,302
280.8748,721,0.4244106,306
285.8343,721,0.4271845,308
288.9034,721,0.4133148,298
292.985,721,0.407767,294
296.0002,721,0.4119279,297
299.0662,721,0.3966713,286
304.2174,721,0.3911234,282
307.3153,721,0.3758669,271
311.3757,721,0.3439667,248
314.4735,721,0.3190014,230
317.5361,721,0.3106796,224
322.3983,721,0.2912621,210
325.4467,721,0.2995839,216
329.3287,721,0.3037448,219
332.3617,721,0.2981969,215
335.4265,721,0.3079057,222
340.5431,721,0.2981969,215
343.6246,721,0.2746186,198
347.4535,721,0.2718447,196
351.0144,721,0.2843273,205
353.0688,721,0.2843273,205
357.9213,721,0.2787795,201
361.0121,721,0.2621359,189
364.9157,721,0.259362,187
367.9492,721,0.260749,188
371.0127,721,0.2676838,193
375.9424,721,0.2704577,195
379.0343,721,0.2732316,197
382.9769,721,0.260749,188
385.9868,721,0.2690707,194
389.0074,721,0.259362,187
393.8101,721,0.2552011,184
397.8467,721,0.257975,186
402.7534,721,0.2454924,177
405.7737,721,0.2468793,178
409.538,721,0.2454924,177
413.5802,721,0.2357836,170
415.5836,721,0.2385576,172
420.532,721,0.2330097,168
423.5661,721,0.2427184,175
427.477,721,0.2371706,171
430.5231,721,0.2399445,173
433.551,721,0.2357836,170
437.405,721,0.2288488,165
440.4162,721,0.2011096,145
444.1972,721,0.2038835,147
447.2807,721,0.1886269,136
450.3264,721,0.1872399,135
455.1358,721,0.1650485,119
459.145,721,0.1567268,113
464.1371,721,0.1345354,97
468.1396,721,0.148405,107
472.9959,721,0.1525659,110
476.1266,721,0.1567268,113
480.0779,721,0.1664355,120
484.133,721,0.1775312,128
486.2165,721,0.1803051,130
490.9969,721,0.185853,134
494.0616,721,0.1803051,130
497.9607,721,0.1789182,129
501.0695,721,0.1941748,140
504.1476,721,0.1969487,142
508.9579,721,0.223301,161
512.0297,721,0.2177531,157
515.9367,721,0.2191401,158
519.0165,721,0.2163662,156
522.9226,721,0.2191401,158
526.8881,721,0.2135922,154
529.8873,721,0.1983356,143
534.7848,721,0.1719834,124
537.8331,721,0.1664355,120
541.6665,721,0.1664355,120
544.6813,721,0.1692094,122
547.7131,721,0.1733703,125
553.4937,721,0.1678225,121
556.5594,721,0.1664355,120
561.5048,721,0.1650485,119
564.5372,721,0.1761442,127
565.5314,721,0.1622746,117
571.2102,721,0.1664355,120
574.2253,721,0.1803051,130
579.1544,721,0.1789182,129
582.2299,721,0.1775312,128
586.1687,721,0.1803051,130
589.1674,721,0.1692094,122
592.2322,721,0.1761442,127
597.2577,721,0.1830791,132
600.3055,721,0.1761442,127
604.1635,721,0.1789182,129
607.2282,721,0.1789182,129
610.2325,721,0.1969487,142
615.5004,721,0.1983356,143
618.5481,721,0.1886269,136
623.5769,721,0.1692094,122
627.5723,721,0.1595007,115
632.4781,721,0.1636616,118
635.5749,721,0.1567268,113
639.2621,721,0.1622746,117
641.7306,721,0.1650485,119
644.8152,721,0.1664355,120
648.6708,721,0.1664355,120
651.7687,721,0.1650485,119
654.8547,721,0.1719834,124
659.7184,721,0.1747573,126
662.7605,721,0.1595007,115
666.7673,721,0.1442441,104
669.8322,721,0.1525659,110
672.9175,721,0.1456311,105
677.7299,721,0.1289875,93
680.7617,721,0.1456311,105
684.6351,721,0.1373093,99
687.666,721,0.149792,108
690.7158,721,0.1525659,110
695.6292,721,0.147018,106
698.6284,721,0.1428571,103
702.4454,721,0.1414702,102
705.4773,721,0.1539528,111
708.2236,721,0.1636616,118
712.0706,721,0.1608877,116
715.0983,721,0.1622746,117
719.0771,721,0.1581137,114
722.1937,721,0.1636616,118
725.2396,721,0.1733703,125
730.0391,721,0.1886269,136
733.0457,721,0.2149792,155
736.9525,721,0.2135922,154
739.9843,721,0.2094314,151
743.0159,721,0.1830791,132
747.914,721,0.1636616,118
750.9927,721,0.1733703,125
754.9476,721,0.1830791,132
758.0293,721,0.1692094,122
761.0487,721,0.1608877,116
765.9117,721,0.149792,108
768.9763,721,0.149792,108
772.9885,721,0.1386963,100
776.0164,721,0.1414702,102
779.0267,721,0.1400832,101
783.7603,721,0.1289875,93
786.8091,721,0.1303745,94
790.7037,721,0.1220527,88
793.7508,721,0.112344,81
796.8575,721,0.1206657,87
801.4877,721,0.1289875,93
804.5038,721,0.1262136,91
809.3221,721,0.1276006,92
812.399,721,0.1331484,96
816.2924,721,0.1248266,90
819.3409,721,0.1206657,87
822.4721,721,0.1220527,88
827.4971,721,0.112344,81
830.5552,721,0.1178918,85
834.4136,721,0.1206657,87
837.5345,721,0.1303745,94
840.5428,721,0.1220527,88
845.3735,721,0.10957,79
848.4549,721,0.09847434,71
852.279,721,0.09847434,71
855.2556,721,0.1040222,75
858.3768,721,0.1067961,77
863.199,721,0.1178918,85
866.2804,721,0.1137309,82
870.0714,721,0.1165049,84
873.1467,721,0.1400832,101
876.1617,721,0.149792,108
881.0587,721,0.147018,106
884.1303,721,0.1331484,96
887.8984,721,0.147018,106
891.9252,721,0.148405,107
893.9693,721,0.1442441,104
899.4103,721,0.1442441,104
902.4446,721,0.147018,106
907.1594,721,0.1525659,110
910.2076,721,0.1608877,116
914.0151,721,0.1678225,121
917.0053,721,0.1581137,114
920.0101,721,0.1664355,120
925.0789,721,0.1595007,115
928.0651,721,0.1733703,125
931.9362,721,0.1816921,131
935.0342,721,0.1900139,137
938.1155,721,0.184466,133
942.9282,721,0.1747573,126
945.9766,721,0.1803051,130
949.9476,721,0.1747573,126
953.0132,721,0.1692094,122
956.0827,721,0.1622746,117
960.9288,721,0.1622746,117
963.9435,721,0.1567268,113
967.7779,721,0.1414702,102
970.8061,721,0.1317614,95
973.8921,721,0.1289875,93
978.6787,721,0.110957,80
981.7432,721,0.09570041,69
985.6141,721,0.1067961,77
988.6626,721,0.08737864,63
991.6943,721,0.08321775,60
997.9524,721,0.09015257,65
1000.984,721,0.0776699,56
1005.791,721,0.06934813,50
1009.768,721,0.06102635,44
1014.725,721,0.06241332,45
1017.788,721,0.06102635,44
1021.664,721,0.06796116,49
1024.727,721,0.07212205,52
1027.787,721,0.07073509,51
1032.479,721,0.06380028,46
1035.641,721,0.07073509,51
1039.36,721,0.06796116,49
1043.388,721,0.06380028,46
1045.478,721,0.06934813,50
1050.325,721,0.07628294,55
1053.406,721,0.07350902,53
1057.127,721,0.06934813,50
1060.191,721,0.06241332,45
1063.206,721,0.06518724,47
1068.122,721,0.07073509,51
1071.191,721,0.0776699,56
1075.048,721,0.07212205,52
1078.109,721,0.08044383,58
1081.142,721,0.09153953,66
1086.25,721,0.0998613,72
1089.299,721,0.0998613,72
1093.248,721,0.1165049,84
1097.235,721,0.1248266,90
1100.221,721,0.1234397,89
1103.829,721,0.1137309,82
1106.829,721,0.1359223,98
1110.65,721,0.1345354,97
1114.654,721,0.1248266,90
1116.692,721,0.1262136,91
1121.494,721,0.1317614,95
1124.542,721,0.1428571,103
1128.507,721,0.1428571,103
1131.531,721,0.1428571,103
1134.536,721,0.1331484,96
1139.344,721,0.1234397,89
1142.362,721,0.1165049,84
1146.196,721,0.110957,80
1150.203,721,0.1165049,84
1152.273,721,0.1234397,89
1157.072,721,0.1178918,85
1161.073,721,0.10957,79
1165.93,721,0.1081831,78
1169.028,721,0.1081831,78
1173.002,721,0.112344,81
1176.084,721,0.1165049,84
1179.082,721,0.1026352,74
1183.87,721,0.08599168,62
1187.863,721,0.08044383,58
1191.644,721,0.08737864,63
1195.947,721,0.08460472,61
1199.87,721,0.08737864,63
1202.948,721,0.08737864,63
1206.004,721,0.09708738,70
1210.88,721,0.1026352,74
1213.945,721,0.1067961,77
1217.794,721,0.0998613,72
1220.871,721,0.1026352,74
1223.915,721,0.08460472,61
1228.887,721,0.08876561,64
1231.921,721,0.09431345,68
1235.824,721,0.09708738,70
