BoardSize,MutationRate,TypeOfStartEnvironment,FitnessTimeStep,CostToLive,FitnessRepThreshold,DirectFitnessTimer,DirectFitnessRange,DirectFitnessBenefit,DirectFitnessCost,DirectFitnessbcRatio,DirectFitnessExploitability,DoDirectFitness,DiffusionTimeStep,DiffusionConstG,DiffusionCutOff,DoDiffusion,ColorSecretionTimeStep,ColorSecreted,AmountColorSecreted,ColorSecretionCostPerTimeStep,DoColorSecretion,ColorMetabolismTimeStep,ColorMetNoUptake,ColorUptakeG,ColorUptakeB,ColorUptakeR,ColorFitnessPerUnitG,ColorFitnessPerUnitB,DoColorMetabolism,ColorFitnessPerUnitR,DoBiofilm,ExploitersDoBiofilms,BiofilmRange,BiofilmViscosity,BiofilmCost,BiofilmUptakeMultR,DoFlow,FlowOutOfBoard,FlowTimeStep,FlowProportionalToAmount,FlowAmountPerTimeStep,DoDegradation,DegradationReducedByBiofilm,DegradationTimeStep,DegradationProportional,DegradationAmountPerTimeStep,TimeTaken,CellID,HighestProducerCount,LowestProducerCount,TimeAtHighestProdCount,TimeAtLowestProdCount,HighestProducerCountAfterStable,LowestProducerCountAfterStable,TimeAtHighestProdCountAfterStable,TimeAtLowestProdCountAfterStable,CellCountmean,CellCountvariance,CellCountmeanPast1000,CellCountvariancePast1000,ProducerFrequencymean,ProducerFrequencyvariance,ProducerFrequencymeanPast1000,ProducerFrequencyvariancePast1000,ProducerCountmean,ProducerCountvariance,ProducerCountmeanPast1000,ProducerCountvariancePast1000
15,0.02,AllProducers,1,0.1,1,5,1,0.65,0.1,6.5,1,True,0.5,0.15,1,True,1,Green,5000,0.1,False,1,False,10000,10000,100,0.0001,0.0001,True,-0.01,False,True,1,3,0,0.01,False,True,1,True,0.7,False,False,2,True,0.5,3000.191,136633,721,136,0,1709.769,349,136,1884.016,1709.769,499.4039,5568.452,486.6667,3970.601,0.4796043,0.007039586,0.4722893,0.003616915,241.5876,5468.044,229.9362,1787.357
15,0.02,AllProducers,1,0.1,1,5,1,0.65,0.1,6.5,1,True,0.5,0.15,1,True,1,Green,5000,0.1,False,1,False,10000,10000,100,0.0001,0.0001,True,-0.01,False,True,1,3,0,0.01,False,True,1,True,0.7,False,False,2,True,0.5,3000.084,138552,721,109,0,2437.301,331,109,2309.504,2437.301,496.7157,9349.034,477.5993,8073.7,0.4862287,0.009097793,0.4838529,0.004500972,243.418,7074.811,230.0036,2360.022
15,0.02,AllProducers,1,0.1,1,5,1,0.65,0.1,6.5,1,True,0.5,0.15,1,True,1,Green,5000,0.1,False,1,False,10000,10000,100,0.0001,0.0001,True,-0.01,False,True,1,3,0,0.01,False,True,1,True,0.7,False,False,2,True,0.5,3000.479,130319,721,122,0,296.1359,309,127,1438.898,1726.44,475.0589,8944.55,463.7335,3671.277,0.4879683,0.01013166,0.4722497,0.003039953,234.9804,8159.029,218.8952,1455.896
15,0.02,AllProducers,1,0.1,1,5,1,0.65,0.1,6.5,1,True,0.5,0.15,1,True,1,Green,5000,0.1,False,1,False,10000,10000,100,0.0001,0.0001,True,-0.01,False,True,1,3,0,0.01,False,True,1,True,0.7,False,False,2,True,0.5,3000.127,139543,721,88,0,1923.3,375,88,1625.99,1923.3,498.9988,8823.747,486.8899,7636.419,0.4895361,0.008441475,0.4844808,0.004527542,247.5623,7060,237.426,3256.963
15,0.02,AllProducers,1,0.1,1,5,1,0.65,0.1,6.5,1,True,0.5,0.15,1,True,1,Green,5000,0.1,False,1,False,10000,10000,100,0.0001,0.0001,True,-0.01,False,True,1,3,0,0.01,False,True,1,True,0.7,False,False,2,True,0.5,3000.906,130370,721,86,0,2376.184,316,86,1234.445,2376.184,471.7303,13178.73,454.5535,11137.08,0.4863146,0.01105754,0.4779329,0.008745436,231.4338,8127.004,215.6588,3494.026
15,0.02,AllProducers,1,0.1,1,5,1,0.65,0.1,6.5,1,True,0.5,0.15,1,True,1,Green,5000,0.1,False,1,False,10000,10000,100,0.0001,0.0001,True,-0.01,False,True,1,3,0,0.01,False,True,1,True,0.7,False,False,2,True,0.5,3000.998,122762,721,106,0,1729.922,329,106,2428.683,1729.922,439.5006,8587.884,422.3841,4064.076,0.4957667,0.009959963,0.4834871,0.005290613,218.8863,6223.041,203.4946,1536.626
15,0.02,AllProducers,1,0.1,1,5,1,0.65,0.1,6.5,1,True,0.5,0.15,1,True,1,Green,5000,0.1,False,1,False,10000,10000,100,0.0001,0.0001,True,-0.01,False,True,1,3,0,0.01,False,True,1,True,0.7,False,False,2,True,0.5,3000.843,129054,721,73,0,1917.891,332,73,3000.843,1917.891,457.2995,13979.85,427.1691,11000.35,0.4880233,0.01190623,0.4780431,0.008307362,227.1277,9811.625,203.6097,3728.739
15,0.02,AllProducers,1,0.1,1,5,1,0.65,0.1,6.5,1,True,0.5,0.15,1,True,1,Green,5000,0.1,False,1,False,10000,10000,100,0.0001,0.0001,True,-0.01,False,True,1,3,0,0.01,False,True,1,True,0.7,False,False,2,True,0.5,3000.291,128316,721,48,0,585.7186,367,87,1089.351,2268.461,454.9721,15413.25,453.9278,8549.662,0.4873157,0.01142416,0.476961,0.006879245,225.0073,8668.592,217.4567,3846.521
15,0.02,AllProducers,1,0.1,1,5,1,0.65,0.1,6.5,1,True,0.5,0.15,1,True,1,Green,5000,0.1,False,1,False,10000,10000,100,0.0001,0.0001,True,-0.01,False,True,1,3,0,0.01,False,True,1,True,0.7,False,False,2,True,0.5,3001.394,132733,721,91,0,1498.345,383,91,1818.319,1498.345,458.7689,10267.97,443.6606,5835.139,0.5019605,0.01048529,0.4958816,0.006305046,234.012,8074.251,221.8213,3564.253
15,0.02,AllProducers,1,0.1,1,5,1,0.65,0.1,6.5,1,True,0.5,0.15,1,True,1,Green,5000,0.1,False,1,False,10000,10000,100,0.0001,0.0001,True,-0.01,False,True,1,3,0,0.01,False,True,1,True,0.7,False,False,2,True,0.5,3000.522,127901,721,65,0,2759.402,353,65,1375.575,2759.402,452.8918,16939.38,409.8795,14013.17,0.4887951,0.0124377,0.4806086,0.01030356,224.6416,9527.352,197.8321,5143.302
