TimePassed,CellCount,ProducerFrequency,ProducerCount
0,721,1,721
3.772448,721,1,721
6.859117,701,0.9871612,692
10.25632,714,0.9733893,695
16.49651,718,0.9610028,690
20.68977,720,0.9375,675
24.80572,720,0.925,666
29.41602,720,0.9083334,654
32.40399,721,0.8848821,638
37.44064,721,0.8834952,637
40.51213,721,0.8668516,625
44.26757,721,0.8807212,635
46.70296,720,0.8791667,633
49.77679,721,0.8543689,616
53.72391,721,0.8335645,601
57.11195,721,0.8196949,591
60.09285,721,0.8044383,580
65.24841,721,0.7614424,549
68.33118,721,0.7642164,551
72.26425,721,0.7739251,558
75.28355,721,0.7725381,557
79.76791,721,0.7545076,544
83.14359,720,0.7458333,537
86.22116,720,0.7236111,521
90.1368,719,0.6912378,497
94.80819,719,0.6731572,484
99.87992,719,0.6425591,462
102.978,719,0.620306,446
106.8589,718,0.6114206,439
109.8741,718,0.6030641,433
112.9382,718,0.5710306,410
117.9064,716,0.5544693,397
120.9365,714,0.5616246,401
124.8209,712,0.5421348,386
127.8678,713,0.5203366,371
130.9493,709,0.4964739,352
135.8036,706,0.4716714,333
138.8851,701,0.4736091,332
142.754,695,0.4748201,330
146.7944,688,0.4651163,320
148.8155,685,0.4554745,312
153.7954,680,0.4514706,307
156.9277,673,0.4249628,286
157.8889,675,0.4148148,280
163.398,666,0.4009009,267
166.4508,661,0.4069591,269
171.325,653,0.4211332,275
174.3567,649,0.422188,274
177.7843,643,0.4136859,266
181.1492,633,0.4075829,258
183.2036,629,0.4054054,255
188.0633,621,0.4202898,261
191.0897,612,0.4313726,264
195.0444,606,0.4356436,264
198.0927,611,0.4255319,260
201.108,606,0.4323432,262
205.953,604,0.4602649,278
210.0283,594,0.452862,269
214.717,588,0.4761905,280
217.8297,585,0.4803419,281
221.6434,578,0.4896194,283
224.6918,580,0.4758621,276
227.8063,577,0.5025997,290
232.5968,574,0.4808362,276
235.6746,571,0.4781086,273
239.5848,578,0.4844291,280
242.6549,579,0.4732297,274
245.7464,571,0.4728546,270
250.726,557,0.475763,265
253.8392,553,0.4755877,263
257.7473,560,0.4803571,269
260.7866,549,0.4972678,273
263.8025,544,0.5073529,276
268.7618,543,0.5101289,277
271.81,546,0.5238096,286
275.6582,547,0.5283364,289
278.765,544,0.5294118,288
281.7338,545,0.5247706,286
285.5218,546,0.5128205,280
288.5439,549,0.5100182,280
292.3221,551,0.5317605,293
296.3091,562,0.5017794,282
298.3302,566,0.4858657,275
303.2446,567,0.4656085,264
306.2643,569,0.486819,277
310,568,0.4894366,278
313.0316,575,0.5008696,288
316.0964,576,0.4861111,280
321.0149,573,0.4712042,270
324.0956,576,0.4635417,267
328.0398,568,0.4700704,267
331.1012,563,0.4653641,262
334.1661,563,0.4635879,261
338.9575,559,0.450805,252
342.0606,558,0.4283154,239
345.7928,559,0.4364937,244
349.851,559,0.3881932,217
351.9219,555,0.3927928,218
356.6251,559,0.3828265,214
359.7068,558,0.3673835,205
363.4246,552,0.3568841,197
366.4333,550,0.3236364,178
369.5144,546,0.3260073,178
374.2118,540,0.3148148,170
377.3097,532,0.3157895,168
381.0834,521,0.318618,166
385.1628,502,0.3027889,152
389.9194,496,0.3004032,149
392.9444,487,0.3080082,150
396.0085,476,0.302521,144
400.7583,468,0.3055556,143
403.8391,459,0.3093682,142
407.4965,453,0.3002208,136
410.6106,450,0.3355556,151
413.6761,436,0.3555046,155
418.3339,422,0.3862559,163
421.3869,411,0.3917275,161
425.1718,397,0.4005038,159
428.2137,390,0.4205128,164
431.275,390,0.4410256,172
435.9149,389,0.4267352,166
439.8887,384,0.4635417,178
444.6896,379,0.4907652,186
448.7462,381,0.5013123,191
453.608,382,0.5183246,198
456.6729,380,0.5368421,204
460.6224,377,0.5517241,208
463.6419,381,0.5695538,217
466.6873,384,0.5442708,209
471.4624,387,0.5348837,207
474.5324,394,0.5634518,222
478.2586,402,0.5522388,222
482.2861,411,0.5377129,221
484.3073,415,0.5349398,222
489.0518,417,0.5107914,213
492.1829,426,0.5093897,217
496.0543,440,0.4886364,215
499.1688,445,0.4831461,215
502.2395,452,0.4845133,219
506.9872,451,0.4767184,215
511.0063,453,0.4547461,206
515.9001,457,0.4442013,203
518.9113,464,0.4655173,216
522.7459,472,0.4555085,215
525.8115,472,0.4491525,212
528.8918,477,0.4192872,200
533.6864,476,0.4180672,199
536.7027,476,0.4285714,204
540.2945,476,0.4264706,203
543.3428,477,0.4402516,210
546.3753,475,0.44,209
551.153,474,0.4345992,206
554.2702,467,0.4518201,211
558.0701,470,0.4765958,224
561.1595,466,0.4806867,224
564.1541,468,0.482906,226
568.8533,466,0.5150214,240
572.8663,468,0.525641,246
577.7964,478,0.5230126,250
580.8289,486,0.5205761,253
584.689,490,0.5204082,255
587.7213,495,0.5030303,249
590.7696,494,0.4898785,242
595.4663,498,0.4678715,233
598.451,498,0.4297189,214
602.3441,492,0.4085366,201
605.3541,490,0.4285714,210
608.5224,485,0.4247423,206
613.2549,475,0.4210526,200
617.5903,474,0.3987342,189
622.3099,474,0.4113924,195
626.3322,474,0.42827,203
631.1786,469,0.4371002,205
634.278,462,0.4372294,202
638.0526,461,0.4295011,198
641.121,460,0.4304348,198
644.1646,462,0.4112554,190
648.8045,455,0.4021978,183
651.9191,455,0.3978022,181
655.6432,453,0.4083885,185
658.6884,452,0.4137168,187
661.7675,454,0.3942731,179
666.5529,449,0.3875279,174
670.6313,448,0.4084821,183
675.2225,439,0.4305239,189
679.2312,433,0.4642032,201
683.9367,427,0.5128806,219
687.9108,428,0.5070093,217
692.8071,433,0.5288684,229
695.9055,432,0.5347222,231
699.7209,438,0.5410959,237
702.7393,439,0.5489749,241
705.8193,445,0.5370787,239
710.6589,447,0.5615212,251
713.7734,459,0.5315904,244
717.4567,462,0.556277,257
720.5211,468,0.5320513,249
723.5357,479,0.5323591,255
728.6251,484,0.5516529,267
731.637,500,0.544,272
735.4477,504,0.5257937,265
738.5463,512,0.515625,264
741.528,514,0.5214007,268
746.5607,522,0.5,261
749.5621,526,0.4961977,261
753.3539,534,0.5018727,268
756.4014,534,0.488764,261
759.3503,538,0.4944238,266
764.3687,545,0.5229358,285
767.4997,551,0.5154265,284
