BoardSize,MutationRate,TypeOfStartEnvironment,FitnessTimeStep,CostToLive,FitnessRepThreshold,DirectFitnessTimer,DirectFitnessRange,DirectFitnessBenefit,DirectFitnessCost,DirectFitnessbcRatio,DirectFitnessExploitability,DoDirectFitness,DiffusionTimeStep,DiffusionConstG,DiffusionCutOff,DoDiffusion,ColorSecretionTimeStep,ColorSecreted,AmountColorSecreted,ColorSecretionCostPerTimeStep,DoColorSecretion,ColorMetabolismTimeStep,ColorMetNoUptake,ColorUptakeG,ColorUptakeB,ColorUptakeR,ColorFitnessPerUnitG,ColorFitnessPerUnitB,DoColorMetabolism,ColorFitnessPerUnitR,DoBiofilm,ExploitersDoBiofilms,BiofilmRange,BiofilmViscosity,BiofilmCost,BiofilmUptakeMultR,DoFlow,FlowOutOfBoard,FlowTimeStep,FlowProportionalToAmount,FlowAmountPerTimeStep,DoDegradation,DegradationReducedByBiofilm,DegradationTimeStep,DegradationProportional,DegradationAmountPerTimeStep,TimeTaken,CellID,HighestProducerCount,LowestProducerCount,TimeAtHighestProdCount,TimeAtLowestProdCount,HighestProducerCountAfterStable,LowestProducerCountAfterStable,TimeAtHighestProdCountAfterStable,TimeAtLowestProdCountAfterStable,CellCountmean,CellCountvariance,CellCountmeanPast1000,CellCountvariancePast1000,ProducerFrequencymean,ProducerFrequencyvariance,ProducerFrequencymeanPast1000,ProducerFrequencyvariancePast1000,ProducerCountmean,ProducerCountvariance,ProducerCountmeanPast1000,ProducerCountvariancePast1000
15,0.02,AllProducers,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.5,0.15,1,True,1,Green,5000,0.1,True,1,False,10000,10000,100,0.0001,0.0001,True,-0.01,False,True,1,3,0,0.01,False,True,1,True,0.7,False,False,2,True,0.5,3000.936,233565,721,65,0,1138.502,246,65,1502.904,1138.502,721,0,721,0,0.2735699,0.02387766,0.223895,0.001997077,197.244,12412.57,161.4283,1038.16
15,0.02,AllProducers,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.5,0.15,1,True,1,Green,5000,0.1,True,1,False,10000,10000,100,0.0001,0.0001,True,-0.01,False,True,1,3,0,0.01,False,True,1,True,0.7,False,False,2,True,0.5,3000.487,231923,721,81,0,1821.51,209,81,2481.519,1821.51,721,0,721,0,0.2690479,0.02298795,0.2060049,0.001008212,193.9836,11950.12,148.5295,524.1104
15,0.02,AllProducers,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.5,0.15,1,True,1,Green,5000,0.1,True,1,False,10000,10000,100,0.0001,0.0001,True,-0.01,False,True,1,3,0,0.01,False,True,1,True,0.7,False,False,2,True,0.5,3000.055,238796,721,89,0,1821.442,241,89,2375.794,1821.442,721,0,721,0,0.2932902,0.02182233,0.2432109,0.001362544,211.4623,11344.13,175.3551,708.3063
15,0.02,AllProducers,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.5,0.15,1,True,1,Green,5000,0.1,True,1,False,10000,10000,100,0.0001,0.0001,True,-0.01,False,True,1,3,0,0.01,False,True,1,True,0.7,False,False,2,True,0.5,3000.786,228564,721,100,0,2441.11,247,100,1080.318,2441.11,721,0,721,0,0.2529651,0.01695814,0.2155507,0.001182189,182.388,8815.514,155.412,614.55
15,0.02,AllProducers,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.5,0.15,1,True,1,Green,5000,0.1,True,1,False,10000,10000,100,0.0001,0.0001,True,-0.01,False,True,1,3,0,0.01,False,True,1,True,0.7,False,False,2,True,0.5,3000.81,219374,721,68,0,1765.92,237,68,1369.447,1765.92,721,0,721,0,0.2287629,0.02369946,0.1800209,0.002300461,164.9379,12319.98,129.7951,1195.875
15,0.02,AllProducers,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.5,0.15,1,True,1,Green,5000,0.1,True,1,False,10000,10000,100,0.0001,0.0001,True,-0.01,False,True,1,3,0,0.01,False,True,1,True,0.7,False,False,2,True,0.5,3000.421,235009,721,88,0,733.5516,271,97,1096.738,2770.847,721,0,721,0,0.2735995,0.018089,0.2440277,0.002170127,197.2653,9403.381,175.944,1128.121
15,0.02,AllProducers,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.5,0.15,1,True,1,Green,5000,0.1,True,1,False,10000,10000,100,0.0001,0.0001,True,-0.01,False,True,1,3,0,0.01,False,True,1,True,0.7,False,False,2,True,0.5,3000.057,229096,721,59,0,2501.102,226,59,1608.47,2501.102,721,0,721,0,0.2574613,0.01936708,0.204231,0.002381416,185.6296,10067.78,147.2505,1237.957
15,0.02,AllProducers,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.5,0.15,1,True,1,Green,5000,0.1,True,1,False,10000,10000,100,0.0001,0.0001,True,-0.01,False,True,1,3,0,0.01,False,True,1,True,0.7,False,False,2,True,0.5,3000.454,223256,721,57,0,2654.186,223,57,2214.088,2654.186,721,0,721,0,0.2378248,0.02001999,0.1989477,0.002588763,171.4716,10407.21,143.4413,1345.744
15,0.02,AllProducers,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.5,0.15,1,True,1,Green,5000,0.1,True,1,False,10000,10000,100,0.0001,0.0001,True,-0.01,False,True,1,3,0,0.01,False,True,1,True,0.7,False,False,2,True,0.5,3000.065,234766,721,96,0,765.7956,255,104,2314.199,2892.872,721,0,721,0,0.2769095,0.01898544,0.242436,0.002302954,199.6517,9869.414,174.7963,1197.171
15,0.02,AllProducers,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.5,0.15,1,True,1,Green,5000,0.1,True,1,False,10000,10000,100,0.0001,0.0001,True,-0.01,False,True,1,3,0,0.01,False,True,1,True,0.7,False,False,2,True,0.5,3000.333,222095,721,66,0,989.8917,211,66,2851.476,1455.219,721,0,721,0,0.2365013,0.01974343,0.1884154,0.001570996,170.5175,10263.46,135.8474,816.6679
