TimePassed,CellCount,ProducerFrequency,ProducerCount
0,721,1,721
4.17195,721,1,721
5.93022,721,0.9916782,715
11.82458,721,0.9791955,706
14.72101,721,0.9680998,698
21.26611,721,0.9556172,689
25.21638,721,0.9528432,687
29.08767,721,0.9181692,662
31.08071,721,0.9181692,662
36.00709,721,0.89043,642
39.96727,721,0.8779473,633
44.91203,721,0.8488211,612
48.87996,721,0.8363384,603
53.78962,721,0.8321775,600
57.73213,721,0.814147,587
62.78444,721,0.7808599,563
65.74975,721,0.7600555,548
69.46476,721,0.7475728,539
73.17751,721,0.7295423,526
76.94703,721,0.7281553,525
80.12656,721,0.7059639,509
82.07555,721,0.7073509,510
86.8669,721,0.7156727,516
90.82287,721,0.6809986,491
95.84768,721,0.6726769,485
99.79017,721,0.6393898,461
104.6817,721,0.6477115,467
108.6293,721,0.6241332,450
113.6183,721,0.6449376,465
117.5941,721,0.6199723,447
122.487,721,0.5963939,430
125.8159,721,0.5991678,432
130.6978,721,0.592233,427
133.6436,721,0.5755895,415
138.3358,721,0.5797504,418
142.2952,721,0.5367545,387
146.1521,721,0.5353675,386
150.1282,721,0.5367545,387
152.083,721,0.5381415,388
157.4998,721,0.5312067,383
160.3223,721,0.5353675,386
165.1675,721,0.517337,373
169.1765,721,0.4854369,350
173.9737,721,0.479889,346
177.9446,721,0.4674064,337
183.0862,721,0.4410541,318
186.9972,721,0.4618585,333
191.9938,721,0.4549237,328
195.9864,721,0.4563107,329
199.8738,721,0.4646325,335
204.2415,721,0.4563107,329
208.9838,721,0.4479889,323
212.9436,721,0.4535367,327
217.9771,721,0.445215,321
221.9393,721,0.4313453,311
227.0007,721,0.4147018,299
230.0459,721,0.4174757,301
234.0045,721,0.4160888,300
237.9484,721,0.3772538,272
239.9865,721,0.3911234,282
244.775,721,0.3717059,268
248.7509,721,0.3647712,263
253.7509,721,0.3717059,268
257.7397,721,0.3647712,263
262.4008,721,0.3606103,260
265.4325,721,0.3592233,259
269.2492,721,0.3522885,254
273.2676,721,0.3425798,247
274.7254,721,0.3273232,236
279.5465,721,0.3162275,228
283.5391,721,0.3300971,238
288.3443,721,0.3398058,245
292.3931,721,0.3217753,232
297.2111,721,0.3051318,220
300.2165,721,0.2912621,210
304.1409,721,0.2940361,212
308.1505,721,0.2787795,201
310.1833,721,0.2676838,193
315.0734,721,0.2676838,193
319.0328,721,0.2552011,184
324.2324,721,0.2454924,177
328.1402,721,0.2343967,169
333.0282,721,0.2357836,170
337.0086,721,0.2468793,178
341.7193,721,0.2413315,174
344.7503,721,0.2524272,182
348.2082,721,0.2482663,179
351.4507,721,0.257975,186
353.389,721,0.2524272,182
358.2133,721,0.2441054,176
362.1562,721,0.2343967,169
367.0826,721,0.2343967,169
371.0582,721,0.2371706,171
375.9407,721,0.2468793,178
379.9167,721,0.2482663,179
384.7032,721,0.2330097,168
388.6614,721,0.2454924,177
393.3907,721,0.2482663,179
397.3829,721,0.2441054,176
402.2591,721,0.2385576,172
406.2516,721,0.2260749,163
