TimePassed,CellCount,ProducerFrequency,ProducerCount
0,721,1,721
3.387404,721,1,721
6.932734,721,0.9916782,715
10.2082,721,0.9819695,708
11.96152,721,0.9791955,706
17.78859,721,0.9722608,701
20.79092,721,0.9680998,698
26.71795,721,0.9597781,692
29.683,721,0.9500694,685
34.54243,721,0.9459085,682
38.487,721,0.9403606,678
43.24437,721,0.9334258,673
47.23695,721,0.9223301,665
51.88042,721,0.9015257,650
55.85642,721,0.889043,641
60.55277,721,0.8668516,625
64.5414,721,0.8571429,618
69.21429,721,0.8460472,610
72.14272,721,0.8266297,596
77.01986,721,0.8266297,596
81.04547,721,0.8127601,586
85.81862,721,0.8016644,578
89.79536,721,0.7891817,569
94.66955,721,0.7808599,563
98.63704,721,0.7877947,568
102.3919,721,0.7711512,556
106.6084,721,0.7461858,538
111.5811,721,0.7295423,526
115.4563,721,0.7281553,525
120.0695,721,0.7337032,529
123.8466,721,0.7309293,527
129.1637,721,0.7281553,525
132.0626,721,0.7226075,521
136.702,721,0.7142857,515
140.6458,721,0.6976421,503
145.3255,721,0.6893204,497
149.1457,721,0.6768377,488
154.4549,721,0.6851595,494
157.3788,720,0.6763889,487
161.8182,721,0.6740638,486
165.556,721,0.6712899,484
170.3365,720,0.6541666,471
174.2525,720,0.6263889,451
178.874,719,0.6216968,447
182.7383,719,0.6300417,453
188.7113,717,0.6304045,452
192.004,716,0.6284916,450
195.4613,716,0.6145251,440
199.266,716,0.603352,432
203.7735,714,0.5994398,428
207.5711,713,0.5876578,419
212.0673,707,0.5940594,420
214.8472,707,0.5983027,423
220.5282,704,0.5880682,414
223.3456,702,0.5925926,416
227.3552,699,0.5793992,405
231.0179,699,0.5665236,396
235.4171,699,0.5751073,402
238.9383,698,0.5659026,395
243.3566,694,0.5677233,394
246.7361,691,0.5716353,395
251.2803,688,0.5639535,388
254.1797,686,0.5597668,384
258.8712,682,0.5542522,378
261.5825,678,0.5530974,375
265.5916,675,0.5777778,390
269.1202,673,0.5661218,381
274.3946,668,0.5748503,384
277.23,667,0.5637181,376
282.3116,664,0.5496988,365
283.9706,663,0.5414782,359
289.6131,656,0.5472561,359
292.2287,653,0.5313936,347
297.4013,653,0.5359877,350
300.0503,652,0.547546,357
304.1914,644,0.5527951,356
306.6902,641,0.5444618,349
310.2965,639,0.5383412,344
313.5755,638,0.5344828,341
318.522,637,0.533752,340
320.9818,633,0.5434439,344
324.9302,628,0.5366242,337
328.3308,631,0.5229794,330
332.4347,627,0.5199362,326
335.7453,623,0.5216693,325
340.618,622,0.5273312,328
342.7597,620,0.5225806,324
346.9521,619,0.5379645,333
350.3163,622,0.5546624,345
355.0218,623,0.5457464,340
357.4903,626,0.5255591,329
362.2261,626,0.5303515,332
365.9378,626,0.5159745,323
369.2552,620,0.5096774,316
371.558,622,0.522508,325
376.5552,617,0.528363,326
378.9109,616,0.5340909,329
384.8467,619,0.5121163,317
387.1551,620,0.5129032,318
392.3371,622,0.4983923,310
395.0029,621,0.5056361,314
399.1206,614,0.4918567,302
401.8237,613,0.4893964,300
405.7494,611,0.4746318,290
409.4797,610,0.4672131,285
412.958,606,0.4603961,279
416.9395,602,0.4584718,276
419.4577,597,0.4505863,269
422.009,597,0.4673367,279
426.322,596,0.4597315,274
428.944,595,0.4672269,278
432.8479,593,0.4873524,289
436.4431,589,0.4855688,286
439.2596,587,0.4991482,293
441.4092,588,0.5085034,299
446.2611,587,0.5110732,300
449.5056,587,0.5144804,302
453.4495,587,0.5366269,315
456.0046,588,0.5119048,301
460.7479,590,0.5271186,311
463.2713,588,0.5221089,307
468.1921,581,0.5473322,318
470.3661,579,0.5509499,319
475.2641,574,0.5418118,311
477.4147,577,0.5407279,312
483.1994,580,0.5413793,314
487.1388,583,0.5540309,323
490.0052,588,0.5493197,323
493.7434,590,0.5338983,315
496.4437,591,0.5262268,311
498.7693,590,0.5372881,317
503.6691,590,0.5559322,328
507.579,593,0.5598651,332
510.2959,595,0.5512605,328
512.984,598,0.541806,324
517.4909,600,0.5483333,329
520.0104,603,0.5439469,328
525.2146,602,0.538206,324
527.8222,604,0.5413907,327
532.1187,599,0.5225376,313
535.8103,599,0.5375626,322
539.7511,599,0.5258765,315
542.1348,599,0.5108514,306
546.8478,603,0.4859038,293
549.6041,603,0.4742952,286
554.1212,609,0.4712644,287
556.5413,610,0.4868852,297
560.9539,611,0.4762684,291
563.4339,618,0.4724919,292
568.6355,621,0.4653784,289
571.0515,621,0.468599,291
576.3837,620,0.4645161,288
580.0362,619,0.4620355,286
582.6372,615,0.4552846,280
585.1005,612,0.4640523,284
589.2304,609,0.4712644,287
591.7496,605,0.4644628,281
596.0742,599,0.4574291,274
598.7414,598,0.4632107,277
603.0561,596,0.4865772,290
605.3347,592,0.4780405,283
609.6291,585,0.4957265,290
612.0292,583,0.4871355,284
616.9148,579,0.4905009,284
619.2149,574,0.4947735,284
624.1713,561,0.5026738,282
625.6465,557,0.5062836,282
630.8897,550,0.4945455,272
634.5842,538,0.5130112,276
637.2,527,0.5351044,282
640.9706,525,0.552381,290
643.6965,523,0.5544933,290
646.1974,526,0.5475285,288
650.7213,523,0.5468451,286
653.0182,526,0.5456274,287
657.8746,527,0.5332068,281
660.2862,523,0.5334608,279
664.8013,526,0.5323194,280
668.5009,526,0.5418251,285
671.1128,527,0.5332068,281
675.1144,527,0.5294118,279
678.5945,526,0.5418251,285
682.4223,526,0.5456274,287
685.8534,524,0.509542,267
689.4182,523,0.5219885,273
693.0359,525,0.5238096,275
696.4854,526,0.5304183,279
700.3933,526,0.5361217,282
705.4006,524,0.519084,272
708.7792,525,0.5104762,268
712.3088,529,0.5122873,271
715.6019,527,0.5085389,268
719.591,531,0.5122411,272
723.3491,529,0.5047259,267
725.7109,527,0.5028463,265
730.2057,528,0.532197,281
732.5718,527,0.5370019,283
736.3025,524,0.5419847,284
740.2256,525,0.5352381,281
743.5876,528,0.5568182,294
746.8586,529,0.5482042,290
749.9578,531,0.5536723,294
753.436,533,0.5534709,295
756.8041,536,0.5559701,298
760.6161,536,0.5541045,297
763.1641,536,0.5447761,292
765.606,535,0.5439252,291
770.7123,540,0.5296296,286
773.2296,541,0.5286506,286
778.3289,547,0.5265082,288
780.9471,550,0.5290909,291
785.7153,555,0.5279279,293
788.8459,557,0.5260323,293
792.7256,564,0.5301418,299
795.3265,567,0.5361552,304
800.1728,573,0.5148342,295
802.4736,579,0.5215889,302
807.8166,584,0.5136986,300
810.113,589,0.5178268,305
814.8651,592,0.5236486,310
817.4923,598,0.5183946,310
821.8967,603,0.5140962,310
825.8209,602,0.5166113,311
828.4199,604,0.5248345,317
830.8368,608,0.5213816,317
835.5335,611,0.5188216,317
838.1646,617,0.5153971,318
842.6307,615,0.5203252,320
844.9335,615,0.5121951,315
849.9915,616,0.5324675,328
852.3787,616,0.5243506,323
856.933,620,0.5225806,324
859.4557,620,0.5258064,326
864.5266,624,0.5320513,332
867.1486,628,0.5302548,333
871.5942,627,0.5135566,322
875.0162,629,0.518283,326
878.8814,630,0.5269842,332
881.4444,630,0.5301588,334
887.017,629,0.5294118,333
889.5186,630,0.5238096,330
895.1412,631,0.5007924,316
897.6083,629,0.5166932,325
902.2057,630,0.5,315
904.7119,630,0.5095238,321
909.9594,632,0.5063291,320
912.5175,634,0.5015773,318
917.2609,637,0.4976452,317
919.9268,640,0.4890625,313
924.891,639,0.4820031,308
927.3925,637,0.4866562,310
931.9077,637,0.477237,304
934.3041,633,0.4723539,299
938.627,628,0.4649681,292
941.162,626,0.4584664,287
946.1494,622,0.4549839,283
949.8657,613,0.4747145,291
952.823,605,0.4710744,285
955.1761,603,0.4693201,283
959.5645,608,0.4769737,290
962.4041,606,0.4768977,289
966.2576,608,0.4835526,294
968.7073,609,0.4745484,289
973.3901,607,0.4810544,292
975.8612,607,0.4892916,297
980.5718,602,0.4833887,291
982.6899,600,0.4933333,296
987.8105,594,0.479798,285
990.0567,592,0.4864865,288
995.0218,590,0.4661017,275
997.2602,588,0.4676871,275
1002.067,585,0.4598291,269
1004.623,582,0.45189,263
1009.266,576,0.4392361,253
1011.6,576,0.4340278,250
1015.723,575,0.4365217,251
1017.658,571,0.4238179,242
1022.237,569,0.4340949,247
1025.888,568,0.4348592,247
1029.101,572,0.4335664,248
1032.493,562,0.4430605,249
1036.382,554,0.4584838,254
1040.629,550,0.4490909,247
1044.406,549,0.4644809,255
1047.733,548,0.4744526,260
1051.268,544,0.4705882,256
1055.095,548,0.4872263,267
1059.402,543,0.5009208,272
1061.818,546,0.503663,275
1066.148,546,0.507326,277
1068.098,547,0.5082267,278
1073.523,542,0.5184502,281
1075.467,544,0.5202206,283
1080.547,544,0.5441176,296
1082.369,542,0.5369003,291
1087.122,544,0.5422794,295
1089.342,545,0.5486239,299
1094.504,547,0.5521024,302
1096.631,548,0.5583941,306
1101.106,551,0.5735027,316
1103.421,551,0.5807623,320
1108.438,558,0.5860215,327
1110.745,559,0.5939177,332
1115.564,564,0.6046099,341
1119.465,568,0.5933099,337
1122.334,570,0.5789474,330
1124.792,577,0.5823224,336
1128.861,585,0.5726496,335
1132.127,582,0.5670103,330
1136.84,580,0.5793104,336
1139.287,584,0.5667808,331
1143.942,586,0.5460751,320
1146.724,588,0.5408163,318
1151.224,590,0.5372881,317
1153.718,584,0.5445206,318
1158.018,582,0.5429553,316
1160.503,582,0.5412371,315
1165.117,589,0.533107,314
1167.642,586,0.5273038,309
1172.447,588,0.5187075,305
1174.826,587,0.516184,303
1180.043,584,0.505137,295
1182.512,581,0.5008606,291
1187.131,581,0.4888124,284
1189.636,577,0.4852686,280
1194.371,576,0.4826389,278
1197.002,578,0.4896194,283
1201.443,573,0.495637,284
1203.747,571,0.4886165,279
1208.875,576,0.4774306,275
1211.128,577,0.4956672,286
1216.002,574,0.5087108,292
1219.585,564,0.5301418,299
1223.613,563,0.5381883,303
1228.193,558,0.546595,305
1230.286,561,0.5579323,313
1235.296,558,0.5663083,316
1237.606,560,0.5589285,313
1242.053,560,0.5428572,304
1244.662,561,0.5418895,304
1248.473,558,0.5573477,311
1250.865,557,0.5529623,308
1255.286,558,0.5501792,307
1257.626,560,0.5482143,307
1262.551,564,0.5496454,310
1266.256,563,0.5435169,306
1269.047,562,0.5409253,304
1271.252,563,0.5470693,308
1276.416,566,0.5424028,307
1278.806,569,0.5377856,306
1283.833,569,0.5448155,310
1286.303,575,0.5269565,303
1290.541,579,0.5302245,307
1293.092,580,0.5103448,296
1297.993,587,0.4957411,291
1300.378,590,0.4847458,286
1305.966,596,0.4848993,289
1307.471,598,0.4765886,285
1312.601,600,0.4633333,278
1315.086,601,0.4642263,279
1319.69,606,0.4504951,273
1322.129,604,0.4437086,268
1326.075,604,0.4536424,274
1328.527,602,0.4551495,274
1333.076,601,0.4758735,286
1335.596,599,0.4774624,286
1339.462,593,0.4772344,283
1341.842,592,0.4611486,273
1346.782,592,0.472973,280
1349.222,591,0.4771574,282
1353.159,587,0.4787053,281
1354.877,587,0.483816,284
1359.891,585,0.4923077,288
1362.327,579,0.5060449,293
1366.816,576,0.5017361,289
1369.111,575,0.4904348,282
1374.17,566,0.4805654,272
1376.907,565,0.4849558,274
1380.696,561,0.4937612,277
1384.115,560,0.4946429,277
1387.539,557,0.5152603,287
1391.057,560,0.5214286,292
1394.237,559,0.5277281,295
1397.89,562,0.519573,292
1400.965,558,0.5250896,293
1404.338,561,0.5187166,291
1407.469,558,0.530466,296
1410.952,554,0.5270758,292
1414.066,559,0.5348837,299
1417.636,561,0.540107,303
1420.67,563,0.5346359,301
1424.685,562,0.524911,295
1427.876,567,0.5167549,293
1431.211,567,0.5167549,293
1434.408,565,0.5079646,287
1437.709,566,0.5,283
1440.888,565,0.4902655,277
1444.525,570,0.4824561,275
1447.703,565,0.4920354,278
1451.199,568,0.4929577,280
1454.811,567,0.4867725,276
1458.597,570,0.4894737,279
1461.679,569,0.4850615,276
1465.134,574,0.4808362,276
1468.835,579,0.4697755,272
1472.791,585,0.4854701,284
1476.538,587,0.4855196,285
1479.96,594,0.476431,283
1483.424,593,0.4789207,284
1486.804,599,0.4724541,283
1490.171,600,0.4883333,293
1493.236,599,0.4874791,292
1496.414,597,0.4874372,291
1499.404,595,0.502521,299
1503.083,593,0.5042158,299
1505.59,592,0.5050676,299
1509.504,593,0.5177066,307
1512.258,597,0.5041876,301
1514.793,597,0.517588,309
1519.398,599,0.5141903,308
1523.27,597,0.5058627,302
1526.294,598,0.4966555,297
1528.346,599,0.5041736,302
1533.416,597,0.5108878,305
1535.854,596,0.5083892,303
1540.436,598,0.4899665,293
1543.041,595,0.5008404,298
1547.181,590,0.5033898,297
1549.675,590,0.5118644,302
1555.182,587,0.5110732,300
1559.025,583,0.5128645,299
1562.24,580,0.5206897,302
1565.904,575,0.5130435,295
1569.913,576,0.5173611,298
1573.79,576,0.5277778,304
1575.998,576,0.5347222,308
1581.131,579,0.5457686,316
1583.706,579,0.5561312,322
1588.043,584,0.5736302,335
1590.59,586,0.5819113,341
1594.967,586,0.5699659,334
1597.52,588,0.5680272,334
1602.384,595,0.5630252,335
1604.749,596,0.5587248,333
1609.899,601,0.5590682,336
1612.543,600,0.555,333
1617.387,601,0.5607321,337
1619.941,602,0.5664452,341
1624.696,602,0.5581396,336
1627.334,604,0.5529801,334
1632.172,606,0.5544555,336
1634.847,606,0.5544555,336
1639.449,609,0.5566502,339
1643.083,610,0.5606557,342
1646.616,610,0.557377,340
1649.922,608,0.5493421,334
1653.252,606,0.5412541,328
1654.809,606,0.5379538,326
1659.849,603,0.5339967,322
1662.624,601,0.5274543,317
1667.947,601,0.5207987,313
1670.12,599,0.5275459,316
1675.087,598,0.5167224,309
1677.535,597,0.520938,311
1682.274,595,0.5142857,306
1684.96,593,0.5126476,304
1689.277,593,0.5042158,299
1691.381,594,0.503367,299
1696.838,594,0.5016835,298
1699.233,594,0.4882155,290
1703.686,595,0.4907563,292
1706.135,593,0.4806071,285
1710.911,594,0.4646465,276
1713.09,588,0.4761905,280
1718.221,581,0.4664372,271
1720.713,581,0.4716007,274
1725.888,572,0.4632867,265
1729.901,570,0.477193,272
1732.894,569,0.4745167,270
1736.606,564,0.4804965,271
1739.39,560,0.4803571,269
