TimePassed,CellCount,ProducerFrequency,ProducerCount
0,721,1,721
3.092176,721,1,721
5.0933,721,0.9958391,718
9.765872,721,0.9847434,710
14.60361,721,0.965326,696
18.2955,721,0.963939,695
23.43082,721,0.9542302,688
27.95918,721,0.9348128,674
30.01544,721,0.9292649,670
34.86974,721,0.9181692,662
36.99617,721,0.9042996,652
41.86015,721,0.887656,640
43.69594,721,0.8821082,636
48.4678,721,0.8765603,632
53.00252,721,0.8737864,630
54.6616,721,0.889043,641
59.94747,721,0.8821082,636
63.83503,721,0.8640777,623
66.58327,721,0.8599168,620
70.46291,721,0.8668516,625
74.39357,721,0.8710125,628
78.7999,721,0.8599168,620
80.92316,721,0.8474341,611
85.94124,721,0.7947295,573
87.77482,721,0.8030513,579
92.82307,721,0.7919556,571
97.09484,721,0.778086,561
99.1013,721,0.7711512,556
104.6121,721,0.7697642,555
108.3993,721,0.7447989,537
112.0274,721,0.7198336,519
113.9223,721,0.6962552,502
118.6045,721,0.6851595,494
120.4987,721,0.6754507,487
125.1721,721,0.6490985,468
127.2282,721,0.6435506,464
132.1243,721,0.6171983,445
134.1272,721,0.6185853,446
138.8158,721,0.6005548,433
140.8161,721,0.6269071,452
145.9499,721,0.6227462,449
149.6531,721,0.592233,427
152.382,721,0.6005548,433
157.2626,721,0.5825243,420
159.2007,721,0.5533981,399
163.9194,721,0.557559,402
166.0407,721,0.5589459,403
170.8679,721,0.5436893,392
174.6013,721,0.5478502,395
177.5537,721,0.5533981,399
181.3638,721,0.5617198,405
185.1879,721,0.556172,401
190.8678,721,0.5339806,385
194.5815,721,0.5353675,386
198.3667,721,0.517337,373
203.0123,721,0.4840499,349
205.1568,721,0.4632455,334
209.7915,721,0.4396671,317
211.7516,721,0.4563107,329
216.3936,721,0.4341193,313
219.944,721,0.4008322,289
222.9608,721,0.3841886,277
227.334,721,0.370319,267
231.9301,721,0.3647712,263
234.0059,721,0.3439667,248
238.6841,721,0.3425798,247
242.4828,721,0.3245492,234
245.3242,721,0.3106796,224
249.9578,721,0.2981969,215
253.7759,721,0.3106796,224
256.615,721,0.3134535,226
260.5617,721,0.3273232,236
263.2787,721,0.3120666,225
267.1618,721,0.2829404,204
270.8969,721,0.3037448,219
274.452,721,0.2565881,185
278.2912,721,0.2552011,184
282.2296,721,0.2843273,205
