BoardSize,MutationRate,TypeOfStartEnvironment,FitnessTimeStep,CostToLive,FitnessRepThreshold,DirectFitnessTimer,DirectFitnessRange,DirectFitnessBenefit,DirectFitnessCost,DirectFitnessbcRatio,DirectFitnessExploitability,DoDirectFitness,DiffusionTimeStep,DiffusionConstG,DiffusionCutOff,DoDiffusion,ColorSecretionTimeStep,ColorSecreted,AmountColorSecreted,ColorSecretionCostPerTimeStep,DoColorSecretion,ColorMetabolismTimeStep,ColorMetNoUptake,ColorUptakeG,ColorUptakeB,ColorUptakeR,ColorFitnessPerUnitG,ColorFitnessPerUnitB,DoColorMetabolism,ColorFitnessPerUnitR,DoBiofilm,ExploitersDoBiofilms,BiofilmRange,BiofilmViscosity,BiofilmCost,BiofilmUptakeMultR,DoFlow,FlowOutOfBoard,FlowTimeStep,FlowProportionalToAmount,FlowAmountPerTimeStep,DoDegradation,DegradationReducedByBiofilm,DegradationTimeStep,DegradationProportional,DegradationAmountPerTimeStep,TimeTaken,CellID,HighestProducerCount,LowestProducerCount,TimeAtHighestProdCount,TimeAtLowestProdCount,HighestProducerCountAfterStable,LowestProducerCountAfterStable,TimeAtHighestProdCountAfterStable,TimeAtLowestProdCountAfterStable,CellCountmean,CellCountvariance,CellCountmeanPast1000,CellCountvariancePast1000,ProducerFrequencymean,ProducerFrequencyvariance,ProducerFrequencymeanPast1000,ProducerFrequencyvariancePast1000,ProducerCountmean,ProducerCountvariance,ProducerCountmeanPast1000,ProducerCountvariancePast1000
15,0.02,AllProducers,1,0.1,1,5,1,0.65,0.1,6.5,1,False,0.5,0.15,1,True,1,Blue,5000,0.1,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,False,True,1,3,0,0.01,False,True,1,True,0.7,True,False,2,True,0.5,3000.268,84316,721,0,0,1386.044,99,0,1061.895,1386.044,168.5927,57123.3,44.67295,10228.98,NaN,NaN,NaN,NaN,60.57143,16120.63,8.763699,491.3421
15,0.02,AllProducers,1,0.1,1,5,1,0.65,0.1,6.5,1,False,0.5,0.15,1,True,1,Blue,5000,0.1,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,False,True,1,3,0,0.01,False,True,1,True,0.7,True,False,2,True,0.5,3000.119,133880,721,0,0,2074.705,224,0,1641.62,2074.705,307.2805,68693.24,218.9528,59365.72,NaN,NaN,NaN,NaN,96.76999,14036.72,61.1706,5327.75
15,0.02,AllProducers,1,0.1,1,5,1,0.65,0.1,6.5,1,False,0.5,0.15,1,True,1,Blue,5000,0.1,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,False,True,1,3,0,0.01,False,True,1,True,0.7,True,False,2,True,0.5,3000.262,55768,721,0,0,639.9382,0,9999,0,0,105.3383,55118.66,0,0,NaN,NaN,NaN,NaN,43.55196,16456.56,0,0
15,0.02,AllProducers,1,0.1,1,5,1,0.65,0.1,6.5,1,False,0.5,0.15,1,True,1,Blue,5000,0.1,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,False,True,1,3,0,0.01,False,True,1,True,0.7,True,False,2,True,0.5,3000.24,56088,721,0,0,536.8882,0,9999,0,0,106.8753,60617.33,0,0,NaN,NaN,NaN,NaN,42.13615,15406.85,0,0
15,0.02,AllProducers,1,0.1,1,5,1,0.65,0.1,6.5,1,False,0.5,0.15,1,True,1,Blue,5000,0.1,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,False,True,1,3,0,0.01,False,True,1,True,0.7,True,False,2,True,0.5,3000.007,157071,721,0,0,2617.862,271,0,1353.171,2617.862,365.9001,57258.14,288.239,47035.86,NaN,NaN,NaN,NaN,115.4439,15521.94,78.50552,4765.839
15,0.02,AllProducers,1,0.1,1,5,1,0.65,0.1,6.5,1,False,0.5,0.15,1,True,1,Blue,5000,0.1,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,False,True,1,3,0,0.01,False,True,1,True,0.7,True,False,2,True,0.5,3000.07,99501,721,0,0,1313.974,167,0,1012.723,1313.974,202.9039,77519.7,45.9471,14130.11,NaN,NaN,NaN,NaN,74.58734,20155.18,8.948806,780.4213
15,0.02,AllProducers,1,0.1,1,5,1,0.65,0.1,6.5,1,False,0.5,0.15,1,True,1,Blue,5000,0.1,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,False,True,1,3,0,0.01,False,True,1,True,0.7,True,False,2,True,0.5,3000.473,61855,721,0,0,773.2162,0,9999,0,0,116.7445,58327.27,0,0,NaN,NaN,NaN,NaN,44.73072,15053.83,0,0
15,0.02,AllProducers,1,0.1,1,5,1,0.65,0.1,6.5,1,False,0.5,0.15,1,True,1,Blue,5000,0.1,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,False,True,1,3,0,0.01,False,True,1,True,0.7,True,False,2,True,0.5,3000.486,89663,721,0,0,1865.131,161,0,1137.745,1865.131,192.4787,48617.3,116.3763,22234.43,NaN,NaN,NaN,NaN,65.10165,13724.92,28.87108,1766.179
15,0.02,AllProducers,1,0.1,1,5,1,0.65,0.1,6.5,1,False,0.5,0.15,1,True,1,Blue,5000,0.1,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,False,True,1,3,0,0.01,False,True,1,True,0.7,True,False,2,True,0.5,3000.38,60739,721,0,0,702.9201,0,9999,0,0,116.0034,59475.98,0,0,NaN,NaN,NaN,NaN,44.73081,15627.91,0,0
15,0.02,AllProducers,1,0.1,1,5,1,0.65,0.1,6.5,1,False,0.5,0.15,1,True,1,Blue,5000,0.1,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,False,True,1,3,0,0.01,False,True,1,True,0.7,True,False,2,True,0.5,3000.087,45666,721,0,0,415.3817,0,9999,0,0,86.60706,50963.21,0,0,NaN,NaN,NaN,NaN,34.41002,12990.41,0,0
