TimePassed,CellCount,ProducerFrequency,ProducerCount
0,721,1,721
3.173593,721,1,721
5.751009,721,0.9986131,720
10.76157,721,0.9819695,708
14.60313,721,0.9736477,702
17.42409,721,0.9680998,698
21.48428,721,0.9500694,685
25.88036,721,0.9153953,660
26.66125,721,0.9112344,657
31.96508,721,0.9140083,659
35.71185,721,0.9181692,662
39.29587,721,0.8793343,634
44.3586,721,0.8613037,621
46.20528,721,0.8710125,628
49.99331,721,0.8446602,609
52.77021,721,0.8280166,597
57.81985,721,0.8127601,586
61.41319,721,0.7558946,545
64.40414,721,0.7378641,532
68.18382,721,0.7309293,527
70.95406,721,0.7323163,528
74.83385,721,0.7128987,514
77.61042,721,0.6865464,495
81.52256,721,0.667129,481
84.39445,721,0.6435506,464
88.32953,721,0.6310679,455
91.14873,721,0.6102635,440
94.99404,721,0.5908461,426
98.381,721,0.5589459,403
102.902,721,0.5395284,389
104.9162,721,0.5284327,381
109.4072,721,0.5450763,393
111.5597,721,0.5436893,392
116.8505,721,0.5145631,371
117.6592,721,0.5242718,378
121.9173,721,0.5312067,383
126.1868,721,0.5228849,377
128.2018,721,0.5298197,382
132.7066,721,0.5214979,376
134.8007,721,0.5298197,382
139.2099,721,0.517337,373
141.1114,721,0.556172,401
146.2481,721,0.5589459,403
149.3042,721,0.5312067,383
153.9389,721,0.5228849,377
156.9017,721,0.5242718,378
161.6093,721,0.5312067,383
163.5188,721,0.4979196,359
168.3444,721,0.481276,347
171.3533,721,0.482663,348
176.1639,721,0.4840499,349
179.1017,721,0.481276,347
183.9587,721,0.4715673,340
187.2867,721,0.4396671,317
192.0298,721,0.4701803,339
196.811,721,0.4327323,312
199.751,721,0.4341193,313
204.5622,721,0.4188627,302
207.61,721,0.4147018,299
212.3824,721,0.3786408,273
215.3163,721,0.3814147,275
220.0134,721,0.3536755,255
222.9393,721,0.3495146,252
227.9392,721,0.334258,241
230.9317,721,0.3370319,243
234.9641,721,0.3467406,250
238.8239,721,0.3384189,244
240.7787,721,0.3287101,237
246.5659,721,0.3162275,228
249.6303,721,0.2940361,212
254.4417,720,0.2930556,211
258.3969,719,0.2809457,202
263.3608,717,0.2761506,198
267.3049,711,0.2770745,197
272.1874,709,0.2764457,196
276.2033,708,0.2810735,199
281.0197,707,0.2800566,198
284.966,705,0.2695035,190
289.8281,704,0.2571023,181
292.7763,703,0.2603129,183
296.7948,703,0.257468,181
300.7641,703,0.2389758,168
302.7742,703,0.2403983,169
308.9063,703,0.2290185,161
311.9014,703,0.2091038,147
316.7725,704,0.2102273,148
320.7159,704,0.2286932,161
325.5205,705,0.2382979,168
329.4989,706,0.223796,158
334.2914,709,0.2299013,163
338.3155,709,0.2425952,172
343.0824,708,0.2387006,169
347.0586,707,0.2630835,186
351.9647,708,0.2372881,168
355.0132,708,0.2556497,181
358.942,706,0.2450425,173
362.9015,705,0.2425532,171
364.9232,705,0.2326241,164
369.8239,705,0.2382979,168
373.4475,704,0.2315341,163
378.2688,706,0.2096317,148
382.3112,706,0.2067989,146
387.1289,705,0.2,141
390.2238,699,0.1988555,139
393.8862,696,0.1939655,135
397.8907,692,0.2095376,145
399.8621,687,0.2081514,143
404.6554,682,0.186217,127
407.6231,680,0.1926471,131
411.4908,677,0.197932,134
415.5332,675,0.2,135
417.4875,674,0.2166172,146
422.4072,672,0.1994048,134
425.3732,672,0.1964286,132
429.247,670,0.1850746,124
433.2381,669,0.200299,134
435.1969,669,0.2167414,145
440.0483,664,0.2183735,145
444.0116,664,0.2123494,141
447.5612,662,0.2160121,143
450.593,662,0.194864,129
454.4883,659,0.2018209,133
457.4316,660,0.1984849,131
460.4826,658,0.1838906,121
465.2161,661,0.1679274,111
469.1555,658,0.1808511,119
473.8705,660,0.1727273,114
477.9467,659,0.1517451,100
482.784,657,0.1643836,108
486.819,657,0.1750381,115
491.741,658,0.1641337,108
495.662,659,0.1502276,99
500.4966,656,0.1676829,110
503.5448,657,0.1552511,102
507.2855,652,0.1641104,107
511.261,647,0.1731066,112
513.1496,646,0.1749226,113
516.8345,642,0.1915888,123
521.1029,633,0.1832543,116
524.7561,631,0.1933439,122
528.6625,622,0.1913183,119
530.7208,620,0.2032258,126
535.3193,611,0.1963993,120
539.3212,606,0.1848185,112
544.0602,590,0.1915254,113
548.0195,573,0.1832461,105
552.7859,570,0.1684211,96
556.7611,561,0.1871658,105
561.6108,548,0.1806569,99
564.6816,539,0.1651206,89
568.3873,532,0.174812,93
572.1317,527,0.1802657,95
574.0701,527,0.1669829,88
578.73,518,0.1853282,96
582.4567,510,0.1647059,84
587.0463,501,0.1676647,84
590.7399,488,0.1680328,82
594.9589,480,0.1854167,89
598.5375,472,0.184322,87
603.943,463,0.1965443,91
606.7181,450,0.2111111,95
610.8762,441,0.1927438,85
614.7817,420,0.1952381,82
619.3273,420,0.1714286,72
622.9959,407,0.1990172,81
627.6188,400,0.185,74
631.2798,385,0.187013,72
635.3597,369,0.2059621,76
639.0848,358,0.1899441,68
